country,happiness,family,friends,parents,politics,religion,work,health
World,74.6,98.2,84.6,70,39.6,65.1,90.3,56
Argentina,81.6,98.7,83.7,72.6,30.6,66,96.7,61
Australia,94.3,98.2,95.5,66.5,49.4,47.7,86.2,79.6
Belarus,44.9,97,81.3,56.2,40.3,51,83.4,27.3
Brazil,79.7,97.7,63.7,68.1,19.9,73.1,92.1,61
Chile
China
Colombia
Czech Republic,82.7,98,89,57.3,25.5,23,84.1,52.4
Georgia,65.2,98.9,97,80.8,46.5,83.4,79.4,48.6
Germany,80.5,96.7,92.7,56.5,50.6,27,86.6,58.6
India,75.9,98.7,77.5,79.9,32.7,77.7,97.2,57
Japan,89,98.1,94.6,34,61.1,21.3,87.5,53.9
Mexico,69.6,96.4,67.6,79.3,44.5,78.6,91.6,58.5
Moldova,43.4,97.1,71.8,74.8,27.7,66.5,84.9,31.7
New Zealand,94.3,98.3,92.3,51.8,41.7,38.2,85.6,78.5
Nigeria,84.3,99.6,89.7,94.9,42.8,98.2,97.2,74.6
Pakistan
Peru,62.9,98.5,58.2,86.5,35.8,81.7,95.6,50.4
Philippines,92.4,99.8,87.8,89.6,48.6,97.8,97.7,51.9
Poland,85.3,99.2,84.3,76.3,30.1,82.7,93.7,40.7
Romania,56.1,97.5,67.9,68.3,24.5,75.1,93.4,52.9
Russia,50.2,96.3,78.8,53.5,27.6,39.9,82.7,25.9
Slovenia,73.8,96.5,87.1,61.9,14.8,43,93.9,45.7
South Africa,72.4,97.8,62.4,90.8,44,89.9,93.1,68
South Korea,88.8,99.2,95.8,59.8,64.8,50.6,91.1,79.3
Spain,86.5,99.1,89.9,78.4,23.1,57.7,89.7,70.3
Sweden,93.9,98.4,98.1,49.5,47.2,29.2,93.8,76.4
Taiwan,90.6,99.6,90.4,62.3,38.3,91.7,98.8,47.5
Turkey,88.3,99.6,97.9,93.3,51.6,93.5,94.7,60.8
Ukraine,45.8,97,86.7,48.6,28.3,48.8,82.7,26.6
United States,93.8,99.2,95.8,74.9,58.2,82.1,85.7,79.2
Uruguay,79.4,98.4,87.5,65,35.5,48.9,94.8,76.6
