country,happiness,family,friends,parents,politics,religion,work,health
World,79,98,84,77,40,66,89,64
Argentina,84,98,84,78,28,64,93,69
Australia,92,98,94,68,46,39,82,77
Belarus,54,97,82,67,35,49,80,30
Brazil,85,98,73,79,30,81,94,66
Chile,81,98,69,83,24,70,91,67
China,79,97,85,56,49,11,85,64
Colombia,91,99,71,92,24,85,98,76
Czech Republic,82,98,89,57,25,23,84,52
Georgia,66,99,97,84,51,92,86,44
Germany,81,96,93,57,45,32,82,65
India,77,98,80,83,37,81,94,64
Japan,87,97,92,50,62,19,85,53
Mexico,86,98,75,88,45,83,95,64
Moldova,47,97,76,82,29,70,83,37
New Zealand,94,98,92,50,42,36,83,80
Nigeria,86,99,91,96,47,98,95,84
Pakistan,80,99,73,95,25,96,91,72
Peru,68,98,55,90,35,80,95,50
Philippines,89,99,88,93,55,97,98,55
Poland,88,98,90,77,30,82,89,52
Romania,60,97,71,69,22,82,90,57
Russia,63,97,82,65,29,42,78,36
Slovenia,78,97,89,68,14,39,91,55
South Africa,75,98,71,92,46,88,89,76
South Korea,88,99,95,71,56,50,91,79
Spain,87,99,92,81,24,44,87,74
Sweden,94,98,97,48,57,28,90,76
Taiwan,88,99,91,76,32,65,92,73
Turkey,83,99,97,94,43,92,87,65
Ukraine,62,97,85,64,31,54,79,36
United States,92,98,94,76,54,75,83,81
Uruguay,83,98,84,72,32,44,92,78
