Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Afghanistan,2015,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,226.56866
Afghanistan,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,188.869645
Afghanistan,2015,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29.162373
Afghanistan,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24.444446
Afghanistan,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18.50831
Afghanistan,2015,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1807.982227
Afghanistan,2015,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1346.407628
Afghanistan,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1043.998238
Afghanistan,2015,Turkmenistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,632.412921
Afghanistan,2015,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,426.84222
Afghanistan,2015,World,Animal,Export,Export(US$ Mil),2.194713
Afghanistan,2015,World,Vegetable,Export,Export(US$ Mil),359.010103
Afghanistan,2015,World,Food Products,Export,Export(US$ Mil),0.238395
Afghanistan,2015,World,Minerals,Export,Export(US$ Mil),6.086907
Afghanistan,2015,World,Fuels,Export,Export(US$ Mil),19.716077
Afghanistan,2015,World,Chemicals,Export,Export(US$ Mil),0.046919
Afghanistan,2015,World,Plastic or Rubber,Export,Export(US$ Mil),
Afghanistan,2015,World,Hides and Skins,Export,Export(US$ Mil),0.350168
Afghanistan,2015,World,Wood,Export,Export(US$ Mil),0.00096
Afghanistan,2015,World,Textiles and Clothing,Export,Export(US$ Mil),90.184242
Afghanistan,2015,World,Footwear,Export,Export(US$ Mil),
Afghanistan,2015,World,Stone and Glass,Export,Export(US$ Mil),0.057414
Afghanistan,2015,World,Metals,Export,Export(US$ Mil),
Afghanistan,2015,World,Mach and Elec,Export,Export(US$ Mil),
Afghanistan,2015,World,Transportation,Export,Export(US$ Mil),
Afghanistan,2015,World,Miscellaneous,Export,Export(US$ Mil),93.519069
Afghanistan,2015,World,Raw materials,Export,Export(US$ Mil),343.562406
Afghanistan,2015,World,Intermediate goods,Export,Export(US$ Mil),1.995739
Afghanistan,2015,World,Consumer goods,Export,Export(US$ Mil),132.327753
Afghanistan,2015,World,Capital goods,Export,Export(US$ Mil),
