Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Armenia,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,225.870677
Armenia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,165.201941
Armenia,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,144.983227
Armenia,2015,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,130.691856
Armenia,2015,Georgia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,114.028292
Armenia,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,991.144368
Armenia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,315.469827
Armenia,2015,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,198.301217
Armenia,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,182.105054
Armenia,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,147.974679
Armenia,2015,World,Animal,Export,Export(US$ Mil),46.357918
Armenia,2015,World,Vegetable,Export,Export(US$ Mil),34.964354
Armenia,2015,World,Food Products,Export,Export(US$ Mil),307.664229
Armenia,2015,World,Minerals,Export,Export(US$ Mil),369.957781
Armenia,2015,World,Fuels,Export,Export(US$ Mil),92.391607
Armenia,2015,World,Chemicals,Export,Export(US$ Mil),15.369117
Armenia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),11.129393
Armenia,2015,World,Hides and Skins,Export,Export(US$ Mil),6.380406
Armenia,2015,World,Wood,Export,Export(US$ Mil),2.967279
Armenia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),81.784495
Armenia,2015,World,Footwear,Export,Export(US$ Mil),1.443257
Armenia,2015,World,Stone and Glass,Export,Export(US$ Mil),217.186199
Armenia,2015,World,Metals,Export,Export(US$ Mil),229.577427
Armenia,2015,World,Mach and Elec,Export,Export(US$ Mil),15.199376
Armenia,2015,World,Transportation,Export,Export(US$ Mil),9.332746
Armenia,2015,World,Miscellaneous,Export,Export(US$ Mil),40.961765
Armenia,2015,World,Raw materials,Export,Export(US$ Mil),459.442547
Armenia,2015,World,Intermediate goods,Export,Export(US$ Mil),415.82738
Armenia,2015,World,Consumer goods,Export,Export(US$ Mil),568.441882
Armenia,2015,World,Capital goods,Export,Export(US$ Mil),28.685116
Armenia,2015,World,Raw materials,Import,Import(US$ Mil),340.725178
Armenia,2015,World,Intermediate goods,Import,Import(US$ Mil),707.873401000001
Armenia,2015,World,Consumer goods,Import,Import(US$ Mil),1663.016764
Armenia,2015,World,Capital goods,Import,Import(US$ Mil),501.305065
Armenia,2015,World,All Products,Export,Exports (in US$ Mil),1482.667349
Armenia,2015,World,All Products,Import,Imports (in US$ Mil),3256.964792
Armenia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1946647.735
Armenia,2015,...,...,Development,Trade Balance (current US$ Mil),-1280.88734
Armenia,2015,...,...,Development,GDP (current US$ Mil),10529.182498
Armenia,2015,...,...,Tariff,No. Of Tariff Agreement,6
Armenia,2015,...,...,Import,No. Of Import partners,172
Armenia,2015,...,...,Import,No. Of Import products,3684
Armenia,2015,...,...,Export,No. Of Export partners,94
Armenia,2015,...,...,Export,No. Of Export products,1627
Armenia,2015,...,...,Others,Population,3017712
Armenia,2016,...,...,Others,Ease of Doing Business Rank,38
Armenia,2016,...,...,Others,Trading Across Borders Rank,48
Armenia,2013,...,...,Others,CPIA Trade Ratings,4.5
Armenia,2014,...,...,Others,LPI Rank,92
Armenia,2014,...,...,Others,LPI Score,2.672723
Armenia,,...,...,Others,Services Trade Restrictions Index - Over All,11.4
Armenia,2015,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,15.2341
Armenia,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,11.1422
Armenia,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,9.7785
Armenia,2015,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8146
Armenia,2015,Georgia,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6908
Armenia,2015,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,30.4315
Armenia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.686
Armenia,2015,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,6.0885
Armenia,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5913
Armenia,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5433
Armenia,2015,World,Animal,Export,Export Product share(%),3.1267
Armenia,2015,World,Vegetable,Export,Export Product share(%),2.3582
Armenia,2015,World,Food Products,Export,Export Product share(%),20.7507
Armenia,2015,World,Minerals,Export,Export Product share(%),24.9522
Armenia,2015,World,Fuels,Export,Export Product share(%),6.2314
Armenia,2015,World,Chemicals,Export,Export Product share(%),1.0366
Armenia,2015,World,Plastic or Rubber,Export,Export Product share(%),0.7506
Armenia,2015,World,Hides and Skins,Export,Export Product share(%),0.4303
Armenia,2015,World,Wood,Export,Export Product share(%),0.2001
Armenia,2015,World,Textiles and Clothing,Export,Export Product share(%),5.516
Armenia,2015,World,Footwear,Export,Export Product share(%),0.0973
Armenia,2015,World,Stone and Glass,Export,Export Product share(%),14.6483
Armenia,2015,World,Metals,Export,Export Product share(%),15.4841
Armenia,2015,World,Mach and Elec,Export,Export Product share(%),1.0251
Armenia,2015,World,Transportation,Export,Export Product share(%),0.6295
Armenia,2015,World,Miscellaneous,Export,Export Product share(%),2.7627
Armenia,2015,World,Raw materials,Export,Export Product share(%),30.9876
Armenia,2015,World,Intermediate goods,Export,Export Product share(%),28.0459
Armenia,2015,World,Consumer goods,Export,Export Product share(%),38.3391
Armenia,2015,World,Capital goods,Export,Export Product share(%),1.9347
Armenia,2015,World,Raw materials,Import,Import Product share(%),10.4614
Armenia,2015,World,Intermediate goods,Import,Import Product share(%),21.7341
Armenia,2015,World,Consumer goods,Import,Import Product share(%),51.0603
