Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Azerbaijan,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2414.227508
Azerbaijan,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1228.22979
Azerbaijan,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1084.918042
Azerbaijan,2015,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1065.518848
Azerbaijan,2015,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,774.454738
Azerbaijan,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1437.144241
Azerbaijan,2015,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1172.177819
Azerbaijan,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,846.873359
Azerbaijan,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,689.060596
Azerbaijan,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,588.075375
Azerbaijan,2015,World,Animal,Export,Export(US$ Mil),2.343272
Azerbaijan,2015,World,Vegetable,Export,Export(US$ Mil),489.18554
Azerbaijan,2015,World,Food Products,Export,Export(US$ Mil),274.11556
Azerbaijan,2015,World,Minerals,Export,Export(US$ Mil),16.310862
Azerbaijan,2015,World,Fuels,Export,Export(US$ Mil),9879.277462
Azerbaijan,2015,World,Chemicals,Export,Export(US$ Mil),79.854982
Azerbaijan,2015,World,Plastic or Rubber,Export,Export(US$ Mil),112.724387
Azerbaijan,2015,World,Hides and Skins,Export,Export(US$ Mil),12.184847
Azerbaijan,2015,World,Wood,Export,Export(US$ Mil),5.700171
Azerbaijan,2015,World,Textiles and Clothing,Export,Export(US$ Mil),32.842028
Azerbaijan,2015,World,Footwear,Export,Export(US$ Mil),0.150156
Azerbaijan,2015,World,Stone and Glass,Export,Export(US$ Mil),0.78159
Azerbaijan,2015,World,Metals,Export,Export(US$ Mil),133.017535
Azerbaijan,2015,World,Mach and Elec,Export,Export(US$ Mil),53.381268
Azerbaijan,2015,World,Transportation,Export,Export(US$ Mil),2.522594
Azerbaijan,2015,World,Miscellaneous,Export,Export(US$ Mil),232.44885
Azerbaijan,2015,World,Raw materials,Export,Export(US$ Mil),9206.857107
Azerbaijan,2015,World,Intermediate goods,Export,Export(US$ Mil),457.11985
Azerbaijan,2015,World,Consumer goods,Export,Export(US$ Mil),1382.560584
Azerbaijan,2015,World,Capital goods,Export,Export(US$ Mil),66.063118
Azerbaijan,2015,World,Raw materials,Import,Import(US$ Mil),533.692108
Azerbaijan,2015,World,Intermediate goods,Import,Import(US$ Mil),2527.572376
Azerbaijan,2015,World,Consumer goods,Import,Import(US$ Mil),2486.712273
Azerbaijan,2015,World,Capital goods,Import,Import(US$ Mil),3062.49135
Azerbaijan,2015,World,All Products,Export,Exports (in US$ Mil),11326.841102
Azerbaijan,2015,World,All Products,Import,Imports (in US$ Mil),9211.125764
Azerbaijan,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2577628.717
Azerbaijan,2015,...,...,Development,Trade Balance (current US$ Mil),1585.887175
Azerbaijan,2015,...,...,Development,GDP (current US$ Mil),53047.140347
Azerbaijan,2015,...,...,Tariff,No. Of Tariff Agreement,2
Azerbaijan,2015,...,...,Import,No. Of Import partners,148
Azerbaijan,2015,...,...,Import,No. Of Import products,3502
Azerbaijan,2015,...,...,Export,No. Of Export partners,96
Azerbaijan,2015,...,...,Export,No. Of Export products,1141
Azerbaijan,2015,...,...,Others,Population,9651349
Azerbaijan,2016,...,...,Others,Ease of Doing Business Rank,65
Azerbaijan,2016,...,...,Others,Trading Across Borders Rank,83
Azerbaijan,2010,...,...,Others,CPIA Trade Ratings,3.5
Azerbaijan,2014,...,...,Others,LPI Rank,125
Azerbaijan,2014,...,...,Others,LPI Score,2.448376
Azerbaijan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0344225
Azerbaijan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0482686
Azerbaijan,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,21.3142
Azerbaijan,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,10.8435
Azerbaijan,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5783
Azerbaijan,2015,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,9.407
Azerbaijan,2015,Greece,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8373
Azerbaijan,2015,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,15.6023
Azerbaijan,2015,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,12.7257
Azerbaijan,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.194
Azerbaijan,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4807
Azerbaijan,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3844
Azerbaijan,2015,World,Animal,Export,Export Product share(%),0.0207
Azerbaijan,2015,World,Vegetable,Export,Export Product share(%),4.3188
Azerbaijan,2015,World,Food Products,Export,Export Product share(%),2.4201
Azerbaijan,2015,World,Minerals,Export,Export Product share(%),0.144
Azerbaijan,2015,World,Fuels,Export,Export Product share(%),87.2201
Azerbaijan,2015,World,Chemicals,Export,Export Product share(%),0.705
Azerbaijan,2015,World,Plastic or Rubber,Export,Export Product share(%),0.9952
Azerbaijan,2015,World,Hides and Skins,Export,Export Product share(%),0.1076
Azerbaijan,2015,World,Wood,Export,Export Product share(%),0.0503
Azerbaijan,2015,World,Textiles and Clothing,Export,Export Product share(%),0.2899
Azerbaijan,2015,World,Footwear,Export,Export Product share(%),0.0013
Azerbaijan,2015,World,Stone and Glass,Export,Export Product share(%),0.0069
Azerbaijan,2015,World,Metals,Export,Export Product share(%),1.1744
Azerbaijan,2015,World,Mach and Elec,Export,Export Product share(%),0.4713
Azerbaijan,2015,World,Transportation,Export,Export Product share(%),0.0223
Azerbaijan,2015,World,Miscellaneous,Export,Export Product share(%),2.0522
Azerbaijan,2015,World,Raw materials,Export,Export Product share(%),81.2835
Azerbaijan,2015,World,Intermediate goods,Export,Export Product share(%),4.0357
Azerbaijan,2015,World,Consumer goods,Export,Export Product share(%),12.2061
Azerbaijan,2015,World,Capital goods,Export,Export Product share(%),0.5832
Azerbaijan,2015,World,Raw materials,Import,Import Product share(%),5.794
Azerbaijan,2015,World,Intermediate goods,Import,Import Product share(%),27.4404
Azerbaijan,2015,World,Consumer goods,Import,Import Product share(%),26.9968
Azerbaijan,2015,World,Capital goods,Import,Import Product share(%),33.2477
Azerbaijan,2015,World,Raw materials,Tariff,Weighted Average (%),4.39342398763231
Azerbaijan,2015,World,Intermediate goods,Tariff,Weighted Average (%),6.33623162510121
Azerbaijan,2015,World,Consumer goods,Tariff,Weighted Average (%),6.66854809552126
Azerbaijan,2015,World,Capital goods,Tariff,Weighted Average (%),3.57743388759485
Azerbaijan,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Azerbaijan,2015,World,All Products,Trade Indicator,Country Growth (%),-24.9823787950722
Azerbaijan,2015,World,All Products,Tariff,Simple Average (%),8.51913919837872
Azerbaijan,2015,World,All Products,Tariff,Weighted Average (%),5.18960897261262
Azerbaijan,2015,World,All Products,Tariff,Maximum Rate (%),15
Azerbaijan,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),15.0363331470095
Azerbaijan,2015,...,...,Trade Indicator,Index of export market penetration,1.58699166448923
Azerbaijan,2015,...,...,Trade Indicator,HH Market concentration index,0.137899658152781
Azerbaijan,2015,...,...,Development,Trade Balance (% of GDP),2.989580899
Azerbaijan,2015,...,...,Development,Trade in services (% of GDP),24.726756078
Azerbaijan,2015,...,...,Development,Trade (% of GDP),72.638775687
Azerbaijan,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",6560
