Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brazil,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35607.523612
Brazil,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24215.973746
Brazil,2015,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12800.015447
Brazil,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10044.465679
Brazil,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5171.570751
Brazil,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30719.405022
Brazil,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26761.654253
Brazil,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10376.724568
Brazil,2015,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10284.589084
Brazil,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5420.62183
Brazil,2015,World,Animal,Export,Export(US$ Mil),14482.623543
Brazil,2015,World,Vegetable,Export,Export(US$ Mil),35792.023543
Brazil,2015,World,Food Products,Export,Export(US$ Mil),22340.910276
Brazil,2015,World,Minerals,Export,Export(US$ Mil),17404.507543
Brazil,2015,World,Fuels,Export,Export(US$ Mil),13748.087563
Brazil,2015,World,Chemicals,Export,Export(US$ Mil),9914.079781
Brazil,2015,World,Plastic or Rubber,Export,Export(US$ Mil),5127.817451
Brazil,2015,World,Hides and Skins,Export,Export(US$ Mil),2372.345152
Brazil,2015,World,Wood,Export,Export(US$ Mil),10026.852797
Brazil,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2378.807528
Brazil,2015,World,Footwear,Export,Export(US$ Mil),1119.148669
Brazil,2015,World,Stone and Glass,Export,Export(US$ Mil),4673.987676
Brazil,2015,World,Metals,Export,Export(US$ Mil),15266.103299
Brazil,2015,World,Mach and Elec,Export,Export(US$ Mil),15010.34723
Brazil,2015,World,Transportation,Export,Export(US$ Mil),16243.087042
Brazil,2015,World,Miscellaneous,Export,Export(US$ Mil),5226.156741
Brazil,2015,World,Raw materials,Export,Export(US$ Mil),80217.8551260001
Brazil,2015,World,Intermediate goods,Export,Export(US$ Mil),55256.971004
Brazil,2015,World,Consumer goods,Export,Export(US$ Mil),24432.04759
Brazil,2015,World,Capital goods,Export,Export(US$ Mil),27920.971104
Brazil,2015,World,Raw materials,Import,Import(US$ Mil),16400.642741
Brazil,2015,World,Intermediate goods,Import,Import(US$ Mil),49885.113496
Brazil,2015,World,Consumer goods,Import,Import(US$ Mil),45618.8178169999
Brazil,2015,World,Capital goods,Import,Import(US$ Mil),58790.9136699999
Brazil,2015,World,All Products,Export,Exports (in US$ Mil),191126.885834
Brazil,2015,World,All Products,Import,Imports (in US$ Mil),171446.211662
Brazil,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),52962964.812
Brazil,2015,...,...,Development,Trade Balance (current US$ Mil),-22752.41215
Brazil,2015,...,...,Development,GDP (current US$ Mil),1774724.8189
Brazil,2015,...,...,Tariff,No. Of Tariff Agreement,63
Brazil,2015,...,...,Import,No. Of Import partners,217
Brazil,2015,...,...,Import,No. Of Import products,4313
Brazil,2015,...,...,Export,No. Of Export partners,218
Brazil,2015,...,...,Export,No. Of Export products,4034
Brazil,2015,...,...,Others,Population,207847528
Brazil,2016,...,...,Others,Ease of Doing Business Rank,123
Brazil,2016,...,...,Others,Trading Across Borders Rank,149
Brazil,2014,...,...,Others,LPI Rank,65
Brazil,2014,...,...,Others,LPI Score,2.943951
Brazil,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4035
Brazil,2014,...,...,Others,No Of NTM Measures,64
Brazil,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2169706
Brazil,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2338574
Brazil,,...,...,Others,Services Trade Restrictions Index - Over All,22.5
Brazil,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.956605911
Brazil,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.770239472
Brazil,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,18.6303
Brazil,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6701
Brazil,2015,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6971
Brazil,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2554
Brazil,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,2.7058
Brazil,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.9178
Brazil,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,15.6094
Brazil,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0525
Brazil,2015,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9987
Brazil,2015,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,3.1617
Brazil,2015,World,Animal,Export,Export Product share(%),7.5775
Brazil,2015,World,Vegetable,Export,Export Product share(%),18.7268
Brazil,2015,World,Food Products,Export,Export Product share(%),11.689
Brazil,2015,World,Minerals,Export,Export Product share(%),9.1063
Brazil,2015,World,Fuels,Export,Export Product share(%),7.1932
Brazil,2015,World,Chemicals,Export,Export Product share(%),5.1872
Brazil,2015,World,Plastic or Rubber,Export,Export Product share(%),2.6829
Brazil,2015,World,Hides and Skins,Export,Export Product share(%),1.2412
Brazil,2015,World,Wood,Export,Export Product share(%),5.2462
Brazil,2015,World,Textiles and Clothing,Export,Export Product share(%),1.2446
Brazil,2015,World,Footwear,Export,Export Product share(%),0.5856
Brazil,2015,World,Stone and Glass,Export,Export Product share(%),2.4455
Brazil,2015,World,Metals,Export,Export Product share(%),7.9874
Brazil,2015,World,Mach and Elec,Export,Export Product share(%),7.8536
Brazil,2015,World,Transportation,Export,Export Product share(%),8.4986
Brazil,2015,World,Miscellaneous,Export,Export Product share(%),2.7344
Brazil,2015,World,Raw materials,Export,Export Product share(%),41.971
Brazil,2015,World,Intermediate goods,Export,Export Product share(%),28.9111
Brazil,2015,World,Consumer goods,Export,Export Product share(%),12.7832
Brazil,2015,World,Capital goods,Export,Export Product share(%),14.6086
Brazil,2015,World,Raw materials,Import,Import Product share(%),9.5661
Brazil,2015,World,Intermediate goods,Import,Import Product share(%),29.0967
Brazil,2015,World,Consumer goods,Import,Import Product share(%),26.6082
Brazil,2015,World,Capital goods,Import,Import Product share(%),34.2912
Brazil,2015,World,Raw materials,Tariff,Weighted Average (%),0.866311067288141
Brazil,2015,World,Intermediate goods,Tariff,Weighted Average (%),6.7186454390621
Brazil,2015,World,Consumer goods,Tariff,Weighted Average (%),11.5275992868012
Brazil,2015,World,Capital goods,Tariff,Weighted Average (%),9.62898929395293
Brazil,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Brazil,2015,World,All Products,Trade Indicator,Country Growth (%),-8.39363848493978
Brazil,2015,World,All Products,Tariff,Simple Average (%),13.6590525370148
Brazil,2015,World,All Products,Tariff,Weighted Average (%),8.26701534586902
Brazil,2015,World,All Products,Tariff,Maximum Rate (%),55
Brazil,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),16.464427721224
Brazil,2015,...,...,Trade Indicator,Index of export market penetration,12.3570127111792
Brazil,2015,...,...,Trade Indicator,HH Market concentration index,0.0791723448989826
Brazil,2015,...,...,Development,Trade Balance (% of GDP),-1.282024791
