Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cote d'Ivoire,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1427.728702
Cote d'Ivoire,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,962.116294
Cote d'Ivoire,2015,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,775.033164
Cote d'Ivoire,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,762.200803
Cote d'Ivoire,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,721.418198
Cote d'Ivoire,2015,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1444.16194
Cote d'Ivoire,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1311.644421
Cote d'Ivoire,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1113.82553
Cote d'Ivoire,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,417.404079
Cote d'Ivoire,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,379.393759
Cote d'Ivoire,2015,World,Animal,Export,Export(US$ Mil),27.858176
Cote d'Ivoire,2015,World,Vegetable,Export,Export(US$ Mil),1260.64806
Cote d'Ivoire,2015,World,Food Products,Export,Export(US$ Mil),5562.295785
Cote d'Ivoire,2015,World,Minerals,Export,Export(US$ Mil),28.295588
Cote d'Ivoire,2015,World,Fuels,Export,Export(US$ Mil),1991.118633
Cote d'Ivoire,2015,World,Chemicals,Export,Export(US$ Mil),357.545593
Cote d'Ivoire,2015,World,Plastic or Rubber,Export,Export(US$ Mil),682.61249
Cote d'Ivoire,2015,World,Hides and Skins,Export,Export(US$ Mil),2.71434
Cote d'Ivoire,2015,World,Wood,Export,Export(US$ Mil),247.846925
Cote d'Ivoire,2015,World,Textiles and Clothing,Export,Export(US$ Mil),322.947271
Cote d'Ivoire,2015,World,Footwear,Export,Export(US$ Mil),58.936824
Cote d'Ivoire,2015,World,Stone and Glass,Export,Export(US$ Mil),761.264706
Cote d'Ivoire,2015,World,Metals,Export,Export(US$ Mil),90.17649
Cote d'Ivoire,2015,World,Mach and Elec,Export,Export(US$ Mil),179.986743
Cote d'Ivoire,2015,World,Transportation,Export,Export(US$ Mil),224.142792
Cote d'Ivoire,2015,World,Miscellaneous,Export,Export(US$ Mil),46.368794
Cote d'Ivoire,2015,World,Raw materials,Export,Export(US$ Mil),5950.396126
Cote d'Ivoire,2015,World,Intermediate goods,Export,Export(US$ Mil),2838.94142
Cote d'Ivoire,2015,World,Consumer goods,Export,Export(US$ Mil),2636.664714
Cote d'Ivoire,2015,World,Capital goods,Export,Export(US$ Mil),412.434379999999
Cote d'Ivoire,2015,World,Raw materials,Import,Import(US$ Mil),2456.453752
Cote d'Ivoire,2015,World,Intermediate goods,Import,Import(US$ Mil),2180.196043
Cote d'Ivoire,2015,World,Consumer goods,Import,Import(US$ Mil),2894.2254
Cote d'Ivoire,2015,World,Capital goods,Import,Import(US$ Mil),1965.212212
Cote d'Ivoire,2015,World,All Products,Export,Exports (in US$ Mil),11844.759208
Cote d'Ivoire,2015,World,All Products,Import,Imports (in US$ Mil),9532.205632
Cote d'Ivoire,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),99185.463
Cote d'Ivoire,2015,...,...,Development,Trade Balance (current US$ Mil),1039.240415
Cote d'Ivoire,2015,...,...,Development,GDP (current US$ Mil),31759.248868
Cote d'Ivoire,2015,...,...,Tariff,No. Of Tariff Agreement,2
Cote d'Ivoire,2015,...,...,Import,No. Of Import partners,182
Cote d'Ivoire,2015,...,...,Import,No. Of Import products,3827
Cote d'Ivoire,2015,...,...,Export,No. Of Export partners,156
Cote d'Ivoire,2015,...,...,Export,No. Of Export products,2434
