Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cyprus,2015,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,235.064405
Cyprus,2015,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,206.617325
Cyprus,2015,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,179.748394
Cyprus,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,133.790074
Cyprus,2015,Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,112.562868
Cyprus,2015,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1435.538079
Cyprus,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,500.466168
Cyprus,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,449.232866
Cyprus,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,417.771632
Cyprus,2015,Israel,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,309.555402
Cyprus,2015,World,Animal,Export,Export(US$ Mil),163.029905
Cyprus,2015,World,Vegetable,Export,Export(US$ Mil),79.635883
Cyprus,2015,World,Food Products,Export,Export(US$ Mil),127.33197
Cyprus,2015,World,Minerals,Export,Export(US$ Mil),89.36738
Cyprus,2015,World,Fuels,Export,Export(US$ Mil),320.603063
Cyprus,2015,World,Chemicals,Export,Export(US$ Mil),364.941776
Cyprus,2015,World,Plastic or Rubber,Export,Export(US$ Mil),19.215913
Cyprus,2015,World,Hides and Skins,Export,Export(US$ Mil),6.182311
Cyprus,2015,World,Wood,Export,Export(US$ Mil),9.248144
Cyprus,2015,World,Textiles and Clothing,Export,Export(US$ Mil),19.696055
Cyprus,2015,World,Footwear,Export,Export(US$ Mil),14.0503
Cyprus,2015,World,Stone and Glass,Export,Export(US$ Mil),14.79895
Cyprus,2015,World,Metals,Export,Export(US$ Mil),69.479114
Cyprus,2015,World,Mach and Elec,Export,Export(US$ Mil),203.886555
Cyprus,2015,World,Transportation,Export,Export(US$ Mil),243.587639
Cyprus,2015,World,Miscellaneous,Export,Export(US$ Mil),186.370415
Cyprus,2015,World,Raw materials,Export,Export(US$ Mil),168.653113
Cyprus,2015,World,Intermediate goods,Export,Export(US$ Mil),199.291337
Cyprus,2015,World,Consumer goods,Export,Export(US$ Mil),1026.893858
Cyprus,2015,World,Capital goods,Export,Export(US$ Mil),415.91241
Cyprus,2015,World,Raw materials,Import,Import(US$ Mil),338.228409
Cyprus,2015,World,Intermediate goods,Import,Import(US$ Mil),723.185728
Cyprus,2015,World,Consumer goods,Import,Import(US$ Mil),3847.79536499999
Cyprus,2015,World,Capital goods,Import,Import(US$ Mil),700.941497
Cyprus,2015,World,All Products,Export,Exports (in US$ Mil),1931.425371
Cyprus,2015,World,All Products,Import,Imports (in US$ Mil),5666.003587
Cyprus,2002,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1171144.398
Cyprus,2015,...,...,Development,Trade Balance (current US$ Mil),65.431962
