Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Czech Republic,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,50567.277256
Czech Republic,2015,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14145.818724
Czech Republic,2015,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9228.940903
Czech Republic,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8371.819837
Czech Republic,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8044.959236
Czech Republic,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36564.620718
Czech Republic,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18998.267416
Czech Republic,2015,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11159.82735
Czech Republic,2015,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7227.569769
Czech Republic,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5720.704771
Czech Republic,2015,World,Animal,Export,Export(US$ Mil),1582.660735
Czech Republic,2015,World,Vegetable,Export,Export(US$ Mil),2649.24283
Czech Republic,2015,World,Food Products,Export,Export(US$ Mil),3981.207957
Czech Republic,2015,World,Minerals,Export,Export(US$ Mil),243.463524
Czech Republic,2015,World,Fuels,Export,Export(US$ Mil),4622.78195
Czech Republic,2015,World,Chemicals,Export,Export(US$ Mil),6627.766692
Czech Republic,2015,World,Plastic or Rubber,Export,Export(US$ Mil),9143.732255
Czech Republic,2015,World,Hides and Skins,Export,Export(US$ Mil),549.089207
Czech Republic,2015,World,Wood,Export,Export(US$ Mil),5198.831256
Czech Republic,2015,World,Textiles and Clothing,Export,Export(US$ Mil),3823.741078
Czech Republic,2015,World,Footwear,Export,Export(US$ Mil),896.290118
Czech Republic,2015,World,Stone and Glass,Export,Export(US$ Mil),3464.91202
Czech Republic,2015,World,Metals,Export,Export(US$ Mil),14319.102764
Czech Republic,2015,World,Mach and Elec,Export,Export(US$ Mil),56122.775301
Czech Republic,2015,World,Transportation,Export,Export(US$ Mil),32797.511092
Czech Republic,2015,World,Miscellaneous,Export,Export(US$ Mil),11171.013822
Czech Republic,2015,World,Raw materials,Export,Export(US$ Mil),5074.755454
Czech Republic,2015,World,Intermediate goods,Export,Export(US$ Mil),22383.09106
Czech Republic,2015,World,Consumer goods,Export,Export(US$ Mil),61070.3608319999
Czech Republic,2015,World,Capital goods,Export,Export(US$ Mil),66678.226177
Czech Republic,2015,World,Raw materials,Import,Import(US$ Mil),8317.604022
Czech Republic,2015,World,Intermediate goods,Import,Import(US$ Mil),28120.875543
Czech Republic,2015,World,Consumer goods,Import,Import(US$ Mil),43890.786314
Czech Republic,2015,World,Capital goods,Import,Import(US$ Mil),58795.6962599999
Czech Republic,2015,World,All Products,Export,Exports (in US$ Mil),157194.122601
Czech Republic,2015,World,All Products,Import,Imports (in US$ Mil),140716.185564
Czech Republic,2003,World,All Products,Tariff,Duty Free Imports (US$ Thousand),13228716.553
Czech Republic,2015,...,...,Development,Trade Balance (current US$ Mil),11350.37349
Czech Republic,2015,...,...,Development,GDP (current US$ Mil),185156.35957
Czech Republic,2003,...,...,Tariff,No. Of Tariff Agreement,2
