Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Germany,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126565.88178
Germany,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,113948.629917
Germany,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,98712.709353
Germany,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,87825.91008
Germany,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,79429.90859
Germany,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,103348.241759
Germany,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,97476.691937
Germany,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,74158.393518
Germany,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,68423.395038
Germany,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,54348.280638
Germany,2015,World,Animal,Export,Export(US$ Mil),20647.85257
Germany,2015,World,Vegetable,Export,Export(US$ Mil),16865.100228
Germany,2015,World,Food Products,Export,Export(US$ Mil),39493.529305
Germany,2015,World,Minerals,Export,Export(US$ Mil),2424.07234
Germany,2015,World,Fuels,Export,Export(US$ Mil),28347.256129
Germany,2015,World,Chemicals,Export,Export(US$ Mil),162720.774032
Germany,2015,World,Plastic or Rubber,Export,Export(US$ Mil),70038.39817
Germany,2015,World,Hides and Skins,Export,Export(US$ Mil),3384.416629
Germany,2015,World,Wood,Export,Export(US$ Mil),33436.053887
Germany,2015,World,Textiles and Clothing,Export,Export(US$ Mil),29841.662937
Germany,2015,World,Footwear,Export,Export(US$ Mil),5687.602168
Germany,2015,World,Stone and Glass,Export,Export(US$ Mil),25129.564453
Germany,2015,World,Metals,Export,Export(US$ Mil),95803.36022
Germany,2015,World,Mach and Elec,Export,Export(US$ Mil),346669.806406
Germany,2015,World,Transportation,Export,Export(US$ Mil),293613.911508
Germany,2015,World,Miscellaneous,Export,Export(US$ Mil),154445.773486
Germany,2015,World,Raw materials,Export,Export(US$ Mil),34829.107932
Germany,2015,World,Intermediate goods,Export,Export(US$ Mil),244895.141746
Germany,2015,World,Consumer goods,Export,Export(US$ Mil),472015.924607
Germany,2015,World,Capital goods,Export,Export(US$ Mil),502136.994436
Germany,2015,World,Raw materials,Import,Import(US$ Mil),103616.954271
Germany,2015,World,Intermediate goods,Import,Import(US$ Mil),218868.33239
Germany,2015,World,Consumer goods,Import,Import(US$ Mil),355816.38415
Germany,2015,World,Capital goods,Import,Import(US$ Mil),320395.556747
Germany,2015,World,All Products,Export,Exports (in US$ Mil),1328549.134465
Germany,2015,World,All Products,Import,Imports (in US$ Mil),1057616.385859
Germany,2015,...,...,Development,Trade Balance (current US$ Mil),254562.4931
Germany,2015,...,...,Development,GDP (current US$ Mil),3363446.8227
Germany,2015,...,...,Import,No. Of Import partners,224
Germany,2015,...,...,Import,No. Of Import products,4525
Germany,2015,...,...,Export,No. Of Export partners,230
Germany,2015,...,...,Export,No. Of Export products,4410
Germany,2015,...,...,Others,Population,81413145
Germany,2016,...,...,Others,Ease of Doing Business Rank,17
Germany,2016,...,...,Others,Trading Across Borders Rank,38
Germany,2014,...,...,Others,LPI Rank,1
Germany,2014,...,...,Others,LPI Score,4.121983
Germany,,...,...,Others,Services Trade Restrictions Index - Over All,17.5
Germany,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,9.5266
Germany,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5769
Germany,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4301
Germany,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6107
Germany,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9787
Germany,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.7718
Germany,2015,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,9.2166
Germany,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0118
Germany,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4696
Germany,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1388
Germany,2015,World,Animal,Export,Export Product share(%),1.5542
Germany,2015,World,Vegetable,Export,Export Product share(%),1.2694
Germany,2015,World,Food Products,Export,Export Product share(%),2.9727
Germany,2015,World,Minerals,Export,Export Product share(%),0.1825
Germany,2015,World,Fuels,Export,Export Product share(%),2.1337
Germany,2015,World,Chemicals,Export,Export Product share(%),12.248
Germany,2015,World,Plastic or Rubber,Export,Export Product share(%),5.2718
Germany,2015,World,Hides and Skins,Export,Export Product share(%),0.2547
Germany,2015,World,Wood,Export,Export Product share(%),2.5167
Germany,2015,World,Textiles and Clothing,Export,Export Product share(%),2.2462
Germany,2015,World,Footwear,Export,Export Product share(%),0.4281
Germany,2015,World,Stone and Glass,Export,Export Product share(%),1.8915
Germany,2015,World,Metals,Export,Export Product share(%),7.2111
Germany,2015,World,Mach and Elec,Export,Export Product share(%),26.0939
Germany,2015,World,Transportation,Export,Export Product share(%),22.1003
Germany,2015,World,Miscellaneous,Export,Export Product share(%),11.6251
Germany,2015,World,Raw materials,Export,Export Product share(%),2.6216
Germany,2015,World,Intermediate goods,Export,Export Product share(%),18.4333
Germany,2015,World,Consumer goods,Export,Export Product share(%),35.5287
Germany,2015,World,Capital goods,Export,Export Product share(%),37.7959
Germany,2015,World,Raw materials,Import,Import Product share(%),9.7972
Germany,2015,World,Intermediate goods,Import,Import Product share(%),20.6945
Germany,2015,World,Consumer goods,Import,Import Product share(%),33.6432
Germany,2015,World,Capital goods,Import,Import Product share(%),30.2941
Germany,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Germany,2015,World,All Products,Trade Indicator,Country Growth (%),-6.52121004722901
Germany,2015,...,...,Trade Indicator,Index of export market penetration,40.7786839794532
Germany,2015,...,...,Trade Indicator,HH Market concentration index,0.039217043022687
Germany,2015,...,...,Development,Trade Balance (% of GDP),7.568500603
Germany,2015,...,...,Development,Trade in services (% of GDP),16.720504314
Germany,2015,...,...,Development,Trade (% of GDP),85.993860499
Germany,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",45940
