Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ethiopia(excludes Eritrea),2015,Somalia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,671.74658
Ethiopia(excludes Eritrea),2015,Kuwait,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,643.145934
Ethiopia(excludes Eritrea),2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,535.021422
Ethiopia(excludes Eritrea),2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,378.491348
Ethiopia(excludes Eritrea),2015,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,357.13825
Ethiopia(excludes Eritrea),2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7166.912395
Ethiopia(excludes Eritrea),2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5790.721447
Ethiopia(excludes Eritrea),2015,Kuwait,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1473.881716
Ethiopia(excludes Eritrea),2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1358.584873
Ethiopia(excludes Eritrea),2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1060.483018
Ethiopia(excludes Eritrea),2015,World,Animal,Export,Export(US$ Mil),444.920616
Ethiopia(excludes Eritrea),2015,World,Vegetable,Export,Export(US$ Mil),3252.100586
Ethiopia(excludes Eritrea),2015,World,Food Products,Export,Export(US$ Mil),26.475936
Ethiopia(excludes Eritrea),2015,World,Minerals,Export,Export(US$ Mil),29.2975
Ethiopia(excludes Eritrea),2015,World,Fuels,Export,Export(US$ Mil),693.185885
Ethiopia(excludes Eritrea),2015,World,Chemicals,Export,Export(US$ Mil),3.160035
Ethiopia(excludes Eritrea),2015,World,Plastic or Rubber,Export,Export(US$ Mil),3.611487
Ethiopia(excludes Eritrea),2015,World,Hides and Skins,Export,Export(US$ Mil),104.762593
Ethiopia(excludes Eritrea),2015,World,Wood,Export,Export(US$ Mil),4.726757
Ethiopia(excludes Eritrea),2015,World,Textiles and Clothing,Export,Export(US$ Mil),114.788939
Ethiopia(excludes Eritrea),2015,World,Footwear,Export,Export(US$ Mil),37.711492
Ethiopia(excludes Eritrea),2015,World,Stone and Glass,Export,Export(US$ Mil),176.280315
Ethiopia(excludes Eritrea),2015,World,Metals,Export,Export(US$ Mil),6.269134
Ethiopia(excludes Eritrea),2015,World,Mach and Elec,Export,Export(US$ Mil),51.287607
Ethiopia(excludes Eritrea),2015,World,Transportation,Export,Export(US$ Mil),68.54332
Ethiopia(excludes Eritrea),2015,World,Miscellaneous,Export,Export(US$ Mil),10.423876
Ethiopia(excludes Eritrea),2015,World,Raw materials,Export,Export(US$ Mil),2747.678127
Ethiopia(excludes Eritrea),2015,World,Intermediate goods,Export,Export(US$ Mil),625.009075
Ethiopia(excludes Eritrea),2015,World,Consumer goods,Export,Export(US$ Mil),1564.059073
Ethiopia(excludes Eritrea),2015,World,Capital goods,Export,Export(US$ Mil),89.4583190000002
Ethiopia(excludes Eritrea),2015,World,Raw materials,Import,Import(US$ Mil),936.849767
