Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Georgia,2015,Azerbaijan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,240.950358
Georgia,2015,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,214.247112
Georgia,2015,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,168.40755
Georgia,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,159.440353
Georgia,2015,Armenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,157.001716
Georgia,2015,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1327.397519
Georgia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,587.357263
Georgia,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,515.754718
Georgia,2015,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,456.223845
Georgia,2015,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,455.571487
Georgia,2015,World,Animal,Export,Export(US$ Mil),53.067597
Georgia,2015,World,Vegetable,Export,Export(US$ Mil),241.667942
Georgia,2015,World,Food Products,Export,Export(US$ Mil),317.458984
Georgia,2015,World,Minerals,Export,Export(US$ Mil),277.360385
Georgia,2015,World,Fuels,Export,Export(US$ Mil),136.431058
Georgia,2015,World,Chemicals,Export,Export(US$ Mil),312.817695
Georgia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),32.853131
Georgia,2015,World,Hides and Skins,Export,Export(US$ Mil),5.620541
Georgia,2015,World,Wood,Export,Export(US$ Mil),26.330612
Georgia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),91.265409
Georgia,2015,World,Footwear,Export,Export(US$ Mil),2.270963
Georgia,2015,World,Stone and Glass,Export,Export(US$ Mil),85.954122
Georgia,2015,World,Metals,Export,Export(US$ Mil),293.447988
Georgia,2015,World,Mach and Elec,Export,Export(US$ Mil),65.023706
Georgia,2015,World,Transportation,Export,Export(US$ Mil),228.88386
Georgia,2015,World,Miscellaneous,Export,Export(US$ Mil),34.222258
Georgia,2015,World,Raw materials,Export,Export(US$ Mil),669.361674
Georgia,2015,World,Intermediate goods,Export,Export(US$ Mil),559.141406
Georgia,2015,World,Consumer goods,Export,Export(US$ Mil),844.864452
Georgia,2015,World,Capital goods,Export,Export(US$ Mil),117.642055
Georgia,2015,World,Raw materials,Import,Import(US$ Mil),748.945435
Georgia,2015,World,Intermediate goods,Import,Import(US$ Mil),1096.467272
Georgia,2015,World,Consumer goods,Import,Import(US$ Mil),4373.13376200001
Georgia,2015,World,Capital goods,Import,Import(US$ Mil),1379.162147
Georgia,2015,World,All Products,Export,Exports (in US$ Mil),2204.67625
Georgia,2015,World,All Products,Import,Imports (in US$ Mil),7730.081504
Georgia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7126074.45199999
Georgia,2015,...,...,Development,Trade Balance (current US$ Mil),-2774.9319614
Georgia,2015,...,...,Development,GDP (current US$ Mil),13965.385802
Georgia,2015,...,...,Tariff,No. Of Tariff Agreement,5
Georgia,2015,...,...,Import,No. Of Import partners,126
Georgia,2015,...,...,Import,No. Of Import products,3927
Georgia,2015,...,...,Export,No. Of Export partners,113
Georgia,2015,...,...,Export,No. Of Export products,2173
Georgia,2015,...,...,Others,Population,3679000
Georgia,2016,...,...,Others,Ease of Doing Business Rank,16
Georgia,2016,...,...,Others,Trading Across Borders Rank,54
Georgia,2013,...,...,Others,CPIA Trade Ratings,6
Georgia,2014,...,...,Others,LPI Rank,116
Georgia,2014,...,...,Others,LPI Score,2.507491
Georgia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0047404
Georgia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0144548
Georgia,,...,...,Others,Services Trade Restrictions Index - Over All,11.5
Georgia,2015,Azerbaijan,All Products,Export,Partner share(%)-Top 5 Export Partner,10.9291
Georgia,2015,Bulgaria,All Products,Export,Partner share(%)-Top 5 Export Partner,9.7178
Georgia,2015,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,7.6387
Georgia,2015,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,7.2319
Georgia,2015,Armenia,All Products,Export,Partner share(%)-Top 5 Export Partner,7.1213
Georgia,2015,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,17.1718
Georgia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5983
Georgia,2015,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,6.672
Georgia,2015,Ireland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.9019
Georgia,2015,Ukraine,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8935
Georgia,2015,World,Animal,Export,Export Product share(%),2.407
Georgia,2015,World,Vegetable,Export,Export Product share(%),10.9616
Georgia,2015,World,Food Products,Export,Export Product share(%),14.3993
Georgia,2015,World,Minerals,Export,Export Product share(%),12.5805
Georgia,2015,World,Fuels,Export,Export Product share(%),6.1883
Georgia,2015,World,Chemicals,Export,Export Product share(%),14.1888
Georgia,2015,World,Plastic or Rubber,Export,Export Product share(%),1.4902
Georgia,2015,World,Hides and Skins,Export,Export Product share(%),0.2549
Georgia,2015,World,Wood,Export,Export Product share(%),1.1943
Georgia,2015,World,Textiles and Clothing,Export,Export Product share(%),4.1396
Georgia,2015,World,Footwear,Export,Export Product share(%),0.103
Georgia,2015,World,Stone and Glass,Export,Export Product share(%),3.8987
Georgia,2015,World,Metals,Export,Export Product share(%),13.3103
Georgia,2015,World,Mach and Elec,Export,Export Product share(%),2.9494
Georgia,2015,World,Transportation,Export,Export Product share(%),10.3817
Georgia,2015,World,Miscellaneous,Export,Export Product share(%),1.5523
Georgia,2015,World,Raw materials,Export,Export Product share(%),30.361
Georgia,2015,World,Intermediate goods,Export,Export Product share(%),25.3616
Georgia,2015,World,Consumer goods,Export,Export Product share(%),38.3215
Georgia,2015,World,Capital goods,Export,Export Product share(%),5.336
