Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Israel,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18124.36
Israel,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5312.542
Israel,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3992.379
Israel,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3837.366
Israel,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3251.439
Israel,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8089.169
Israel,2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6646.427
Israel,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5768.087
Israel,2015,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4426.081
Israel,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3806.93
Israel,2015,World,Animal,Export,Export(US$ Mil),42.263
Israel,2015,World,Vegetable,Export,Export(US$ Mil),1340.741
Israel,2015,World,Food Products,Export,Export(US$ Mil),741.283
Israel,2015,World,Minerals,Export,Export(US$ Mil),200.741
Israel,2015,World,Fuels,Export,Export(US$ Mil),507.32
Israel,2015,World,Chemicals,Export,Export(US$ Mil),13976.672
Israel,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2434.334
Israel,2015,World,Hides and Skins,Export,Export(US$ Mil),37.98
Israel,2015,World,Wood,Export,Export(US$ Mil),296.852
Israel,2015,World,Textiles and Clothing,Export,Export(US$ Mil),929.587
Israel,2015,World,Footwear,Export,Export(US$ Mil),76.358
Israel,2015,World,Stone and Glass,Export,Export(US$ Mil),18625.374
Israel,2015,World,Metals,Export,Export(US$ Mil),2043.313
Israel,2015,World,Mach and Elec,Export,Export(US$ Mil),14509.826
Israel,2015,World,Transportation,Export,Export(US$ Mil),3144.686
Israel,2015,World,Miscellaneous,Export,Export(US$ Mil),5154.887
Israel,2015,World,Raw materials,Export,Export(US$ Mil),4169.325
Israel,2015,World,Intermediate goods,Export,Export(US$ Mil),27081.193
Israel,2015,World,Consumer goods,Export,Export(US$ Mil),13326.485
Israel,2015,World,Capital goods,Export,Export(US$ Mil),18267.566
Israel,2015,World,Raw materials,Import,Import(US$ Mil),11457.581
Israel,2015,World,Intermediate goods,Import,Import(US$ Mil),14385.781
Israel,2015,World,Consumer goods,Import,Import(US$ Mil),18365.885
Israel,2015,World,Capital goods,Import,Import(US$ Mil),16804.22
Israel,2015,World,All Products,Export,Exports (in US$ Mil),64062.217
Israel,2015,World,All Products,Import,Imports (in US$ Mil),62067.788
