Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Jamaica,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,467.011427
Jamaica,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,182.458132
Jamaica,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,110.353004
Jamaica,2015,Iceland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,99.00232
Jamaica,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,87.766034
Jamaica,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1873.113127
Jamaica,2015,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,474.414816
Jamaica,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,408.995459
Jamaica,2015,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,353.661007
Jamaica,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,177.253139
Jamaica,2015,World,Animal,Export,Export(US$ Mil),19.575702
Jamaica,2015,World,Vegetable,Export,Export(US$ Mil),71.551179
Jamaica,2015,World,Food Products,Export,Export(US$ Mil),143.530938
Jamaica,2015,World,Minerals,Export,Export(US$ Mil),154.505586
Jamaica,2015,World,Fuels,Export,Export(US$ Mil),194.447476
Jamaica,2015,World,Chemicals,Export,Export(US$ Mil),566.732401
Jamaica,2015,World,Plastic or Rubber,Export,Export(US$ Mil),9.555178
Jamaica,2015,World,Hides and Skins,Export,Export(US$ Mil),0.025752
Jamaica,2015,World,Wood,Export,Export(US$ Mil),2.96916
Jamaica,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1.453421
Jamaica,2015,World,Footwear,Export,Export(US$ Mil),0.037168
Jamaica,2015,World,Stone and Glass,Export,Export(US$ Mil),7.699307
Jamaica,2015,World,Metals,Export,Export(US$ Mil),12.295247
Jamaica,2015,World,Mach and Elec,Export,Export(US$ Mil),11.724242
Jamaica,2015,World,Transportation,Export,Export(US$ Mil),8.510228
Jamaica,2015,World,Miscellaneous,Export,Export(US$ Mil),57.971862
Jamaica,2015,World,Raw materials,Export,Export(US$ Mil),220.186221
Jamaica,2015,World,Intermediate goods,Export,Export(US$ Mil),602.449154
Jamaica,2015,World,Consumer goods,Export,Export(US$ Mil),368.498397
Jamaica,2015,World,Capital goods,Export,Export(US$ Mil),17.357165
Jamaica,2015,World,Raw materials,Import,Import(US$ Mil),684.839587
Jamaica,2015,World,Intermediate goods,Import,Import(US$ Mil),750.280867
Jamaica,2015,World,Consumer goods,Import,Import(US$ Mil),2570.785319
Jamaica,2015,World,Capital goods,Import,Import(US$ Mil),792.113772
Jamaica,2015,World,All Products,Export,Exports (in US$ Mil),1262.584854
Jamaica,2015,World,All Products,Import,Imports (in US$ Mil),4993.029814
