Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Japan,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126387.232489
Japan,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,109277.766995
Japan,2015,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44018.768431
Japan,2015,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36960.993854
Japan,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35006.278282
Japan,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,160559.698699
Japan,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,68347.457576
Japan,2015,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34791.622271
Japan,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26807.292104
Japan,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23521.356904
Japan,2015,World,Animal,Export,Export(US$ Mil),1584.807098
Japan,2015,World,Vegetable,Export,Export(US$ Mil),855.573357
Japan,2015,World,Food Products,Export,Export(US$ Mil),2978.767056
Japan,2015,World,Minerals,Export,Export(US$ Mil),905.266368
Japan,2015,World,Fuels,Export,Export(US$ Mil),11380.089464
Japan,2015,World,Chemicals,Export,Export(US$ Mil),46913.611584
Japan,2015,World,Plastic or Rubber,Export,Export(US$ Mil),32833.845904
Japan,2015,World,Hides and Skins,Export,Export(US$ Mil),246.609734
Japan,2015,World,Wood,Export,Export(US$ Mil),5383.123933
Japan,2015,World,Textiles and Clothing,Export,Export(US$ Mil),7835.575927
Japan,2015,World,Footwear,Export,Export(US$ Mil),169.197425
Japan,2015,World,Stone and Glass,Export,Export(US$ Mil),16703.006166
Japan,2015,World,Metals,Export,Export(US$ Mil),53476.705079
Japan,2015,World,Mach and Elec,Export,Export(US$ Mil),206314.153364
Japan,2015,World,Transportation,Export,Export(US$ Mil),151516.384219
Japan,2015,World,Miscellaneous,Export,Export(US$ Mil),85776.791437
Japan,2015,World,Raw materials,Export,Export(US$ Mil),8207.063836
Japan,2015,World,Intermediate goods,Export,Export(US$ Mil),129740.153254
Japan,2015,World,Consumer goods,Export,Export(US$ Mil),155756.884504
Japan,2015,World,Capital goods,Export,Export(US$ Mil),290137.516181
Japan,2015,World,Raw materials,Import,Import(US$ Mil),127712.078321
Japan,2015,World,Intermediate goods,Import,Import(US$ Mil),93994.985974
Japan,2015,World,Consumer goods,Import,Import(US$ Mil),223873.004021
Japan,2015,World,Capital goods,Import,Import(US$ Mil),164636.937856
Japan,2015,World,All Products,Export,Exports (in US$ Mil),624873.508116
Japan,2015,World,All Products,Import,Imports (in US$ Mil),625568.420678
