Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,387963.687806
,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74791.364322
,2015,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25672.32708
,2015,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20013.107251
,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19129.04244
,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,300560.210281
,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,165729.114907
,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36333.327025
,2015,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34762.152
,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31405.771057
,2015,World,Animal,Export,Export(US$ Mil),36719.145896
,2015,World,Vegetable,Export,Export(US$ Mil),97597.086199
,2015,World,Food Products,Export,Export(US$ Mil),65985.9495349999
,2015,World,Minerals,Export,Export(US$ Mil),52376.975003
,2015,World,Fuels,Export,Export(US$ Mil),73312.066571
,2015,World,Chemicals,Export,Export(US$ Mil),34243.821055
,2015,World,Plastic or Rubber,Export,Export(US$ Mil),22875.801073
,2015,World,Hides and Skins,Export,Export(US$ Mil),5090.010299
,2015,World,Wood,Export,Export(US$ Mil),22541.94909
,2015,World,Textiles and Clothing,Export,Export(US$ Mil),19696.058691
,2015,World,Footwear,Export,Export(US$ Mil),2722.030656
,2015,World,Stone and Glass,Export,Export(US$ Mil),31671.270513
,2015,World,Metals,Export,Export(US$ Mil),56740.694807
,2015,World,Mach and Elec,Export,Export(US$ Mil),161913.745341
,2015,World,Transportation,Export,Export(US$ Mil),120206.472019
,2015,World,Miscellaneous,Export,Export(US$ Mil),43647.891636
,2015,World,Raw materials,Export,Export(US$ Mil),232187.200386
,2015,World,Intermediate goods,Export,Export(US$ Mil),179616.122098999
,2015,World,Consumer goods,Export,Export(US$ Mil),183043.940769
,2015,World,Capital goods,Export,Export(US$ Mil),225397.772774
,2015,World,Raw materials,Import,Import(US$ Mil),58440.819554
,2015,World,Intermediate goods,Import,Import(US$ Mil),208320.302007001
,2015,World,Consumer goods,Import,Import(US$ Mil),289105.695319
,2015,World,Capital goods,Import,Import(US$ Mil),346296.442464996
,2015,World,All Products,Export,Exports (in US$ Mil),847340.968394
,2015,World,All Products,Import,Imports (in US$ Mil),927313.055376
,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),205413177.753998
,2015,...,...,Development,Trade Balance (current US$ Mil),-121323.3842
,2015,...,...,Development,GDP (current US$ Mil),5293792.9787
,2015,...,...,Tariff,No. Of Tariff Agreement,1300
,2015,...,...,Import,No. Of Import partners,237
,2015,...,...,Import,No. Of Import products,4765
,2015,...,...,Export,No. Of Export partners,228
,2015,...,...,Export,No. Of Export products,4604
,2015,...,...,Others,Population,632959079
,2015,...,...,Others,CPIA Trade Ratings,4.1111111111
,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,45.786
,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8266
,2015,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,3.0298
,2015,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,2.3619
,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,2.2575
,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,32.4119
,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.872
,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.9181
,2015,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,3.7487
,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,3.3867
,2015,World,Animal,Export,Export Product share(%),4.3335
,2015,World,Vegetable,Export,Export Product share(%),11.518
,2015,World,Food Products,Export,Export Product share(%),7.7874
,2015,World,Minerals,Export,Export Product share(%),6.1813
,2015,World,Fuels,Export,Export Product share(%),8.652
,2015,World,Chemicals,Export,Export Product share(%),4.0413
,2015,World,Plastic or Rubber,Export,Export Product share(%),2.6997
,2015,World,Hides and Skins,Export,Export Product share(%),0.6007
,2015,World,Wood,Export,Export Product share(%),2.6603
,2015,World,Textiles and Clothing,Export,Export Product share(%),2.3245
,2015,World,Footwear,Export,Export Product share(%),0.3212
,2015,World,Stone and Glass,Export,Export Product share(%),3.7377
,2015,World,Metals,Export,Export Product share(%),6.6963
,2015,World,Mach and Elec,Export,Export Product share(%),19.1085
,2015,World,Transportation,Export,Export Product share(%),14.1863
,2015,World,Miscellaneous,Export,Export Product share(%),5.1512
,2015,World,Raw materials,Export,Export Product share(%),27.4019
,2015,World,Intermediate goods,Export,Export Product share(%),21.1976
,2015,World,Consumer goods,Export,Export Product share(%),21.6022
,2015,World,Capital goods,Export,Export Product share(%),26.6006
,2015,World,Raw materials,Import,Import Product share(%),6.3022
,2015,World,Intermediate goods,Import,Import Product share(%),22.4649
,2015,World,Consumer goods,Import,Import Product share(%),31.1767
,2015,World,Capital goods,Import,Import Product share(%),37.3441
,2015,World,Raw materials,Tariff,Weighted Average (%),1.88438756686818
,2015,World,Intermediate goods,Tariff,Weighted Average (%),5.17508209573628
,2015,World,Consumer goods,Tariff,Weighted Average (%),7.52372980815258
,2015,World,Capital goods,Tariff,Weighted Average (%),7.2079697118745
,2015,World,All Products,Trade Indicator,World Growth (%),
,2015,World,All Products,Trade Indicator,Country Growth (%),
,2015,World,All Products,Tariff,Simple Average (%),8.48998110885625
,2015,World,All Products,Tariff,Weighted Average (%),6.2613084709607
,2015,World,All Products,Tariff,Maximum Rate (%),1080.41101074219
,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),38.8744283511473
,2015,...,...,Trade Indicator,Index of export market penetration,
,2015,...,...,Trade Indicator,HH Market concentration index,
,2015,...,...,Development,Trade Balance (% of GDP),-2.362477883
,2015,...,...,Development,Trade in services (% of GDP),6.8972353119
,2015,...,...,Development,Trade (% of GDP),43.424843995
,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",8933.3413947
