Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Morocco,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4997.382531
Morocco,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4389.426813
Morocco,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,975.457788
Morocco,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,876.670331
Morocco,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,771.74557
Morocco,2015,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5224.655459
Morocco,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4755.405027
Morocco,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3152.868072
Morocco,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2440.844356
Morocco,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2179.611505
Morocco,2015,World,Animal,Export,Export(US$ Mil),1239.968759
Morocco,2015,World,Vegetable,Export,Export(US$ Mil),1998.76126
Morocco,2015,World,Food Products,Export,Export(US$ Mil),1308.805298
Morocco,2015,World,Minerals,Export,Export(US$ Mil),1543.40319
Morocco,2015,World,Fuels,Export,Export(US$ Mil),441.600242
Morocco,2015,World,Chemicals,Export,Export(US$ Mil),3774.357241
Morocco,2015,World,Plastic or Rubber,Export,Export(US$ Mil),171.663962
Morocco,2015,World,Hides and Skins,Export,Export(US$ Mil),108.914244
Morocco,2015,World,Wood,Export,Export(US$ Mil),139.947724
Morocco,2015,World,Textiles and Clothing,Export,Export(US$ Mil),3200.655348
Morocco,2015,World,Footwear,Export,Export(US$ Mil),308.197593
Morocco,2015,World,Stone and Glass,Export,Export(US$ Mil),311.619523
Morocco,2015,World,Metals,Export,Export(US$ Mil),522.123173
Morocco,2015,World,Mach and Elec,Export,Export(US$ Mil),3773.158637
Morocco,2015,World,Transportation,Export,Export(US$ Mil),3011.83855
Morocco,2015,World,Miscellaneous,Export,Export(US$ Mil),181.805242
Morocco,2015,World,Raw materials,Export,Export(US$ Mil),3793.734514
Morocco,2015,World,Intermediate goods,Export,Export(US$ Mil),6065.098566
Morocco,2015,World,Consumer goods,Export,Export(US$ Mil),10525.962457
Morocco,2015,World,Capital goods,Export,Export(US$ Mil),1638.77854
Morocco,2015,World,Raw materials,Import,Import(US$ Mil),4921.012717
Morocco,2015,World,Intermediate goods,Import,Import(US$ Mil),11206.054711
Morocco,2015,World,Consumer goods,Import,Import(US$ Mil),13231.971115
Morocco,2015,World,Capital goods,Import,Import(US$ Mil),7695.133671
Morocco,2015,World,All Products,Export,Exports (in US$ Mil),22036.819983
Morocco,2015,World,All Products,Import,Imports (in US$ Mil),37545.666094
Morocco,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),13019428.111
