Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Moldova,2015,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,446.370394
Moldova,2015,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,240.648608
Moldova,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,197.047302
Moldova,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,138.156653
Moldova,2015,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,131.563932
Moldova,2015,Romania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,555.137307
Moldova,2015,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,535.691125
Moldova,2015,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,371.128
Moldova,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,366.426128
Moldova,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,321.297162
Moldova,2015,World,Animal,Export,Export(US$ Mil),37.51091
Moldova,2015,World,Vegetable,Export,Export(US$ Mil),573.833523
Moldova,2015,World,Food Products,Export,Export(US$ Mil),303.264905
Moldova,2015,World,Minerals,Export,Export(US$ Mil),6.830334
Moldova,2015,World,Fuels,Export,Export(US$ Mil),10.058404
Moldova,2015,World,Chemicals,Export,Export(US$ Mil),118.739473
Moldova,2015,World,Plastic or Rubber,Export,Export(US$ Mil),40.280738
Moldova,2015,World,Hides and Skins,Export,Export(US$ Mil),25.026761
Moldova,2015,World,Wood,Export,Export(US$ Mil),20.200234
Moldova,2015,World,Textiles and Clothing,Export,Export(US$ Mil),273.714391
Moldova,2015,World,Footwear,Export,Export(US$ Mil),24.013801
Moldova,2015,World,Stone and Glass,Export,Export(US$ Mil),42.603083
Moldova,2015,World,Metals,Export,Export(US$ Mil),43.244216
Moldova,2015,World,Mach and Elec,Export,Export(US$ Mil),295.511341
Moldova,2015,World,Transportation,Export,Export(US$ Mil),18.040197
Moldova,2015,World,Miscellaneous,Export,Export(US$ Mil),133.965003
Moldova,2015,World,Raw materials,Export,Export(US$ Mil),593.71745
Moldova,2015,World,Intermediate goods,Export,Export(US$ Mil),234.919768
Moldova,2015,World,Consumer goods,Export,Export(US$ Mil),1012.483101
Moldova,2015,World,Capital goods,Export,Export(US$ Mil),123.127908
Moldova,2015,World,Raw materials,Import,Import(US$ Mil),265.819233
Moldova,2015,World,Intermediate goods,Import,Import(US$ Mil),934.188887999998
Moldova,2015,World,Consumer goods,Import,Import(US$ Mil),1835.606708
Moldova,2015,World,Capital goods,Import,Import(US$ Mil),643.127689999999
Moldova,2015,World,All Products,Export,Exports (in US$ Mil),1966.837314
Moldova,2015,World,All Products,Import,Imports (in US$ Mil),3986.820641
Moldova,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2200591.416
Moldova,2015,...,...,Development,Trade Balance (current US$ Mil),-2028.9208007
Moldova,2015,...,...,Development,GDP (current US$ Mil),6568.2888618
Moldova,2015,...,...,Tariff,No. Of Tariff Agreement,9
Moldova,2015,...,...,Import,No. Of Import partners,165
Moldova,2015,...,...,Import,No. Of Import products,3782
Moldova,2015,...,...,Export,No. Of Export partners,115
Moldova,2015,...,...,Export,No. Of Export products,2097
Moldova,2015,...,...,Others,Population,3554150
Moldova,2016,...,...,Others,Ease of Doing Business Rank,44
Moldova,2016,...,...,Others,Trading Across Borders Rank,34
Moldova,2015,...,...,Others,CPIA Trade Ratings,4.5
Moldova,2014,...,...,Others,LPI Rank,94
Moldova,2014,...,...,Others,LPI Score,2.653311
Moldova,2015,Romania,All Products,Export,Partner share(%)-Top 5 Export Partner,22.6948
Moldova,2015,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,12.2353
Moldova,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,10.0185
Moldova,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0243
Moldova,2015,Belarus,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6891
Moldova,2015,Romania,All Products,Import,Partner share(%)-Top 5 Import Partner,13.9243
Moldova,2015,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,13.4365
Moldova,2015,Ukraine,All Products,Import,Partner share(%)-Top 5 Import Partner,9.3089
