Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Madagascar,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,436.955155
Madagascar,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,234.521967
Madagascar,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,145.980033
Madagascar,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,142.974874
Madagascar,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,126.020942
Madagascar,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,539.4252
Madagascar,2015,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,203.73948
Madagascar,2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,198.996259
Madagascar,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,189.433357
Madagascar,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,183.067568
Madagascar,2015,World,Animal,Export,Export(US$ Mil),80.9007
Madagascar,2015,World,Vegetable,Export,Export(US$ Mil),480.541168
Madagascar,2015,World,Food Products,Export,Export(US$ Mil),106.720902
Madagascar,2015,World,Minerals,Export,Export(US$ Mil),86.93883
Madagascar,2015,World,Fuels,Export,Export(US$ Mil),64.240415
Madagascar,2015,World,Chemicals,Export,Export(US$ Mil),55.725784
Madagascar,2015,World,Plastic or Rubber,Export,Export(US$ Mil),4.436191
Madagascar,2015,World,Hides and Skins,Export,Export(US$ Mil),11.625313
Madagascar,2015,World,Wood,Export,Export(US$ Mil),29.880783
Madagascar,2015,World,Textiles and Clothing,Export,Export(US$ Mil),479.248057
Madagascar,2015,World,Footwear,Export,Export(US$ Mil),2.570018
Madagascar,2015,World,Stone and Glass,Export,Export(US$ Mil),27.617054
Madagascar,2015,World,Metals,Export,Export(US$ Mil),654.787555
Madagascar,2015,World,Mach and Elec,Export,Export(US$ Mil),24.538273
Madagascar,2015,World,Transportation,Export,Export(US$ Mil),8.491323
Madagascar,2015,World,Miscellaneous,Export,Export(US$ Mil),46.198827
Madagascar,2015,World,Raw materials,Export,Export(US$ Mil),348.093922
Madagascar,2015,World,Intermediate goods,Export,Export(US$ Mil),755.268385
Madagascar,2015,World,Consumer goods,Export,Export(US$ Mil),1004.426932
Madagascar,2015,World,Capital goods,Export,Export(US$ Mil),34.416266
Madagascar,2015,World,Raw materials,Import,Import(US$ Mil),214.419511
Madagascar,2015,World,Intermediate goods,Import,Import(US$ Mil),923.034639999999
Madagascar,2015,World,Consumer goods,Import,Import(US$ Mil),1238.873908
Madagascar,2015,World,Capital goods,Import,Import(US$ Mil),548.739431
Madagascar,2015,World,All Products,Export,Exports (in US$ Mil),2164.461193
Madagascar,2015,World,All Products,Import,Imports (in US$ Mil),2960.905154
Madagascar,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1468415.711
Madagascar,2015,...,...,Development,Trade Balance (current US$ Mil),-983.2362121
Madagascar,2015,...,...,Development,GDP (current US$ Mil),9738.6523222
Madagascar,2014,...,...,Tariff,No. Of Tariff Agreement,9
Madagascar,2015,...,...,Import,No. Of Import partners,167
Madagascar,2015,...,...,Import,No. Of Import products,3671
Madagascar,2015,...,...,Export,No. Of Export partners,131
Madagascar,2015,...,...,Export,No. Of Export products,1865
Madagascar,2015,...,...,Others,Population,24235390
Madagascar,2016,...,...,Others,Ease of Doing Business Rank,167
Madagascar,2016,...,...,Others,Trading Across Borders Rank,129
Madagascar,2015,...,...,Others,CPIA Trade Ratings,4
Madagascar,2014,...,...,Others,LPI Rank,132
Madagascar,2014,...,...,Others,LPI Score,2.382349
Madagascar,,...,...,Others,Services Trade Restrictions Index - Over All,18.7
Madagascar,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,20.1877
Madagascar,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.8351
Madagascar,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7444
Madagascar,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6056
Madagascar,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8223
Madagascar,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.2183
Madagascar,2015,Bahrain,All Products,Import,Partner share(%)-Top 5 Import Partner,6.881
Madagascar,2015,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7208
Madagascar,2015,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3978
Madagascar,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1828
Madagascar,2015,World,Animal,Export,Export Product share(%),3.7377
Madagascar,2015,World,Vegetable,Export,Export Product share(%),22.2014
Madagascar,2015,World,Food Products,Export,Export Product share(%),4.9306
Madagascar,2015,World,Minerals,Export,Export Product share(%),4.0166
Madagascar,2015,World,Fuels,Export,Export Product share(%),2.968
Madagascar,2015,World,Chemicals,Export,Export Product share(%),2.5746
Madagascar,2015,World,Plastic or Rubber,Export,Export Product share(%),0.205
Madagascar,2015,World,Hides and Skins,Export,Export Product share(%),0.5371
Madagascar,2015,World,Wood,Export,Export Product share(%),1.3805
Madagascar,2015,World,Textiles and Clothing,Export,Export Product share(%),22.1417
Madagascar,2015,World,Footwear,Export,Export Product share(%),0.1187
Madagascar,2015,World,Stone and Glass,Export,Export Product share(%),1.2759
Madagascar,2015,World,Metals,Export,Export Product share(%),30.2518
Madagascar,2015,World,Mach and Elec,Export,Export Product share(%),1.1337
Madagascar,2015,World,Transportation,Export,Export Product share(%),0.3923
Madagascar,2015,World,Miscellaneous,Export,Export Product share(%),2.1344
Madagascar,2015,World,Raw materials,Export,Export Product share(%),16.0822
Madagascar,2015,World,Intermediate goods,Export,Export Product share(%),34.8941
Madagascar,2015,World,Consumer goods,Export,Export Product share(%),46.4054
Madagascar,2015,World,Capital goods,Export,Export Product share(%),1.5901
Madagascar,2015,World,Raw materials,Import,Import Product share(%),7.2417
Madagascar,2015,World,Intermediate goods,Import,Import Product share(%),31.1741
Madagascar,2015,World,Consumer goods,Import,Import Product share(%),41.8411
Madagascar,2015,World,Capital goods,Import,Import Product share(%),18.5328
Madagascar,2014,World,Raw materials,Tariff,Weighted Average (%),7.89340781985012
Madagascar,2014,World,Intermediate goods,Tariff,Weighted Average (%),8.22562530637951
Madagascar,2014,World,Consumer goods,Tariff,Weighted Average (%),4.6694319861962
Madagascar,2014,World,Capital goods,Tariff,Weighted Average (%),6.56441040823662
Madagascar,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Madagascar,2015,World,All Products,Trade Indicator,Country Growth (%),-3.13343378741975
Madagascar,2014,World,All Products,Tariff,Simple Average (%),10.6850761369681
Madagascar,2014,World,All Products,Tariff,Weighted Average (%),5.988180800615
Madagascar,2014,World,All Products,Tariff,Maximum Rate (%),20
Madagascar,2014,World,All Products,Tariff,Duty Free Tariff Lines Share (%),17.1156638167446
Madagascar,2015,...,...,Trade Indicator,Index of export market penetration,2.84759118858576
Madagascar,2015,...,...,Trade Indicator,HH Market concentration index,0.07550792607853
Madagascar,2015,...,...,Development,Trade Balance (% of GDP),-10.096224606
Madagascar,2015,...,...,Development,Trade (% of GDP),78.945115079
Madagascar,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",420
