Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Maldives,2015,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36.663967
Maldives,2015,Sri Lanka,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17.296824
Maldives,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15.133568
Maldives,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.700614
Maldives,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.045525
Maldives,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,408.684074
Maldives,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,280.927303
Maldives,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,211.297238
Maldives,2015,Sri Lanka,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,141.917994
Maldives,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,140.277106
Maldives,2015,World,Animal,Export,Export(US$ Mil),126.142245
Maldives,2015,World,Vegetable,Export,Export(US$ Mil),0.016584
Maldives,2015,World,Food Products,Export,Export(US$ Mil),14.286555
Maldives,2015,World,Minerals,Export,Export(US$ Mil),
Maldives,2015,World,Fuels,Export,Export(US$ Mil),0.036758
Maldives,2015,World,Chemicals,Export,Export(US$ Mil),
Maldives,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.050574
Maldives,2015,World,Hides and Skins,Export,Export(US$ Mil),
Maldives,2015,World,Wood,Export,Export(US$ Mil),0.027734
Maldives,2015,World,Textiles and Clothing,Export,Export(US$ Mil),
Maldives,2015,World,Footwear,Export,Export(US$ Mil),
Maldives,2015,World,Stone and Glass,Export,Export(US$ Mil),
Maldives,2015,World,Metals,Export,Export(US$ Mil),2.98196
Maldives,2015,World,Mach and Elec,Export,Export(US$ Mil),0.284288
Maldives,2015,World,Transportation,Export,Export(US$ Mil),0.382693
Maldives,2015,World,Miscellaneous,Export,Export(US$ Mil),
Maldives,2015,World,Raw materials,Export,Export(US$ Mil),118.020097
Maldives,2015,World,Intermediate goods,Export,Export(US$ Mil),10.779262
Maldives,2015,World,Consumer goods,Export,Export(US$ Mil),14.880798
Maldives,2015,World,Capital goods,Export,Export(US$ Mil),0.244946
Maldives,2015,World,Raw materials,Import,Import(US$ Mil),225.515274
Maldives,2015,World,Intermediate goods,Import,Import(US$ Mil),300.77994
Maldives,2015,World,Consumer goods,Import,Import(US$ Mil),954.114081
Maldives,2015,World,Capital goods,Import,Import(US$ Mil),415.60609
Maldives,2015,World,All Products,Export,Exports (in US$ Mil),144.209391
Maldives,2015,World,All Products,Import,Imports (in US$ Mil),1913.823766
Maldives,2011,World,All Products,Tariff,Duty Free Imports (US$ Thousand),24565.997
Maldives,2015,...,...,Development,Trade Balance (current US$ Mil),418.4156954
Maldives,2015,...,...,Development,GDP (current US$ Mil),3435.2446588
Maldives,2011,...,...,Tariff,No. Of Tariff Agreement,1
Maldives,2015,...,...,Import,No. Of Import partners,91
Maldives,2015,...,...,Import,No. Of Import products,2587
Maldives,2015,...,...,Export,No. Of Export partners,42
Maldives,2015,...,...,Export,No. Of Export products,38
Maldives,2015,...,...,Others,Population,409163
Maldives,2016,...,...,Others,Ease of Doing Business Rank,135
Maldives,2016,...,...,Others,Trading Across Borders Rank,147
Maldives,2015,...,...,Others,CPIA Trade Ratings,4
Maldives,2014,...,...,Others,LPI Rank,82
Maldives,2014,...,...,Others,LPI Score,2.747544
Maldives,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2019894
Maldives,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2031543
Maldives,2015,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,25.4241
Maldives,2015,Sri Lanka,All Products,Export,Partner share(%)-Top 5 Export Partner,11.9942
Maldives,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,10.4942
Maldives,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.1939
Maldives,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9659
Maldives,2015,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,21.3543
Maldives,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,14.6788
Maldives,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,11.0406
Maldives,2015,Sri Lanka,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4154
Maldives,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3297
Maldives,2015,World,Animal,Export,Export Product share(%),87.4716
Maldives,2015,World,Vegetable,Export,Export Product share(%),0.0115
Maldives,2015,World,Food Products,Export,Export Product share(%),9.9068
Maldives,2015,World,Minerals,Export,Export Product share(%),
Maldives,2015,World,Fuels,Export,Export Product share(%),0.0255
Maldives,2015,World,Chemicals,Export,Export Product share(%),
Maldives,2015,World,Plastic or Rubber,Export,Export Product share(%),0.0351
Maldives,2015,World,Hides and Skins,Export,Export Product share(%),
Maldives,2015,World,Wood,Export,Export Product share(%),0.0192
Maldives,2015,World,Textiles and Clothing,Export,Export Product share(%),
Maldives,2015,World,Footwear,Export,Export Product share(%),
Maldives,2015,World,Stone and Glass,Export,Export Product share(%),
Maldives,2015,World,Metals,Export,Export Product share(%),2.0678
Maldives,2015,World,Mach and Elec,Export,Export Product share(%),0.1971
Maldives,2015,World,Transportation,Export,Export Product share(%),0.2654
Maldives,2015,World,Miscellaneous,Export,Export Product share(%),
Maldives,2015,World,Raw materials,Export,Export Product share(%),81.8394
Maldives,2015,World,Intermediate goods,Export,Export Product share(%),7.4747
Maldives,2015,World,Consumer goods,Export,Export Product share(%),10.3189
Maldives,2015,World,Capital goods,Export,Export Product share(%),0.1699
Maldives,2015,World,Raw materials,Import,Import Product share(%),11.7835
Maldives,2015,World,Intermediate goods,Import,Import Product share(%),15.7162
Maldives,2015,World,Consumer goods,Import,Import Product share(%),49.8538
Maldives,2015,World,Capital goods,Import,Import Product share(%),21.716
Maldives,2011,World,Raw materials,Tariff,Weighted Average (%),15.9459569723031
Maldives,2011,World,Intermediate goods,Tariff,Weighted Average (%),16.9930923005745
Maldives,2011,World,Consumer goods,Tariff,Weighted Average (%),21.7865710164995
Maldives,2011,World,Capital goods,Tariff,Weighted Average (%),22.6358494123576
Maldives,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Maldives,2015,World,All Products,Trade Indicator,Country Growth (%),7.10247029609312
Maldives,2011,World,All Products,Tariff,Simple Average (%),22.1056245960317
Maldives,2011,World,All Products,Tariff,Weighted Average (%),20.7494222399323
Maldives,2011,World,All Products,Tariff,Maximum Rate (%),200
