Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Macedonia, FYR",2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1990.053483
"Macedonia, FYR",2015,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,392.104658
"Macedonia, FYR",2015,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,270.793622
"Macedonia, FYR",2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,181.363455
"Macedonia, FYR",2015,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,165.702405
"Macedonia, FYR",2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,808.936559
"Macedonia, FYR",2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,620.529908
"Macedonia, FYR",2015,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,518.420401
"Macedonia, FYR",2015,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,499.251897
"Macedonia, FYR",2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,390.497348
"Macedonia, FYR",2015,World,Animal,Export,Export(US$ Mil),27.984119
"Macedonia, FYR",2015,World,Vegetable,Export,Export(US$ Mil),173.782173
"Macedonia, FYR",2015,World,Food Products,Export,Export(US$ Mil),331.742361
"Macedonia, FYR",2015,World,Minerals,Export,Export(US$ Mil),175.565304
"Macedonia, FYR",2015,World,Fuels,Export,Export(US$ Mil),52.551212
"Macedonia, FYR",2015,World,Chemicals,Export,Export(US$ Mil),969.418462
"Macedonia, FYR",2015,World,Plastic or Rubber,Export,Export(US$ Mil),84.494072
"Macedonia, FYR",2015,World,Hides and Skins,Export,Export(US$ Mil),10.635994
"Macedonia, FYR",2015,World,Wood,Export,Export(US$ Mil),25.423503
"Macedonia, FYR",2015,World,Textiles and Clothing,Export,Export(US$ Mil),591.61972
"Macedonia, FYR",2015,World,Footwear,Export,Export(US$ Mil),60.032827
"Macedonia, FYR",2015,World,Stone and Glass,Export,Export(US$ Mil),37.484356
"Macedonia, FYR",2015,World,Metals,Export,Export(US$ Mil),685.245102
"Macedonia, FYR",2015,World,Mach and Elec,Export,Export(US$ Mil),967.193637
"Macedonia, FYR",2015,World,Transportation,Export,Export(US$ Mil),141.838352
"Macedonia, FYR",2015,World,Miscellaneous,Export,Export(US$ Mil),154.922542
"Macedonia, FYR",2015,World,Raw materials,Export,Export(US$ Mil),456.569745
"Macedonia, FYR",2015,World,Intermediate goods,Export,Export(US$ Mil),1692.345946
"Macedonia, FYR",2015,World,Consumer goods,Export,Export(US$ Mil),1514.359098
"Macedonia, FYR",2015,World,Capital goods,Export,Export(US$ Mil),817.735221
"Macedonia, FYR",2015,World,Raw materials,Import,Import(US$ Mil),447.379493
"Macedonia, FYR",2015,World,Intermediate goods,Import,Import(US$ Mil),2578.620818
"Macedonia, FYR",2015,World,Consumer goods,Import,Import(US$ Mil),2302.40119
"Macedonia, FYR",2015,World,Capital goods,Import,Import(US$ Mil),1006.505728
"Macedonia, FYR",2015,World,All Products,Export,Exports (in US$ Mil),4489.933735
"Macedonia, FYR",2015,World,All Products,Import,Imports (in US$ Mil),6399.822864
"Macedonia, FYR",2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),5628620.61700001
"Macedonia, FYR",2015,...,...,Development,Trade Balance (current US$ Mil),-1641.9296614
"Macedonia, FYR",2015,...,...,Development,GDP (current US$ Mil),10086.021261
"Macedonia, FYR",2015,...,...,Tariff,No. Of Tariff Agreement,11
"Macedonia, FYR",2015,...,...,Import,No. Of Import partners,170
"Macedonia, FYR",2015,...,...,Import,No. Of Import products,4005
"Macedonia, FYR",2015,...,...,Export,No. Of Export partners,132
"Macedonia, FYR",2015,...,...,Export,No. Of Export products,2834
"Macedonia, FYR",2015,...,...,Others,Population,2078453
"Macedonia, FYR",2016,...,...,Others,Ease of Doing Business Rank,10
"Macedonia, FYR",2016,...,...,Others,Trading Across Borders Rank,27
"Macedonia, FYR",2014,...,...,Others,LPI Rank,117
"Macedonia, FYR",2014,...,...,Others,LPI Score,2.499137
"Macedonia, FYR",2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0174594
