Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Myanmar,2010,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3177.246767
Myanmar,2010,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1611.752781
Myanmar,2010,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,958.105415
Myanmar,2010,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,476.272082
Myanmar,2010,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276.305515
Myanmar,2010,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1128.477973
Myanmar,2010,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1122.549854
Myanmar,2010,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,473.436517
Myanmar,2010,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,252.509823
Myanmar,2010,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,218.809683
Myanmar,2010,World,Animal,Export,Export(US$ Mil),341.072282
Myanmar,2010,World,Vegetable,Export,Export(US$ Mil),1146.638777
Myanmar,2010,World,Food Products,Export,Export(US$ Mil),17.791773
Myanmar,2010,World,Minerals,Export,Export(US$ Mil),15.660951
Myanmar,2010,World,Fuels,Export,Export(US$ Mil),2936.005672
Myanmar,2010,World,Chemicals,Export,Export(US$ Mil),0.933375
Myanmar,2010,World,Plastic or Rubber,Export,Export(US$ Mil),196.068718
Myanmar,2010,World,Hides and Skins,Export,Export(US$ Mil),6.733784
Myanmar,2010,World,Wood,Export,Export(US$ Mil),592.423202
Myanmar,2010,World,Textiles and Clothing,Export,Export(US$ Mil),349.27504
Myanmar,2010,World,Footwear,Export,Export(US$ Mil),54.816268
Myanmar,2010,World,Stone and Glass,Export,Export(US$ Mil),1871.261059
Myanmar,2010,World,Metals,Export,Export(US$ Mil),53.176051
Myanmar,2010,World,Mach and Elec,Export,Export(US$ Mil),1.881798
Myanmar,2010,World,Transportation,Export,Export(US$ Mil),2.111287
Myanmar,2010,World,Miscellaneous,Export,Export(US$ Mil),39.386738
Myanmar,2010,World,Raw materials,Export,Export(US$ Mil),1174.909838
Myanmar,2010,World,Intermediate goods,Export,Export(US$ Mil),2895.234576
Myanmar,2010,World,Consumer goods,Export,Export(US$ Mil),3524.470127
Myanmar,2010,World,Capital goods,Export,Export(US$ Mil),5.376875
Myanmar,2010,World,Raw materials,Import,Import(US$ Mil),41.961164
Myanmar,2010,World,Intermediate goods,Import,Import(US$ Mil),1351.100697
Myanmar,2010,World,Consumer goods,Import,Import(US$ Mil),1641.092798
Myanmar,2010,World,Capital goods,Import,Import(US$ Mil),1089.758845
Myanmar,2010,World,All Products,Export,Exports (in US$ Mil),7625.236775
Myanmar,2010,World,All Products,Import,Imports (in US$ Mil),4164.318252
Myanmar,2010,World,All Products,Tariff,Duty Free Imports (US$ Thousand),331211.062
Myanmar,2015,...,...,Development,Trade Balance (current US$ Mil),-3603.573199
Myanmar,2015,...,...,Development,GDP (current US$ Mil),62600.906116
Myanmar,2010,...,...,Tariff,No. Of Tariff Agreement,5
Myanmar,2010,...,...,Import,No. Of Import partners,117
Myanmar,2010,...,...,Import,No. Of Import products,2741
Myanmar,2010,...,...,Export,No. Of Export partners,73
Myanmar,2010,...,...,Export,No. Of Export products,202
Myanmar,2015,...,...,Others,Population,53897154
Myanmar,2016,...,...,Others,Ease of Doing Business Rank,170
Myanmar,2016,...,...,Others,Trading Across Borders Rank,159
Myanmar,2015,...,...,Others,CPIA Trade Ratings,3.5
Myanmar,2014,...,...,Others,LPI Rank,145
Myanmar,2014,...,...,Others,LPI Score,2.249909
Myanmar,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2502
Myanmar,2015,...,...,Others,No Of NTM Measures,48
Myanmar,2010,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,41.6675
Myanmar,2010,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,21.1371
Myanmar,2010,India,All Products,Export,Partner share(%)-Top 5 Export Partner,12.5649
Myanmar,2010,China,All Products,Export,Partner share(%)-Top 5 Export Partner,6.246
Myanmar,2010,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6236
Myanmar,2010,China,All Products,Import,Partner share(%)-Top 5 Import Partner,27.0987
Myanmar,2010,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,26.9564
Myanmar,2010,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,11.3689
