Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Montenegro,2015,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,78.161636
Montenegro,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44.583385
Montenegro,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.416457
Montenegro,2015,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,32.712097
Montenegro,2015,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.780798
Montenegro,2015,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,577.090611
Montenegro,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,211.072134
Montenegro,2015,Bosnia and Herzegovina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,133.602747
Montenegro,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,131.055274
Montenegro,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,129.622734
Montenegro,2015,World,Animal,Export,Export(US$ Mil),8.43508
Montenegro,2015,World,Vegetable,Export,Export(US$ Mil),10.957866
Montenegro,2015,World,Food Products,Export,Export(US$ Mil),40.749738
Montenegro,2015,World,Minerals,Export,Export(US$ Mil),21.767522
Montenegro,2015,World,Fuels,Export,Export(US$ Mil),52.304726
Montenegro,2015,World,Chemicals,Export,Export(US$ Mil),13.781544
Montenegro,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1.825328
Montenegro,2015,World,Hides and Skins,Export,Export(US$ Mil),4.135566
Montenegro,2015,World,Wood,Export,Export(US$ Mil),39.801868
Montenegro,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1.206426
Montenegro,2015,World,Footwear,Export,Export(US$ Mil),0.561951
Montenegro,2015,World,Stone and Glass,Export,Export(US$ Mil),2.09963
Montenegro,2015,World,Metals,Export,Export(US$ Mil),114.647565
Montenegro,2015,World,Mach and Elec,Export,Export(US$ Mil),22.833536
Montenegro,2015,World,Transportation,Export,Export(US$ Mil),10.334024
Montenegro,2015,World,Miscellaneous,Export,Export(US$ Mil),7.637144
Montenegro,2015,World,Raw materials,Export,Export(US$ Mil),58.992833
Montenegro,2015,World,Intermediate goods,Export,Export(US$ Mil),176.289464
Montenegro,2015,World,Consumer goods,Export,Export(US$ Mil),90.844107
Montenegro,2015,World,Capital goods,Export,Export(US$ Mil),26.566187
Montenegro,2015,World,Raw materials,Import,Import(US$ Mil),208.168643
Montenegro,2015,World,Intermediate goods,Import,Import(US$ Mil),343.742028
Montenegro,2015,World,Consumer goods,Import,Import(US$ Mil),1123.965937
Montenegro,2015,World,Capital goods,Import,Import(US$ Mil),345.107213
Montenegro,2015,World,All Products,Export,Exports (in US$ Mil),353.079512
Montenegro,2015,World,All Products,Import,Imports (in US$ Mil),2050.169682
Montenegro,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1355350.401
Montenegro,2015,...,...,Tariff,No. Of Tariff Agreement,14
Montenegro,2015,...,...,Import,No. Of Import partners,183
Montenegro,2015,...,...,Import,No. Of Import products,3644
Montenegro,2015,...,...,Export,No. Of Export partners,77
Montenegro,2015,...,...,Export,No. Of Export products,1621
Montenegro,2016,...,...,Others,Ease of Doing Business Rank,51
Montenegro,2016,...,...,Others,Trading Across Borders Rank,43
Montenegro,2014,...,...,Others,LPI Rank,67
Montenegro,2014,...,...,Others,LPI Score,2.87552
Montenegro,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0697069
Montenegro,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0925152
Montenegro,2015,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Partner share(%)-Top 5 Export Partner,22.1371
Montenegro,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,12.627
Montenegro,2015,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,9.4643
Montenegro,2015,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,9.2648
Montenegro,2015,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7353
Montenegro,2015,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Partner share(%)-Top 5 Import Partner,28.1484
Montenegro,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2953
Montenegro,2015,Bosnia and Herzegovina,All Products,Import,Partner share(%)-Top 5 Import Partner,6.5167
Montenegro,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3924
Montenegro,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3225
Montenegro,2015,World,Animal,Export,Export Product share(%),2.389
Montenegro,2015,World,Vegetable,Export,Export Product share(%),3.1035
Montenegro,2015,World,Food Products,Export,Export Product share(%),11.5412
Montenegro,2015,World,Minerals,Export,Export Product share(%),6.165
Montenegro,2015,World,Fuels,Export,Export Product share(%),14.8139
Montenegro,2015,World,Chemicals,Export,Export Product share(%),3.9032
Montenegro,2015,World,Plastic or Rubber,Export,Export Product share(%),0.517
Montenegro,2015,World,Hides and Skins,Export,Export Product share(%),1.1713
Montenegro,2015,World,Wood,Export,Export Product share(%),11.2728
Montenegro,2015,World,Textiles and Clothing,Export,Export Product share(%),0.3417
Montenegro,2015,World,Footwear,Export,Export Product share(%),0.1592
Montenegro,2015,World,Stone and Glass,Export,Export Product share(%),0.5947
Montenegro,2015,World,Metals,Export,Export Product share(%),32.4707
Montenegro,2015,World,Mach and Elec,Export,Export Product share(%),6.467
Montenegro,2015,World,Transportation,Export,Export Product share(%),2.9268
Montenegro,2015,World,Miscellaneous,Export,Export Product share(%),2.163
Montenegro,2015,World,Raw materials,Export,Export Product share(%),16.7081
Montenegro,2015,World,Intermediate goods,Export,Export Product share(%),49.9291
Montenegro,2015,World,Consumer goods,Export,Export Product share(%),25.7291
Montenegro,2015,World,Capital goods,Export,Export Product share(%),7.5241
Montenegro,2015,World,Raw materials,Import,Import Product share(%),10.1537
Montenegro,2015,World,Intermediate goods,Import,Import Product share(%),16.7665
Montenegro,2015,World,Consumer goods,Import,Import Product share(%),54.8231
Montenegro,2015,World,Capital goods,Import,Import Product share(%),16.8331
Montenegro,2015,World,Raw materials,Tariff,Weighted Average (%),6.48139012917301
Montenegro,2015,World,Intermediate goods,Tariff,Weighted Average (%),1.08972912433566
Montenegro,2015,World,Consumer goods,Tariff,Weighted Average (%),4.77790158015275
Montenegro,2015,World,Capital goods,Tariff,Weighted Average (%),0.721481815649784
Montenegro,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Montenegro,2015,World,All Products,Trade Indicator,Country Growth (%),-20.2641148414209
Montenegro,2015,World,All Products,Tariff,Simple Average (%),2.04656164406888
Montenegro,2015,World,All Products,Tariff,Weighted Average (%),3.69051042674206
Montenegro,2015,World,All Products,Tariff,Maximum Rate (%),49
Montenegro,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),68.3866391825698
Montenegro,2015,...,...,Trade Indicator,Index of export market penetration,1.67308458372062
Montenegro,2015,...,...,Trade Indicator,HH Market concentration index,0.0643575412113171
