Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mauritania,2014,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,700.461267
Mauritania,2014,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,365.848271
Mauritania,2014,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,141.534072
Mauritania,2014,Andorra,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,125.308144
Mauritania,2014,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,107.718719
Mauritania,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,864.924372
Mauritania,2014,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,674.930281
Mauritania,2014,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,363.061765
Mauritania,2014,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,231.697791
Mauritania,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,222.399342
Mauritania,2014,World,Animal,Export,Export(US$ Mil),572.979337
Mauritania,2014,World,Vegetable,Export,Export(US$ Mil),18.405498
Mauritania,2014,World,Food Products,Export,Export(US$ Mil),84.225146
Mauritania,2014,World,Minerals,Export,Export(US$ Mil),1072.44566
Mauritania,2014,World,Fuels,Export,Export(US$ Mil),59.652368
Mauritania,2014,World,Chemicals,Export,Export(US$ Mil),
Mauritania,2014,World,Plastic or Rubber,Export,Export(US$ Mil),
Mauritania,2014,World,Hides and Skins,Export,Export(US$ Mil),0.388117
Mauritania,2014,World,Wood,Export,Export(US$ Mil),
Mauritania,2014,World,Textiles and Clothing,Export,Export(US$ Mil),
Mauritania,2014,World,Footwear,Export,Export(US$ Mil),
Mauritania,2014,World,Stone and Glass,Export,Export(US$ Mil),322.170989
Mauritania,2014,World,Metals,Export,Export(US$ Mil),9.543449
Mauritania,2014,World,Mach and Elec,Export,Export(US$ Mil),
Mauritania,2014,World,Transportation,Export,Export(US$ Mil),
Mauritania,2014,World,Miscellaneous,Export,Export(US$ Mil),1E-06
Mauritania,2014,World,Raw materials,Export,Export(US$ Mil),1417.154547
Mauritania,2014,World,Intermediate goods,Export,Export(US$ Mil),648.983739
Mauritania,2014,World,Consumer goods,Export,Export(US$ Mil),73.672277
Mauritania,2014,World,Capital goods,Export,Export(US$ Mil),
Mauritania,2014,World,Raw materials,Import,Import(US$ Mil),180.123737
Mauritania,2014,World,Intermediate goods,Import,Import(US$ Mil),472.835758
Mauritania,2014,World,Consumer goods,Import,Import(US$ Mil),1386.629518
Mauritania,2014,World,Capital goods,Import,Import(US$ Mil),1592.000301
Mauritania,2014,World,All Products,Export,Exports (in US$ Mil),2139.810563
Mauritania,2014,World,All Products,Import,Imports (in US$ Mil),3641.758272
Mauritania,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),141116.988
Mauritania,2014,...,...,Tariff,No. Of Tariff Agreement,1
Mauritania,2014,...,...,Import,No. Of Import partners,149
Mauritania,2014,...,...,Import,No. Of Import products,2142
Mauritania,2014,...,...,Export,No. Of Export partners,70
Mauritania,2014,...,...,Export,No. Of Export products,64
Mauritania,2015,...,...,Others,Population,4067564
Mauritania,2016,...,...,Others,Ease of Doing Business Rank,160
Mauritania,2016,...,...,Others,Trading Across Borders Rank,137
Mauritania,2015,...,...,Others,CPIA Trade Ratings,4
Mauritania,2014,...,...,Others,LPI Rank,148
