Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mauritius,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,325.114006
Mauritius,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,306.766981
Mauritius,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,294.848422
Mauritius,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,263.734677
Mauritius,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,214.302696
Mauritius,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,812.741264
Mauritius,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,808.371749
Mauritius,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,318.857666
Mauritius,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,288.036985
Mauritius,2015,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,206.177056
Mauritius,2015,World,Animal,Export,Export(US$ Mil),165.926766
Mauritius,2015,World,Vegetable,Export,Export(US$ Mil),44.052177
Mauritius,2015,World,Food Products,Export,Export(US$ Mil),563.367334
Mauritius,2015,World,Minerals,Export,Export(US$ Mil),0.259821
Mauritius,2015,World,Fuels,Export,Export(US$ Mil),6.134264
Mauritius,2015,World,Chemicals,Export,Export(US$ Mil),75.802717
Mauritius,2015,World,Plastic or Rubber,Export,Export(US$ Mil),29.38254
Mauritius,2015,World,Hides and Skins,Export,Export(US$ Mil),18.107978
Mauritius,2015,World,Wood,Export,Export(US$ Mil),39.32486
Mauritius,2015,World,Textiles and Clothing,Export,Export(US$ Mil),868.827001
Mauritius,2015,World,Footwear,Export,Export(US$ Mil),7.892475
Mauritius,2015,World,Stone and Glass,Export,Export(US$ Mil),178.217042
Mauritius,2015,World,Metals,Export,Export(US$ Mil),25.503362
Mauritius,2015,World,Mach and Elec,Export,Export(US$ Mil),373.667242
Mauritius,2015,World,Transportation,Export,Export(US$ Mil),7.498277
Mauritius,2015,World,Miscellaneous,Export,Export(US$ Mil),77.128858
Mauritius,2015,World,Raw materials,Export,Export(US$ Mil),191.413198
Mauritius,2015,World,Intermediate goods,Export,Export(US$ Mil),400.192549
Mauritius,2015,World,Consumer goods,Export,Export(US$ Mil),1490.39251
Mauritius,2015,World,Capital goods,Export,Export(US$ Mil),382.428749
Mauritius,2015,World,Raw materials,Import,Import(US$ Mil),638.265989
Mauritius,2015,World,Intermediate goods,Import,Import(US$ Mil),879.783945999999
Mauritius,2015,World,Consumer goods,Import,Import(US$ Mil),2002.900855
Mauritius,2015,World,Capital goods,Import,Import(US$ Mil),887.79104
Mauritius,2015,World,All Products,Export,Exports (in US$ Mil),2481.092714
Mauritius,2015,World,All Products,Import,Imports (in US$ Mil),4458.341503
Mauritius,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4176708.31000001
Mauritius,2015,...,...,Development,Trade Balance (current US$ Mil),-1152.8181488
Mauritius,2015,...,...,Development,GDP (current US$ Mil),11681.761261
Mauritius,2015,...,...,Tariff,No. Of Tariff Agreement,9
Mauritius,2015,...,...,Import,No. Of Import partners,183
Mauritius,2015,...,...,Import,No. Of Import products,3920
Mauritius,2015,...,...,Export,No. Of Export partners,145
Mauritius,2015,...,...,Export,No. Of Export products,2478
Mauritius,2015,...,...,Others,Population,1262605
Mauritius,2016,...,...,Others,Ease of Doing Business Rank,49
Mauritius,2016,...,...,Others,Trading Across Borders Rank,74
Mauritius,2014,...,...,Others,LPI Rank,115
Mauritius,2014,...,...,Others,LPI Score,2.514919
Mauritius,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.097361
Mauritius,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0984901
Mauritius,,...,...,Others,Services Trade Restrictions Index - Over All,16.9
Mauritius,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,13.1037
Mauritius,2015,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,12.3642
Mauritius,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,11.8838
Mauritius,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6298
Mauritius,2015,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6374
Mauritius,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.2297
Mauritius,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,18.1317
Mauritius,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1519
Mauritius,2015,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4606
Mauritius,2015,Vietnam,All Products,Import,Partner share(%)-Top 5 Import Partner,4.6245
Mauritius,2015,World,Animal,Export,Export Product share(%),6.6876
Mauritius,2015,World,Vegetable,Export,Export Product share(%),1.7755
Mauritius,2015,World,Food Products,Export,Export Product share(%),22.7064
Mauritius,2015,World,Minerals,Export,Export Product share(%),0.0105
Mauritius,2015,World,Fuels,Export,Export Product share(%),0.2472
Mauritius,2015,World,Chemicals,Export,Export Product share(%),3.0552
Mauritius,2015,World,Plastic or Rubber,Export,Export Product share(%),1.1843
Mauritius,2015,World,Hides and Skins,Export,Export Product share(%),0.7298
Mauritius,2015,World,Wood,Export,Export Product share(%),1.585
Mauritius,2015,World,Textiles and Clothing,Export,Export Product share(%),35.0179
Mauritius,2015,World,Footwear,Export,Export Product share(%),0.3181
Mauritius,2015,World,Stone and Glass,Export,Export Product share(%),7.183
Mauritius,2015,World,Metals,Export,Export Product share(%),1.0279
Mauritius,2015,World,Mach and Elec,Export,Export Product share(%),15.0606
Mauritius,2015,World,Transportation,Export,Export Product share(%),0.3022
Mauritius,2015,World,Miscellaneous,Export,Export Product share(%),3.1087
Mauritius,2015,World,Raw materials,Export,Export Product share(%),7.7149
Mauritius,2015,World,Intermediate goods,Export,Export Product share(%),16.1297
Mauritius,2015,World,Consumer goods,Export,Export Product share(%),60.07
Mauritius,2015,World,Capital goods,Export,Export Product share(%),15.4137
Mauritius,2015,World,Raw materials,Import,Import Product share(%),14.3162
Mauritius,2015,World,Intermediate goods,Import,Import Product share(%),19.7334
Mauritius,2015,World,Consumer goods,Import,Import Product share(%),44.9248
Mauritius,2015,World,Capital goods,Import,Import Product share(%),19.913
Mauritius,2015,World,Raw materials,Tariff,Weighted Average (%),0
Mauritius,2015,World,Intermediate goods,Tariff,Weighted Average (%),0.281493752819339
Mauritius,2015,World,Consumer goods,Tariff,Weighted Average (%),1.27152530110502
Mauritius,2015,World,Capital goods,Tariff,Weighted Average (%),0.194967391842388
Mauritius,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Mauritius,2015,World,All Products,Trade Indicator,Country Growth (%),1.74591007042979
Mauritius,2015,World,All Products,Tariff,Simple Average (%),1.75764256028029
Mauritius,2015,World,All Products,Tariff,Weighted Average (%),0.684297765718722
Mauritius,2015,World,All Products,Tariff,Maximum Rate (%),81.9782562255859
Mauritius,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),82.3690978947703
Mauritius,2015,...,...,Trade Indicator,Index of export market penetration,3.01418407361923
Mauritius,2015,...,...,Trade Indicator,HH Market concentration index,0.0744186892683651
Mauritius,2015,...,...,Development,Trade Balance (% of GDP),-9.868530294
Mauritius,2015,...,...,Development,Trade in services (% of GDP),43.527009892
Mauritius,2015,...,...,Development,Trade (% of GDP),107.94581026
Mauritius,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",9780
