Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Norway,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21092.594993
Norway,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18614.130749
Norway,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11534.308572
Norway,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6865.405018
Norway,2015,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6184.259398
Norway,2015,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8854.554213
Norway,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8707.095701
Norway,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8126.388271
Norway,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5004.640485
Norway,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4945.086921
Norway,2015,World,Animal,Export,Export(US$ Mil),9055.298906
Norway,2015,World,Vegetable,Export,Export(US$ Mil),239.209057
Norway,2015,World,Food Products,Export,Export(US$ Mil),677.212674
Norway,2015,World,Minerals,Export,Export(US$ Mil),657.059258
Norway,2015,World,Fuels,Export,Export(US$ Mil),60453.923296
Norway,2015,World,Chemicals,Export,Export(US$ Mil),3264.085739
Norway,2015,World,Plastic or Rubber,Export,Export(US$ Mil),539.52104
Norway,2015,World,Hides and Skins,Export,Export(US$ Mil),126.777346
Norway,2015,World,Wood,Export,Export(US$ Mil),1347.740452
Norway,2015,World,Textiles and Clothing,Export,Export(US$ Mil),239.57461
Norway,2015,World,Footwear,Export,Export(US$ Mil),23.873096
Norway,2015,World,Stone and Glass,Export,Export(US$ Mil),625.029794
Norway,2015,World,Metals,Export,Export(US$ Mil),8124.050548
Norway,2015,World,Mach and Elec,Export,Export(US$ Mil),9565.076494
Norway,2015,World,Transportation,Export,Export(US$ Mil),2622.686609
Norway,2015,World,Miscellaneous,Export,Export(US$ Mil),7238.935752
Norway,2015,World,Raw materials,Export,Export(US$ Mil),34860.872828
Norway,2015,World,Intermediate goods,Export,Export(US$ Mil),12902.37459
Norway,2015,World,Consumer goods,Export,Export(US$ Mil),39560.741932
Norway,2015,World,Capital goods,Export,Export(US$ Mil),13157.514445
Norway,2015,World,Raw materials,Import,Import(US$ Mil),3855.736374
Norway,2015,World,Intermediate goods,Import,Import(US$ Mil),15086.96654
Norway,2015,World,Consumer goods,Import,Import(US$ Mil),30302.749281
Norway,2015,World,Capital goods,Import,Import(US$ Mil),26344.501861
Norway,2015,World,All Products,Export,Exports (in US$ Mil),104800.054672
Norway,2015,World,All Products,Import,Imports (in US$ Mil),77193.217991
Norway,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),70838573.854
Norway,2015,...,...,Development,Trade Balance (current US$ Mil),20974.14488
Norway,2015,...,...,Development,GDP (current US$ Mil),386578.44373
Norway,2015,...,...,Tariff,No. Of Tariff Agreement,36
Norway,2015,...,...,Import,No. Of Import partners,188
Norway,2015,...,...,Import,No. Of Import products,4382
Norway,2015,...,...,Export,No. Of Export partners,212
Norway,2015,...,...,Export,No. Of Export products,3659
Norway,2015,...,...,Others,Population,5195921
