Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nepal,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,419.093534
Nepal,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,70.399021
Nepal,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26.755674
Nepal,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20.658377
Nepal,2015,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.641615
Nepal,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4008.219531
Nepal,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,920.001993
Nepal,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,266.313268
Nepal,2015,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,118.081758
Nepal,2015,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,111.666885
Nepal,2015,World,Animal,Export,Export(US$ Mil),7.731259
Nepal,2015,World,Vegetable,Export,Export(US$ Mil),110.71859
Nepal,2015,World,Food Products,Export,Export(US$ Mil),72.205684
Nepal,2015,World,Minerals,Export,Export(US$ Mil),0.069769
Nepal,2015,World,Fuels,Export,Export(US$ Mil),0.010327
Nepal,2015,World,Chemicals,Export,Export(US$ Mil),31.90603
Nepal,2015,World,Plastic or Rubber,Export,Export(US$ Mil),10.173045
Nepal,2015,World,Hides and Skins,Export,Export(US$ Mil),11.185854
Nepal,2015,World,Wood,Export,Export(US$ Mil),9.607542
Nepal,2015,World,Textiles and Clothing,Export,Export(US$ Mil),282.020709
Nepal,2015,World,Footwear,Export,Export(US$ Mil),23.254028
Nepal,2015,World,Stone and Glass,Export,Export(US$ Mil),4.988573
Nepal,2015,World,Metals,Export,Export(US$ Mil),80.879593
Nepal,2015,World,Mach and Elec,Export,Export(US$ Mil),3.357806
Nepal,2015,World,Transportation,Export,Export(US$ Mil),0.168638
Nepal,2015,World,Miscellaneous,Export,Export(US$ Mil),11.904539
Nepal,2015,World,Raw materials,Export,Export(US$ Mil),46.037933
Nepal,2015,World,Intermediate goods,Export,Export(US$ Mil),241.00462
Nepal,2015,World,Consumer goods,Export,Export(US$ Mil),359.463536
Nepal,2015,World,Capital goods,Export,Export(US$ Mil),11.750455
Nepal,2015,World,Raw materials,Import,Import(US$ Mil),700.034197999999
Nepal,2015,World,Intermediate goods,Import,Import(US$ Mil),2338.155291
Nepal,2015,World,Consumer goods,Import,Import(US$ Mil),2189.965893
Nepal,2015,World,Capital goods,Import,Import(US$ Mil),1351.605523
Nepal,2015,World,All Products,Export,Exports (in US$ Mil),660.181989
Nepal,2015,World,All Products,Import,Imports (in US$ Mil),6612.094198
Nepal,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),327162.139
Nepal,2015,...,...,Development,Trade Balance (current US$ Mil),-6355.8492418
Nepal,2015,...,...,Development,GDP (current US$ Mil),21194.888048
Nepal,2015,...,...,Tariff,No. Of Tariff Agreement,3
Nepal,2015,...,...,Import,No. Of Import partners,159
Nepal,2015,...,...,Import,No. Of Import products,4066
Nepal,2015,...,...,Export,No. Of Export partners,127
Nepal,2015,...,...,Export,No. Of Export products,897
Nepal,2015,...,...,Others,Population,28513700
Nepal,2016,...,...,Others,Ease of Doing Business Rank,107
Nepal,2016,...,...,Others,Trading Across Borders Rank,69
Nepal,2015,...,...,Others,CPIA Trade Ratings,3.5
Nepal,2014,...,...,Others,LPI Rank,105
Nepal,2014,...,...,Others,LPI Score,2.587906
Nepal,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Nepal,2012,...,...,Others,No Of NTM Measures,47
Nepal,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.126297
Nepal,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1403964
Nepal,,...,...,Others,Services Trade Restrictions Index - Over All,42.9
Nepal,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,63.4815
Nepal,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6636
Nepal,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0528
Nepal,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,3.1292
Nepal,2015,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,1.9149
Nepal,2015,India,All Products,Import,Partner share(%)-Top 5 Import Partner,60.6195
Nepal,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.9139
Nepal,2015,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0277
Nepal,2015,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,1.7858
Nepal,2015,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,1.6888
Nepal,2015,World,Animal,Export,Export Product share(%),1.1711
Nepal,2015,World,Vegetable,Export,Export Product share(%),16.7709
Nepal,2015,World,Food Products,Export,Export Product share(%),10.9372
Nepal,2015,World,Minerals,Export,Export Product share(%),0.0106
Nepal,2015,World,Fuels,Export,Export Product share(%),0.0016
Nepal,2015,World,Chemicals,Export,Export Product share(%),4.8329
Nepal,2015,World,Plastic or Rubber,Export,Export Product share(%),1.5409
Nepal,2015,World,Hides and Skins,Export,Export Product share(%),1.6944
Nepal,2015,World,Wood,Export,Export Product share(%),1.4553
Nepal,2015,World,Textiles and Clothing,Export,Export Product share(%),42.7186
Nepal,2015,World,Footwear,Export,Export Product share(%),3.5224
Nepal,2015,World,Stone and Glass,Export,Export Product share(%),0.7556
Nepal,2015,World,Metals,Export,Export Product share(%),12.2511
Nepal,2015,World,Mach and Elec,Export,Export Product share(%),0.5086
Nepal,2015,World,Transportation,Export,Export Product share(%),0.0255
Nepal,2015,World,Miscellaneous,Export,Export Product share(%),1.8032
Nepal,2015,World,Raw materials,Export,Export Product share(%),6.9735
Nepal,2015,World,Intermediate goods,Export,Export Product share(%),36.5058
Nepal,2015,World,Consumer goods,Export,Export Product share(%),54.4492
Nepal,2015,World,Capital goods,Export,Export Product share(%),1.7799
Nepal,2015,World,Raw materials,Import,Import Product share(%),10.5872
Nepal,2015,World,Intermediate goods,Import,Import Product share(%),35.3618
Nepal,2015,World,Consumer goods,Import,Import Product share(%),33.1206
Nepal,2015,World,Capital goods,Import,Import Product share(%),20.4414
Nepal,2015,World,Raw materials,Tariff,Weighted Average (%),8.93808009100099
Nepal,2015,World,Intermediate goods,Tariff,Weighted Average (%),9.57777954198841
Nepal,2015,World,Consumer goods,Tariff,Weighted Average (%),17.3816368150903
Nepal,2015,World,Capital goods,Tariff,Weighted Average (%),10.9549436550873
Nepal,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Nepal,2015,World,All Products,Trade Indicator,Country Growth (%),-6.17173163694348
Nepal,2015,World,All Products,Tariff,Simple Average (%),12.6279449420645
Nepal,2015,World,All Products,Tariff,Weighted Average (%),12.3101896222799
Nepal,2015,World,All Products,Tariff,Maximum Rate (%),184.826400756836
