Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
New Zealand,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6041.155714
New Zealand,2015,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5850.800283
New Zealand,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4040.218991
New Zealand,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2071.442627
New Zealand,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1170.930738
New Zealand,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7146.233098
New Zealand,2015,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4330.13777
New Zealand,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4309.472771
New Zealand,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2389.219295
New Zealand,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1710.855836
New Zealand,2015,World,Animal,Export,Export(US$ Mil),14631.966692
New Zealand,2015,World,Vegetable,Export,Export(US$ Mil),2227.706272
New Zealand,2015,World,Food Products,Export,Export(US$ Mil),3482.343613
New Zealand,2015,World,Minerals,Export,Export(US$ Mil),55.820538
New Zealand,2015,World,Fuels,Export,Export(US$ Mil),626.500522
New Zealand,2015,World,Chemicals,Export,Export(US$ Mil),1824.581528
New Zealand,2015,World,Plastic or Rubber,Export,Export(US$ Mil),382.662398
New Zealand,2015,World,Hides and Skins,Export,Export(US$ Mil),408.396911
New Zealand,2015,World,Wood,Export,Export(US$ Mil),3363.852946
New Zealand,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1003.072114
New Zealand,2015,World,Footwear,Export,Export(US$ Mil),44.624652
New Zealand,2015,World,Stone and Glass,Export,Export(US$ Mil),614.867797
New Zealand,2015,World,Metals,Export,Export(US$ Mil),1341.739746
New Zealand,2015,World,Mach and Elec,Export,Export(US$ Mil),1942.52255
New Zealand,2015,World,Transportation,Export,Export(US$ Mil),524.930862
New Zealand,2015,World,Miscellaneous,Export,Export(US$ Mil),1881.769487
New Zealand,2015,World,Raw materials,Export,Export(US$ Mil),11349.017174
New Zealand,2015,World,Intermediate goods,Export,Export(US$ Mil),10661.207051
New Zealand,2015,World,Consumer goods,Export,Export(US$ Mil),6740.04689800001
New Zealand,2015,World,Capital goods,Export,Export(US$ Mil),2807.693729
New Zealand,2015,World,Raw materials,Import,Import(US$ Mil),3660.246802
New Zealand,2015,World,Intermediate goods,Import,Import(US$ Mil),5847.142
New Zealand,2015,World,Consumer goods,Import,Import(US$ Mil),15455.033629
New Zealand,2015,World,Capital goods,Import,Import(US$ Mil),10959.976325
New Zealand,2015,World,All Products,Export,Exports (in US$ Mil),34357.358629
New Zealand,2015,World,All Products,Import,Imports (in US$ Mil),36528.298388
New Zealand,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),25132641.434
New Zealand,2015,...,...,Development,GDP (current US$ Mil),173754.07521
New Zealand,2015,...,...,Tariff,No. Of Tariff Agreement,15
New Zealand,2015,...,...,Import,No. Of Import partners,220
New Zealand,2015,...,...,Import,No. Of Import products,4301
New Zealand,2015,...,...,Export,No. Of Export partners,212
New Zealand,2015,...,...,Export,No. Of Export products,3864
New Zealand,2015,...,...,Others,Population,4595700
New Zealand,2016,...,...,Others,Ease of Doing Business Rank,1
New Zealand,2016,...,...,Others,Trading Across Borders Rank,55
New Zealand,2014,...,...,Others,LPI Rank,23
New Zealand,2014,...,...,Others,LPI Score,3.643892
New Zealand,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5208
New Zealand,2015,...,...,Others,No Of NTM Measures,75
New Zealand,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1128678
New Zealand,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.120615
New Zealand,,...,...,Others,Services Trade Restrictions Index - Over All,11
New Zealand,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.3099573851
New Zealand,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.1107577905
New Zealand,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,17.5833
New Zealand,2015,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,17.0292
