Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Oman,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14070.668729
Oman,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4330.296523
Oman,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2050.237332
Oman,2015,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1705.007502
Oman,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1088.233602
Oman,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10159.603199
Oman,2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4232.422889
Oman,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1564.069133
Oman,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1456.44936
Oman,2015,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1173.37472
Oman,2015,World,Animal,Export,Export(US$ Mil),614.188623
Oman,2015,World,Vegetable,Export,Export(US$ Mil),404.384687
Oman,2015,World,Food Products,Export,Export(US$ Mil),509.776115
Oman,2015,World,Minerals,Export,Export(US$ Mil),592.076011
Oman,2015,World,Fuels,Export,Export(US$ Mil),19794.049096
Oman,2015,World,Chemicals,Export,Export(US$ Mil),2010.318777
Oman,2015,World,Plastic or Rubber,Export,Export(US$ Mil),756.546837
Oman,2015,World,Hides and Skins,Export,Export(US$ Mil),2.554085
Oman,2015,World,Wood,Export,Export(US$ Mil),75.728877
Oman,2015,World,Textiles and Clothing,Export,Export(US$ Mil),38.123323
Oman,2015,World,Footwear,Export,Export(US$ Mil),8.154346
Oman,2015,World,Stone and Glass,Export,Export(US$ Mil),298.300561
Oman,2015,World,Metals,Export,Export(US$ Mil),1774.24201
Oman,2015,World,Mach and Elec,Export,Export(US$ Mil),650.119763
Oman,2015,World,Transportation,Export,Export(US$ Mil),67.949962
Oman,2015,World,Miscellaneous,Export,Export(US$ Mil),4330.003269
Oman,2015,World,Raw materials,Export,Export(US$ Mil),18419.655629
Oman,2015,World,Intermediate goods,Export,Export(US$ Mil),4591.226174
Oman,2015,World,Consumer goods,Export,Export(US$ Mil),4308.945494
Oman,2015,World,Capital goods,Export,Export(US$ Mil),362.553504
Oman,2015,World,Raw materials,Import,Import(US$ Mil),1971.061822
Oman,2015,World,Intermediate goods,Import,Import(US$ Mil),7066.08844600001
Oman,2015,World,Consumer goods,Import,Import(US$ Mil),9517.10602899999
Oman,2015,World,Capital goods,Import,Import(US$ Mil),6030.21058099999
Oman,2015,World,All Products,Export,Exports (in US$ Mil),31926.51634
Oman,2015,World,All Products,Import,Imports (in US$ Mil),29007.05271
