Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Philippines,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12381.197312
Philippines,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8811.250059
Philippines,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6393.072934
Philippines,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6199.418345
Philippines,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3649.51539
Philippines,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11477.931152
Philippines,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7629.436199
Philippines,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6761.333051
Philippines,2015,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5481.239023
Philippines,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4879.796025
Philippines,2015,World,Animal,Export,Export(US$ Mil),580.453531
Philippines,2015,World,Vegetable,Export,Export(US$ Mil),2331.947006
Philippines,2015,World,Food Products,Export,Export(US$ Mil),1897.423186
Philippines,2015,World,Minerals,Export,Export(US$ Mil),1662.265091
Philippines,2015,World,Fuels,Export,Export(US$ Mil),774.562943
Philippines,2015,World,Chemicals,Export,Export(US$ Mil),1204.241555
Philippines,2015,World,Plastic or Rubber,Export,Export(US$ Mil),884.390857
Philippines,2015,World,Hides and Skins,Export,Export(US$ Mil),531.538232
Philippines,2015,World,Wood,Export,Export(US$ Mil),3160.649401
Philippines,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1661.194492
Philippines,2015,World,Footwear,Export,Export(US$ Mil),139.768772
Philippines,2015,World,Stone and Glass,Export,Export(US$ Mil),722.508826
Philippines,2015,World,Metals,Export,Export(US$ Mil),2066.763462
Philippines,2015,World,Mach and Elec,Export,Export(US$ Mil),34175.101703
Philippines,2015,World,Transportation,Export,Export(US$ Mil),3545.188863
Philippines,2015,World,Miscellaneous,Export,Export(US$ Mil),3310.08516
Philippines,2015,World,Raw materials,Export,Export(US$ Mil),4005.549235
Philippines,2015,World,Intermediate goods,Export,Export(US$ Mil),5702.613216
Philippines,2015,World,Consumer goods,Export,Export(US$ Mil),12733.551707
Philippines,2015,World,Capital goods,Export,Export(US$ Mil),36001.55626
Philippines,2015,World,Raw materials,Import,Import(US$ Mil),8269.584646
Philippines,2015,World,Intermediate goods,Import,Import(US$ Mil),13902.698255
Philippines,2015,World,Consumer goods,Import,Import(US$ Mil),16532.443831
Philippines,2015,World,Capital goods,Import,Import(US$ Mil),31016.430618
Philippines,2015,World,All Products,Export,Exports (in US$ Mil),58648.08308
Philippines,2015,World,All Products,Import,Imports (in US$ Mil),70153.466327
Philippines,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),62779779.37
Philippines,2015,...,...,Development,Trade Balance (current US$ Mil),-19467.872962
Philippines,2015,...,...,Development,GDP (current US$ Mil),292451.39261
Philippines,2013,...,...,Tariff,No. Of Tariff Agreement,8
Philippines,2015,...,...,Import,No. Of Import partners,196
Philippines,2015,...,...,Import,No. Of Import products,4558
Philippines,2015,...,...,Export,No. Of Export partners,205
Philippines,2015,...,...,Export,No. Of Export products,2780
Philippines,2015,...,...,Others,Population,100699395
Philippines,2016,...,...,Others,Ease of Doing Business Rank,99
Philippines,2016,...,...,Others,Trading Across Borders Rank,95
Philippines,2014,...,...,Others,LPI Rank,57
Philippines,2014,...,...,Others,LPI Score,3.003844
