Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Romania,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11969.664952
Romania,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7534.322593
Romania,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4124.735937
Romania,2015,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3259.095156
Romania,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2641.621299
Romania,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13846.872679
Romania,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7605.296441
Romania,2015,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5552.453057
Romania,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3905.156499
Romania,2015,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3384.117251
Romania,2015,World,Animal,Export,Export(US$ Mil),826.500131
Romania,2015,World,Vegetable,Export,Export(US$ Mil),3566.67446
Romania,2015,World,Food Products,Export,Export(US$ Mil),1976.309775
Romania,2015,World,Minerals,Export,Export(US$ Mil),115.569918
Romania,2015,World,Fuels,Export,Export(US$ Mil),2704.029709
Romania,2015,World,Chemicals,Export,Export(US$ Mil),2128.968638
Romania,2015,World,Plastic or Rubber,Export,Export(US$ Mil),3353.141243
Romania,2015,World,Hides and Skins,Export,Export(US$ Mil),392.385103
Romania,2015,World,Wood,Export,Export(US$ Mil),2355.698442
Romania,2015,World,Textiles and Clothing,Export,Export(US$ Mil),4227.339574
Romania,2015,World,Footwear,Export,Export(US$ Mil),1430.067607
Romania,2015,World,Stone and Glass,Export,Export(US$ Mil),328.537797
Romania,2015,World,Metals,Export,Export(US$ Mil),5064.117401
Romania,2015,World,Mach and Elec,Export,Export(US$ Mil),16510.277624
Romania,2015,World,Transportation,Export,Export(US$ Mil),10031.226431
Romania,2015,World,Miscellaneous,Export,Export(US$ Mil),5594.203815
Romania,2015,World,Raw materials,Export,Export(US$ Mil),4731.416357
Romania,2015,World,Intermediate goods,Export,Export(US$ Mil),10092.281628
Romania,2015,World,Consumer goods,Export,Export(US$ Mil),23937.522023
Romania,2015,World,Capital goods,Export,Export(US$ Mil),19264.860922
Romania,2015,World,Raw materials,Import,Import(US$ Mil),6552.806526
Romania,2015,World,Intermediate goods,Import,Import(US$ Mil),17261.962424
Romania,2015,World,Consumer goods,Import,Import(US$ Mil),20682.485402
Romania,2015,World,Capital goods,Import,Import(US$ Mil),22042.288541
Romania,2015,World,All Products,Export,Exports (in US$ Mil),60605.047667
Romania,2015,World,All Products,Import,Imports (in US$ Mil),69857.682405
Romania,2005,World,All Products,Tariff,Duty Free Imports (US$ Thousand),29876480.052
Romania,2015,...,...,Development,Trade Balance (current US$ Mil),-934.368524
Romania,2015,...,...,Development,GDP (current US$ Mil),177954.48985
Romania,2005,...,...,Tariff,No. Of Tariff Agreement,13
Romania,2015,...,...,Import,No. Of Import partners,164
Romania,2015,...,...,Import,No. Of Import products,4447
Romania,2015,...,...,Export,No. Of Export partners,198
Romania,2015,...,...,Export,No. Of Export products,4003
Romania,2015,...,...,Others,Population,19832389
Romania,2016,...,...,Others,Ease of Doing Business Rank,36
Romania,2016,...,...,Others,Trading Across Borders Rank,1
Romania,2014,...,...,Others,LPI Rank,40
Romania,2014,...,...,Others,LPI Score,3.261155
Romania,,...,...,Others,Services Trade Restrictions Index - Over All,14.5
Romania,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,19.7503
Romania,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4318
Romania,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8059
Romania,2015,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3776
Romania,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3587
Romania,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,19.8215
Romania,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,10.8868
Romania,2015,Hungary,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9482
Romania,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5902
Romania,2015,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8443
Romania,2015,World,Animal,Export,Export Product share(%),1.3637
Romania,2015,World,Vegetable,Export,Export Product share(%),5.8851
Romania,2015,World,Food Products,Export,Export Product share(%),3.261
Romania,2015,World,Minerals,Export,Export Product share(%),0.1907
Romania,2015,World,Fuels,Export,Export Product share(%),4.4617
Romania,2015,World,Chemicals,Export,Export Product share(%),3.5129
Romania,2015,World,Plastic or Rubber,Export,Export Product share(%),5.5328
Romania,2015,World,Hides and Skins,Export,Export Product share(%),0.6474
Romania,2015,World,Wood,Export,Export Product share(%),3.887
Romania,2015,World,Textiles and Clothing,Export,Export Product share(%),6.9752
Romania,2015,World,Footwear,Export,Export Product share(%),2.3597
Romania,2015,World,Stone and Glass,Export,Export Product share(%),0.5421
Romania,2015,World,Metals,Export,Export Product share(%),8.3559
Romania,2015,World,Mach and Elec,Export,Export Product share(%),27.2424
Romania,2015,World,Transportation,Export,Export Product share(%),16.5518
Romania,2015,World,Miscellaneous,Export,Export Product share(%),9.2306
