Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Rwanda,2015,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,186.526886
Rwanda,2015,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,90.375369
Rwanda,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53.2204
Rwanda,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40.039849
Rwanda,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23.877862
Rwanda,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,358.526287
Rwanda,2015,Uganda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,233.522218
Rwanda,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,181.794421
Rwanda,2015,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,147.98246
Rwanda,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,95.052393
Rwanda,2015,World,Animal,Export,Export(US$ Mil),12.749396
Rwanda,2015,World,Vegetable,Export,Export(US$ Mil),206.727224
Rwanda,2015,World,Food Products,Export,Export(US$ Mil),20.465971
Rwanda,2015,World,Minerals,Export,Export(US$ Mil),126.069486
Rwanda,2015,World,Fuels,Export,Export(US$ Mil),86.36338
Rwanda,2015,World,Chemicals,Export,Export(US$ Mil),5.558074
Rwanda,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2.215961
Rwanda,2015,World,Hides and Skins,Export,Export(US$ Mil),9.286823
Rwanda,2015,World,Wood,Export,Export(US$ Mil),2.718326
Rwanda,2015,World,Textiles and Clothing,Export,Export(US$ Mil),5.418859
Rwanda,2015,World,Footwear,Export,Export(US$ Mil),1.604836
Rwanda,2015,World,Stone and Glass,Export,Export(US$ Mil),30.897373
Rwanda,2015,World,Metals,Export,Export(US$ Mil),6.84961
Rwanda,2015,World,Mach and Elec,Export,Export(US$ Mil),21.087863
Rwanda,2015,World,Transportation,Export,Export(US$ Mil),21.418769
Rwanda,2015,World,Miscellaneous,Export,Export(US$ Mil),19.262012
