Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Singapore,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,47708.489529
Singapore,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39665.716093
Singapore,2015,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37763.921249
Singapore,2015,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28344.863167
Singapore,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23224.754488
Singapore,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,42135.226118
Singapore,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33336.488772
Singapore,2015,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,33056.869174
Singapore,2015,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24680.631697
Singapore,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18595.657799
Singapore,2015,World,Animal,Export,Export(US$ Mil),705.819198
Singapore,2015,World,Vegetable,Export,Export(US$ Mil),1111.367171
Singapore,2015,World,Food Products,Export,Export(US$ Mil),8519.294136
Singapore,2015,World,Minerals,Export,Export(US$ Mil),109.214982
Singapore,2015,World,Fuels,Export,Export(US$ Mil),43646.591954
Singapore,2015,World,Chemicals,Export,Export(US$ Mil),34834.403273
Singapore,2015,World,Plastic or Rubber,Export,Export(US$ Mil),15101.345785
Singapore,2015,World,Hides and Skins,Export,Export(US$ Mil),1049.322248
Singapore,2015,World,Wood,Export,Export(US$ Mil),2925.613838
Singapore,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2127.174176
Singapore,2015,World,Footwear,Export,Export(US$ Mil),418.368393
Singapore,2015,World,Stone and Glass,Export,Export(US$ Mil),7181.281283
Singapore,2015,World,Metals,Export,Export(US$ Mil),9329.988777
Singapore,2015,World,Mach and Elec,Export,Export(US$ Mil),166021.177289
Singapore,2015,World,Transportation,Export,Export(US$ Mil),11927.129969
Singapore,2015,World,Miscellaneous,Export,Export(US$ Mil),41629.931097
Singapore,2015,World,Raw materials,Export,Export(US$ Mil),2983.117954
Singapore,2015,World,Intermediate goods,Export,Export(US$ Mil),58390.822053
Singapore,2015,World,Consumer goods,Export,Export(US$ Mil),84976.323028
Singapore,2015,World,Capital goods,Export,Export(US$ Mil),178878.406582
Singapore,2015,World,Raw materials,Import,Import(US$ Mil),24967.904209
Singapore,2015,World,Intermediate goods,Import,Import(US$ Mil),40300.8940820001
