Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sierra Leone,2015,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,52.278267
Sierra Leone,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15.796373
Sierra Leone,2015,Guinea,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.313571
Sierra Leone,2015,Benin,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.828561
Sierra Leone,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.305511
Sierra Leone,2015,Senegal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,402.870386
Sierra Leone,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,259.802012
Sierra Leone,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,220.297244
Sierra Leone,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,203.132722
Sierra Leone,2015,Lebanon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,81.476494
Sierra Leone,2015,World,Animal,Export,Export(US$ Mil),1.90718
Sierra Leone,2015,World,Vegetable,Export,Export(US$ Mil),4.886576
Sierra Leone,2015,World,Food Products,Export,Export(US$ Mil),64.177246
Sierra Leone,2015,World,Minerals,Export,Export(US$ Mil),0.65967
Sierra Leone,2015,World,Fuels,Export,Export(US$ Mil),0.20195
Sierra Leone,2015,World,Chemicals,Export,Export(US$ Mil),2.099834
Sierra Leone,2015,World,Plastic or Rubber,Export,Export(US$ Mil),7.885713
Sierra Leone,2015,World,Hides and Skins,Export,Export(US$ Mil),0.029383
Sierra Leone,2015,World,Wood,Export,Export(US$ Mil),0.687437
Sierra Leone,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.057078
Sierra Leone,2015,World,Footwear,Export,Export(US$ Mil),0.166358
Sierra Leone,2015,World,Stone and Glass,Export,Export(US$ Mil),1.451142
Sierra Leone,2015,World,Metals,Export,Export(US$ Mil),2.207684
Sierra Leone,2015,World,Mach and Elec,Export,Export(US$ Mil),2.56662
Sierra Leone,2015,World,Transportation,Export,Export(US$ Mil),2.540814
Sierra Leone,2015,World,Miscellaneous,Export,Export(US$ Mil),1.732861
Sierra Leone,2015,World,Raw materials,Export,Export(US$ Mil),65.313107
Sierra Leone,2015,World,Intermediate goods,Export,Export(US$ Mil),5.161182
Sierra Leone,2015,World,Consumer goods,Export,Export(US$ Mil),19.767566
Sierra Leone,2015,World,Capital goods,Export,Export(US$ Mil),2.893459
Sierra Leone,2015,World,Raw materials,Import,Import(US$ Mil),152.718927
Sierra Leone,2015,World,Intermediate goods,Import,Import(US$ Mil),116.969765
Sierra Leone,2015,World,Consumer goods,Import,Import(US$ Mil),1205.729015
Sierra Leone,2015,World,Capital goods,Import,Import(US$ Mil),269.997943
Sierra Leone,2015,World,All Products,Export,Exports (in US$ Mil),93.257547
Sierra Leone,2015,World,All Products,Import,Imports (in US$ Mil),1759.408505
Sierra Leone,2015,...,...,Development,Trade Balance (current US$ Mil),-1183.40575263
Sierra Leone,2015,...,...,Development,GDP (current US$ Mil),4214.7797845
Sierra Leone,2015,...,...,Import,No. Of Import partners,82
Sierra Leone,2015,...,...,Import,No. Of Import products,1500
Sierra Leone,2015,...,...,Export,No. Of Export partners,45
Sierra Leone,2015,...,...,Export,No. Of Export products,139
Sierra Leone,2015,...,...,Others,Population,6453184
Sierra Leone,2016,...,...,Others,Ease of Doing Business Rank,148
Sierra Leone,2016,...,...,Others,Trading Across Borders Rank,169
Sierra Leone,2015,...,...,Others,CPIA Trade Ratings,3.5
Sierra Leone,2015,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,56.0579
Sierra Leone,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,16.9384
Sierra Leone,2015,Guinea,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6977
Sierra Leone,2015,Benin,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1777
Sierra Leone,2015,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,2.4722
Sierra Leone,2015,Senegal,All Products,Import,Partner share(%)-Top 5 Import Partner,22.8981
Sierra Leone,2015,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,14.7664
Sierra Leone,2015,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,12.5211
Sierra Leone,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.5455
Sierra Leone,2015,Lebanon,All Products,Import,Partner share(%)-Top 5 Import Partner,4.6309
Sierra Leone,2015,World,Animal,Export,Export Product share(%),2.0451
Sierra Leone,2015,World,Vegetable,Export,Export Product share(%),5.2399
Sierra Leone,2015,World,Food Products,Export,Export Product share(%),68.8172
Sierra Leone,2015,World,Minerals,Export,Export Product share(%),0.7074
Sierra Leone,2015,World,Fuels,Export,Export Product share(%),0.2166
Sierra Leone,2015,World,Chemicals,Export,Export Product share(%),2.2517
Sierra Leone,2015,World,Plastic or Rubber,Export,Export Product share(%),8.4558
Sierra Leone,2015,World,Hides and Skins,Export,Export Product share(%),0.0315
Sierra Leone,2015,World,Wood,Export,Export Product share(%),0.7371
Sierra Leone,2015,World,Textiles and Clothing,Export,Export Product share(%),0.0612
Sierra Leone,2015,World,Footwear,Export,Export Product share(%),0.1784
Sierra Leone,2015,World,Stone and Glass,Export,Export Product share(%),1.5561
Sierra Leone,2015,World,Metals,Export,Export Product share(%),2.3673
Sierra Leone,2015,World,Mach and Elec,Export,Export Product share(%),2.7522
Sierra Leone,2015,World,Transportation,Export,Export Product share(%),2.7245
Sierra Leone,2015,World,Miscellaneous,Export,Export Product share(%),1.8581
Sierra Leone,2015,World,Raw materials,Export,Export Product share(%),70.0352
Sierra Leone,2015,World,Intermediate goods,Export,Export Product share(%),5.5343
Sierra Leone,2015,World,Consumer goods,Export,Export Product share(%),21.1967
