Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Slovenia,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5487.058722
Slovenia,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2986.472136
Slovenia,2015,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2204.336989
Slovenia,2015,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2064.584768
Slovenia,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1312.761852
Slovenia,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4453.401296
Slovenia,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3793.666317
Slovenia,2015,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2225.269962
Slovenia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1669.105182
Slovenia,2015,Croatia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1235.077894
Slovenia,2015,World,Animal,Export,Export(US$ Mil),296.10009
Slovenia,2015,World,Vegetable,Export,Export(US$ Mil),247.624894
Slovenia,2015,World,Food Products,Export,Export(US$ Mil),633.52639
Slovenia,2015,World,Minerals,Export,Export(US$ Mil),118.355546
Slovenia,2015,World,Fuels,Export,Export(US$ Mil),1410.473373
Slovenia,2015,World,Chemicals,Export,Export(US$ Mil),4100.787756
Slovenia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1731.928267
Slovenia,2015,World,Hides and Skins,Export,Export(US$ Mil),172.730165
Slovenia,2015,World,Wood,Export,Export(US$ Mil),1627.127733
Slovenia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),723.825644
Slovenia,2015,World,Footwear,Export,Export(US$ Mil),155.623084
Slovenia,2015,World,Stone and Glass,Export,Export(US$ Mil),442.325218
Slovenia,2015,World,Metals,Export,Export(US$ Mil),3237.49222
Slovenia,2015,World,Mach and Elec,Export,Export(US$ Mil),6098.249094
Slovenia,2015,World,Transportation,Export,Export(US$ Mil),3869.901473
Slovenia,2015,World,Miscellaneous,Export,Export(US$ Mil),1720.908322
Slovenia,2015,World,Raw materials,Export,Export(US$ Mil),1154.473847
Slovenia,2015,World,Intermediate goods,Export,Export(US$ Mil),6078.48882200001
Slovenia,2015,World,Consumer goods,Export,Export(US$ Mil),12138.815082
Slovenia,2015,World,Capital goods,Export,Export(US$ Mil),6905.566427
Slovenia,2015,World,Raw materials,Import,Import(US$ Mil),1690.09569
Slovenia,2015,World,Intermediate goods,Import,Import(US$ Mil),7039.578622
Slovenia,2015,World,Consumer goods,Import,Import(US$ Mil),10663.635412
Slovenia,2015,World,Capital goods,Import,Import(US$ Mil),6213.507896
