Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sweden,2015,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14107.573779
Sweden,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13980.321694
Sweden,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10161.061684
Sweden,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9820.465357
Sweden,2015,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9516.397191
Sweden,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24790.410901
Sweden,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11431.101202
Sweden,2015,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11330.428001
Sweden,2015,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10638.947756
Sweden,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7616.744068
Sweden,2015,World,Animal,Export,Export(US$ Mil),4077.043477
Sweden,2015,World,Vegetable,Export,Export(US$ Mil),1509.374019
Sweden,2015,World,Food Products,Export,Export(US$ Mil),3434.90662
Sweden,2015,World,Minerals,Export,Export(US$ Mil),2277.754302
Sweden,2015,World,Fuels,Export,Export(US$ Mil),8659.459497
Sweden,2015,World,Chemicals,Export,Export(US$ Mil),13710.837189
Sweden,2015,World,Plastic or Rubber,Export,Export(US$ Mil),5977.22903
Sweden,2015,World,Hides and Skins,Export,Export(US$ Mil),345.375628
Sweden,2015,World,Wood,Export,Export(US$ Mil),15478.867069
Sweden,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2494.205997
Sweden,2015,World,Footwear,Export,Export(US$ Mil),360.635137
Sweden,2015,World,Stone and Glass,Export,Export(US$ Mil),1938.106268
Sweden,2015,World,Metals,Export,Export(US$ Mil),12824.585646
Sweden,2015,World,Mach and Elec,Export,Export(US$ Mil),37023.872454
Sweden,2015,World,Transportation,Export,Export(US$ Mil),16745.80501
Sweden,2015,World,Miscellaneous,Export,Export(US$ Mil),13275.841293
Sweden,2015,World,Raw materials,Export,Export(US$ Mil),7468.660674
Sweden,2015,World,Intermediate goods,Export,Export(US$ Mil),35151.713294
Sweden,2015,World,Consumer goods,Export,Export(US$ Mil),43872.707507
Sweden,2015,World,Capital goods,Export,Export(US$ Mil),46834.133099
Sweden,2015,World,Raw materials,Import,Import(US$ Mil),17482.53812
Sweden,2015,World,Intermediate goods,Import,Import(US$ Mil),21890.617377
Sweden,2015,World,Consumer goods,Import,Import(US$ Mil),48438.619981
Sweden,2015,World,Capital goods,Import,Import(US$ Mil),41622.236079
Sweden,2015,World,All Products,Export,Exports (in US$ Mil),140133.898639
Sweden,2015,World,All Products,Import,Imports (in US$ Mil),138098.438857
Sweden,2015,...,...,Development,Trade Balance (current US$ Mil),23528.83758
Sweden,2015,...,...,Development,GDP (current US$ Mil),495623.69731
Sweden,2015,...,...,Import,No. Of Import partners,212
Sweden,2015,...,...,Import,No. Of Import products,4484
Sweden,2015,...,...,Export,No. Of Export partners,223
Sweden,2015,...,...,Export,No. Of Export products,4308
Sweden,2015,...,...,Others,Population,9798871
Sweden,2016,...,...,Others,Ease of Doing Business Rank,9
Sweden,2016,...,...,Others,Trading Across Borders Rank,18
Sweden,2014,...,...,Others,LPI Rank,6
Sweden,2014,...,...,Others,LPI Score,3.961349
Sweden,,...,...,Others,Services Trade Restrictions Index - Over All,15.5
Sweden,2015,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,10.0672
Sweden,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,9.9764
Sweden,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,7.251
Sweden,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0079
Sweden,2015,Denmark,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7909
Sweden,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,17.9513
Sweden,2015,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,8.2775
Sweden,2015,Norway,All Products,Import,Partner share(%)-Top 5 Import Partner,8.2046
Sweden,2015,Denmark,All Products,Import,Partner share(%)-Top 5 Import Partner,7.7039
Sweden,2015,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5154
Sweden,2015,World,Animal,Export,Export Product share(%),2.9094
Sweden,2015,World,Vegetable,Export,Export Product share(%),1.0771
Sweden,2015,World,Food Products,Export,Export Product share(%),2.4512
Sweden,2015,World,Minerals,Export,Export Product share(%),1.6254
Sweden,2015,World,Fuels,Export,Export Product share(%),6.1794
Sweden,2015,World,Chemicals,Export,Export Product share(%),9.7841
Sweden,2015,World,Plastic or Rubber,Export,Export Product share(%),4.2654
Sweden,2015,World,Hides and Skins,Export,Export Product share(%),0.2465
Sweden,2015,World,Wood,Export,Export Product share(%),11.0458
Sweden,2015,World,Textiles and Clothing,Export,Export Product share(%),1.7799
Sweden,2015,World,Footwear,Export,Export Product share(%),0.2574
Sweden,2015,World,Stone and Glass,Export,Export Product share(%),1.383
Sweden,2015,World,Metals,Export,Export Product share(%),9.1517
Sweden,2015,World,Mach and Elec,Export,Export Product share(%),26.4204
Sweden,2015,World,Transportation,Export,Export Product share(%),11.9499
Sweden,2015,World,Miscellaneous,Export,Export Product share(%),9.4737
Sweden,2015,World,Raw materials,Export,Export Product share(%),5.3297
Sweden,2015,World,Intermediate goods,Export,Export Product share(%),25.0844
Sweden,2015,World,Consumer goods,Export,Export Product share(%),31.3077
Sweden,2015,World,Capital goods,Export,Export Product share(%),33.421
