Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Seychelles,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,143.567837
Seychelles,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,93.564711
Seychelles,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,84.54166
Seychelles,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,37.656215
Seychelles,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35.932285
Seychelles,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,254.352901
Seychelles,2015,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,80.234781
Seychelles,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,77.331817
Seychelles,2015,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,69.803478
Seychelles,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,67.990232
Seychelles,2015,World,Animal,Export,Export(US$ Mil),5.974847
Seychelles,2015,World,Vegetable,Export,Export(US$ Mil),3.9099
Seychelles,2015,World,Food Products,Export,Export(US$ Mil),252.787926
Seychelles,2015,World,Minerals,Export,Export(US$ Mil),0.000676
Seychelles,2015,World,Fuels,Export,Export(US$ Mil),140.784628
Seychelles,2015,World,Chemicals,Export,Export(US$ Mil),0.476173
Seychelles,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1.210321
Seychelles,2015,World,Hides and Skins,Export,Export(US$ Mil),
Seychelles,2015,World,Wood,Export,Export(US$ Mil),0.063439
Seychelles,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.071404
Seychelles,2015,World,Footwear,Export,Export(US$ Mil),0.000504
Seychelles,2015,World,Stone and Glass,Export,Export(US$ Mil),0.211312
Seychelles,2015,World,Metals,Export,Export(US$ Mil),0.187339
Seychelles,2015,World,Mach and Elec,Export,Export(US$ Mil),2.558343
Seychelles,2015,World,Transportation,Export,Export(US$ Mil),12.161407
Seychelles,2015,World,Miscellaneous,Export,Export(US$ Mil),53.451191
