Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Trinidad and Tobago,2010,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5278.690544
Trinidad and Tobago,2010,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,709.999617
Trinidad and Tobago,2010,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,373.562324
Trinidad and Tobago,2010,Suriname,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,300.279062
Trinidad and Tobago,2010,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,287.362711
Trinidad and Tobago,2010,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1811.172388
Trinidad and Tobago,2010,Gabon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,836.024864
Trinidad and Tobago,2010,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,613.560717
Trinidad and Tobago,2010,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,466.472859
Trinidad and Tobago,2010,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,373.26204
Trinidad and Tobago,2010,World,Animal,Export,Export(US$ Mil),13.866367
Trinidad and Tobago,2010,World,Vegetable,Export,Export(US$ Mil),25.618596
Trinidad and Tobago,2010,World,Food Products,Export,Export(US$ Mil),228.121974
Trinidad and Tobago,2010,World,Minerals,Export,Export(US$ Mil),546.35442
Trinidad and Tobago,2010,World,Fuels,Export,Export(US$ Mil),6686.936115
Trinidad and Tobago,2010,World,Chemicals,Export,Export(US$ Mil),2370.153425
Trinidad and Tobago,2010,World,Plastic or Rubber,Export,Export(US$ Mil),28.602364
Trinidad and Tobago,2010,World,Hides and Skins,Export,Export(US$ Mil),0.096099
Trinidad and Tobago,2010,World,Wood,Export,Export(US$ Mil),63.24541
Trinidad and Tobago,2010,World,Textiles and Clothing,Export,Export(US$ Mil),9.145099
Trinidad and Tobago,2010,World,Footwear,Export,Export(US$ Mil),0.14292
Trinidad and Tobago,2010,World,Stone and Glass,Export,Export(US$ Mil),17.093302
Trinidad and Tobago,2010,World,Metals,Export,Export(US$ Mil),616.123005
Trinidad and Tobago,2010,World,Mach and Elec,Export,Export(US$ Mil),86.171845
Trinidad and Tobago,2010,World,Transportation,Export,Export(US$ Mil),268.006233
Trinidad and Tobago,2010,World,Miscellaneous,Export,Export(US$ Mil),22.002292
Trinidad and Tobago,2010,World,Raw materials,Export,Export(US$ Mil),1969.905821
Trinidad and Tobago,2010,World,Intermediate goods,Export,Export(US$ Mil),2946.449957
Trinidad and Tobago,2010,World,Consumer goods,Export,Export(US$ Mil),5705.169811
Trinidad and Tobago,2010,World,Capital goods,Export,Export(US$ Mil),359.185231
Trinidad and Tobago,2010,World,Raw materials,Import,Import(US$ Mil),2544.35063
Trinidad and Tobago,2010,World,Intermediate goods,Import,Import(US$ Mil),890.843444999999
Trinidad and Tobago,2010,World,Consumer goods,Import,Import(US$ Mil),1472.165139
Trinidad and Tobago,2010,World,Capital goods,Import,Import(US$ Mil),1530.729948
Trinidad and Tobago,2010,World,All Products,Export,Exports (in US$ Mil),10981.679472
Trinidad and Tobago,2010,World,All Products,Import,Imports (in US$ Mil),6479.599285
Trinidad and Tobago,2010,World,All Products,Tariff,Duty Free Imports (US$ Thousand),198519.078
Trinidad and Tobago,2015,...,...,Development,Trade Balance (current US$ Mil),-468.881785700001
Trinidad and Tobago,2015,...,...,Development,GDP (current US$ Mil),23559.287484
Trinidad and Tobago,2010,...,...,Tariff,No. Of Tariff Agreement,2
Trinidad and Tobago,2010,...,...,Import,No. Of Import partners,164
Trinidad and Tobago,2010,...,...,Import,No. Of Import products,3691
Trinidad and Tobago,2010,...,...,Export,No. Of Export partners,131
Trinidad and Tobago,2010,...,...,Export,No. Of Export products,2279
Trinidad and Tobago,2015,...,...,Others,Population,1360088
Trinidad and Tobago,2016,...,...,Others,Ease of Doing Business Rank,96
Trinidad and Tobago,2016,...,...,Others,Trading Across Borders Rank,123
Trinidad and Tobago,2010,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Trinidad and Tobago,2010,...,...,Others,No Of NTM Measures,1
Trinidad and Tobago,,...,...,Others,Services Trade Restrictions Index - Over All,10.9
Trinidad and Tobago,2010,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,48.0682
Trinidad and Tobago,2010,Jamaica,All Products,Export,Partner share(%)-Top 5 Export Partner,6.4653
Trinidad and Tobago,2010,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,3.4017
Trinidad and Tobago,2010,Suriname,All Products,Export,Partner share(%)-Top 5 Export Partner,2.7344
