Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Vincent and the Grenadines,2015,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.154089
St. Vincent and the Grenadines,2015,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.878558
St. Vincent and the Grenadines,2015,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.630334
St. Vincent and the Grenadines,2015,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.507708
St. Vincent and the Grenadines,2015,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.224431
St. Vincent and the Grenadines,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,127.367202
St. Vincent and the Grenadines,2015,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,58.847025
St. Vincent and the Grenadines,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.102893
St. Vincent and the Grenadines,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.022855
St. Vincent and the Grenadines,2015,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9.295645
St. Vincent and the Grenadines,2015,World,Animal,Export,Export(US$ Mil),0.774176
St. Vincent and the Grenadines,2015,World,Vegetable,Export,Export(US$ Mil),23.921205
St. Vincent and the Grenadines,2015,World,Food Products,Export,Export(US$ Mil),11.174368
St. Vincent and the Grenadines,2015,World,Minerals,Export,Export(US$ Mil),0.025942
St. Vincent and the Grenadines,2015,World,Fuels,Export,Export(US$ Mil),0.012043
St. Vincent and the Grenadines,2015,World,Chemicals,Export,Export(US$ Mil),0.074216
St. Vincent and the Grenadines,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.707488
St. Vincent and the Grenadines,2015,World,Hides and Skins,Export,Export(US$ Mil),0.000601
St. Vincent and the Grenadines,2015,World,Wood,Export,Export(US$ Mil),0.809705
St. Vincent and the Grenadines,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.316914
St. Vincent and the Grenadines,2015,World,Footwear,Export,Export(US$ Mil),0.009539
St. Vincent and the Grenadines,2015,World,Stone and Glass,Export,Export(US$ Mil),0.171991
St. Vincent and the Grenadines,2015,World,Metals,Export,Export(US$ Mil),3.676578
St. Vincent and the Grenadines,2015,World,Mach and Elec,Export,Export(US$ Mil),2.495859
St. Vincent and the Grenadines,2015,World,Transportation,Export,Export(US$ Mil),0.80425
St. Vincent and the Grenadines,2015,World,Miscellaneous,Export,Export(US$ Mil),0.778486
St. Vincent and the Grenadines,2015,World,Raw materials,Export,Export(US$ Mil),10.668505
St. Vincent and the Grenadines,2015,World,Intermediate goods,Export,Export(US$ Mil),16.804059
St. Vincent and the Grenadines,2015,World,Consumer goods,Export,Export(US$ Mil),14.876043
St. Vincent and the Grenadines,2015,World,Capital goods,Export,Export(US$ Mil),3.332675
St. Vincent and the Grenadines,2015,World,Raw materials,Import,Import(US$ Mil),41.674385
St. Vincent and the Grenadines,2015,World,Intermediate goods,Import,Import(US$ Mil),51.829588
St. Vincent and the Grenadines,2015,World,Consumer goods,Import,Import(US$ Mil),182.33161
St. Vincent and the Grenadines,2015,World,Capital goods,Import,Import(US$ Mil),55.244805
St. Vincent and the Grenadines,2015,World,All Products,Export,Exports (in US$ Mil),45.75336
St. Vincent and the Grenadines,2015,World,All Products,Import,Imports (in US$ Mil),333.710126
St. Vincent and the Grenadines,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),175986.17
St. Vincent and the Grenadines,2015,...,...,Development,Trade Balance (current US$ Mil),-197.22562963
St. Vincent and the Grenadines,2015,...,...,Development,GDP (current US$ Mil),737.68355556
St. Vincent and the Grenadines,2015,...,...,Tariff,No. Of Tariff Agreement,3
St. Vincent and the Grenadines,2015,...,...,Import,No. Of Import partners,141
St. Vincent and the Grenadines,2015,...,...,Import,No. Of Import products,2910
St. Vincent and the Grenadines,2015,...,...,Export,No. Of Export partners,41
St. Vincent and the Grenadines,2015,...,...,Export,No. Of Export products,599
St. Vincent and the Grenadines,2015,...,...,Others,Population,109462
St. Vincent and the Grenadines,2016,...,...,Others,Ease of Doing Business Rank,125
