Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Samoa,2015,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24.816556
Samoa,2015,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10.806014
Samoa,2015,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.81125
Samoa,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.146602
Samoa,2015,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.497903
Samoa,2015,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,96.224652
Samoa,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,57.588624
Samoa,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,54.977071
Samoa,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37.301978
Samoa,2015,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36.401438
Samoa,2015,World,Animal,Export,Export(US$ Mil),13.509575
Samoa,2015,World,Vegetable,Export,Export(US$ Mil),5.006247
Samoa,2015,World,Food Products,Export,Export(US$ Mil),7.059089
Samoa,2015,World,Minerals,Export,Export(US$ Mil),0.000262
Samoa,2015,World,Fuels,Export,Export(US$ Mil),14.901351
Samoa,2015,World,Chemicals,Export,Export(US$ Mil),0.100877
Samoa,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.210587
Samoa,2015,World,Hides and Skins,Export,Export(US$ Mil),0.013769
Samoa,2015,World,Wood,Export,Export(US$ Mil),0.226779
Samoa,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.053022
Samoa,2015,World,Footwear,Export,Export(US$ Mil),0.112545
Samoa,2015,World,Stone and Glass,Export,Export(US$ Mil),0.294334
Samoa,2015,World,Metals,Export,Export(US$ Mil),0.318469
Samoa,2015,World,Mach and Elec,Export,Export(US$ Mil),16.671356
Samoa,2015,World,Transportation,Export,Export(US$ Mil),0.166862
Samoa,2015,World,Miscellaneous,Export,Export(US$ Mil),0.28243
Samoa,2015,World,Raw materials,Export,Export(US$ Mil),17.864815
Samoa,2015,World,Intermediate goods,Export,Export(US$ Mil),1.757779
Samoa,2015,World,Consumer goods,Export,Export(US$ Mil),38.536558
Samoa,2015,World,Capital goods,Export,Export(US$ Mil),0.707974
Samoa,2015,World,Raw materials,Import,Import(US$ Mil),41.073991
Samoa,2015,World,Intermediate goods,Import,Import(US$ Mil),68.2430089999999
Samoa,2015,World,Consumer goods,Import,Import(US$ Mil),199.208551
Samoa,2015,World,Capital goods,Import,Import(US$ Mil),55.783227
Samoa,2015,World,All Products,Export,Exports (in US$ Mil),58.927552
Samoa,2015,World,All Products,Import,Imports (in US$ Mil),370.582374
Samoa,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),48753.089
Samoa,2015,...,...,Development,Trade Balance (current US$ Mil),-177.32183998
Samoa,2015,...,...,Development,GDP (current US$ Mil),761.03791636
Samoa,2015,...,...,Tariff,No. Of Tariff Agreement,1
Samoa,2015,...,...,Import,No. Of Import partners,81
Samoa,2015,...,...,Import,No. Of Import products,2869
Samoa,2015,...,...,Export,No. Of Export partners,34
Samoa,2015,...,...,Export,No. Of Export products,657
Samoa,2015,...,...,Others,Population,193228
Samoa,2016,...,...,Others,Ease of Doing Business Rank,89
Samoa,2016,...,...,Others,Trading Across Borders Rank,141
Samoa,2015,...,...,Others,CPIA Trade Ratings,4.5
Samoa,2015,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,42.1137
Samoa,2015,American Samoa,All Products,Export,Partner share(%)-Top 5 Export Partner,18.3378
Samoa,2015,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,14.9527
Samoa,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3398
Samoa,2015,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,4.2389
Samoa,2015,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,25.9658
Samoa,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,15.54
Samoa,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.8353
Samoa,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,10.0658
Samoa,2015,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,9.8228
Samoa,2015,World,Animal,Export,Export Product share(%),22.9257
Samoa,2015,World,Vegetable,Export,Export Product share(%),8.4956
Samoa,2015,World,Food Products,Export,Export Product share(%),11.9793
Samoa,2015,World,Minerals,Export,Export Product share(%),0.0004
Samoa,2015,World,Fuels,Export,Export Product share(%),25.2876
Samoa,2015,World,Chemicals,Export,Export Product share(%),0.1712
Samoa,2015,World,Plastic or Rubber,Export,Export Product share(%),0.3574
Samoa,2015,World,Hides and Skins,Export,Export Product share(%),0.0234
Samoa,2015,World,Wood,Export,Export Product share(%),0.3848
Samoa,2015,World,Textiles and Clothing,Export,Export Product share(%),0.09
Samoa,2015,World,Footwear,Export,Export Product share(%),0.191
Samoa,2015,World,Stone and Glass,Export,Export Product share(%),0.4995
Samoa,2015,World,Metals,Export,Export Product share(%),0.5404
Samoa,2015,World,Mach and Elec,Export,Export Product share(%),28.2913
Samoa,2015,World,Transportation,Export,Export Product share(%),0.2832
Samoa,2015,World,Miscellaneous,Export,Export Product share(%),0.4793
Samoa,2015,World,Raw materials,Export,Export Product share(%),30.3166
Samoa,2015,World,Intermediate goods,Export,Export Product share(%),2.9829
Samoa,2015,World,Consumer goods,Export,Export Product share(%),65.3965
Samoa,2015,World,Capital goods,Export,Export Product share(%),1.2014
Samoa,2015,World,Raw materials,Import,Import Product share(%),11.0836
Samoa,2015,World,Intermediate goods,Import,Import Product share(%),18.4151
Samoa,2015,World,Consumer goods,Import,Import Product share(%),53.7555
Samoa,2015,World,Capital goods,Import,Import Product share(%),15.0529
Samoa,2015,World,Raw materials,Tariff,Weighted Average (%),10.3474340533826
Samoa,2015,World,Intermediate goods,Tariff,Weighted Average (%),7.49761451484663
Samoa,2015,World,Consumer goods,Tariff,Weighted Average (%),10.7205862269058
Samoa,2015,World,Capital goods,Tariff,Weighted Average (%),8.36819780103887
Samoa,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Samoa,2015,World,All Products,Trade Indicator,Country Growth (%),-0.686331865931233
Samoa,2015,World,All Products,Tariff,Simple Average (%),13.0597545186608
Samoa,2015,World,All Products,Tariff,Weighted Average (%),10.2829335607982
Samoa,2015,World,All Products,Tariff,Maximum Rate (%),2879.27099609375
Samoa,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),5.45422811763679
Samoa,2015,...,...,Trade Indicator,Index of export market penetration,1.17785206753178
Samoa,2015,...,...,Trade Indicator,HH Market concentration index,0.246018111637608
Samoa,2015,...,...,Development,Trade Balance (% of GDP),-23.300000718
Samoa,2015,...,...,Development,Trade (% of GDP),77.699998255
Samoa,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",3930
