Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zimbabwe,2015,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1922.394623
Zimbabwe,2015,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,408.883663
Zimbabwe,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,147.956425
Zimbabwe,2015,Zambia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,92.154342
Zimbabwe,2015,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,30.79898
Zimbabwe,2015,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2304.883251
Zimbabwe,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1338.228911
Zimbabwe,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,458.160013
Zimbabwe,2015,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,277.4782
Zimbabwe,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,237.689736
Zimbabwe,2015,World,Animal,Export,Export(US$ Mil),17.512275
Zimbabwe,2015,World,Vegetable,Export,Export(US$ Mil),66.189924
Zimbabwe,2015,World,Food Products,Export,Export(US$ Mil),1014.333382
Zimbabwe,2015,World,Minerals,Export,Export(US$ Mil),286.297804
Zimbabwe,2015,World,Fuels,Export,Export(US$ Mil),41.543715
Zimbabwe,2015,World,Chemicals,Export,Export(US$ Mil),17.185524
Zimbabwe,2015,World,Plastic or Rubber,Export,Export(US$ Mil),9.340917
Zimbabwe,2015,World,Hides and Skins,Export,Export(US$ Mil),11.281746
Zimbabwe,2015,World,Wood,Export,Export(US$ Mil),44.447374
Zimbabwe,2015,World,Textiles and Clothing,Export,Export(US$ Mil),73.17654
Zimbabwe,2015,World,Footwear,Export,Export(US$ Mil),4.027502
Zimbabwe,2015,World,Stone and Glass,Export,Export(US$ Mil),847.647357
Zimbabwe,2015,World,Metals,Export,Export(US$ Mil),210.070724
Zimbabwe,2015,World,Mach and Elec,Export,Export(US$ Mil),25.249535
Zimbabwe,2015,World,Transportation,Export,Export(US$ Mil),11.342559
Zimbabwe,2015,World,Miscellaneous,Export,Export(US$ Mil),24.449074
Zimbabwe,2015,World,Raw materials,Export,Export(US$ Mil),1439.291908
