Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Aruba,2015,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21.893706
Aruba,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.34754
Aruba,2015,Curaçao,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.439708
Aruba,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.761546
Aruba,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.601879
Aruba,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,628.656553
Aruba,2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,167.874688
Aruba,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,120.832153
Aruba,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44.892367
Aruba,2015,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41.50983
Aruba,2015,World,Animal,Export,Export(US$ Mil),0.259833
Aruba,2015,World,Vegetable,Export,Export(US$ Mil),0.18534
Aruba,2015,World,Food Products,Export,Export(US$ Mil),46.714257
Aruba,2015,World,Minerals,Export,Export(US$ Mil),0.011868
Aruba,2015,World,Fuels,Export,Export(US$ Mil),0.157607
Aruba,2015,World,Chemicals,Export,Export(US$ Mil),5.733622
Aruba,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.527879
Aruba,2015,World,Hides and Skins,Export,Export(US$ Mil),0.422782
Aruba,2015,World,Wood,Export,Export(US$ Mil),0.744021
Aruba,2015,World,Textiles and Clothing,Export,Export(US$ Mil),1.597772
Aruba,2015,World,Footwear,Export,Export(US$ Mil),0.128432
Aruba,2015,World,Stone and Glass,Export,Export(US$ Mil),6.23706
Aruba,2015,World,Metals,Export,Export(US$ Mil),4.716419
Aruba,2015,World,Mach and Elec,Export,Export(US$ Mil),2.76599
Aruba,2015,World,Transportation,Export,Export(US$ Mil),4.171623
Aruba,2015,World,Miscellaneous,Export,Export(US$ Mil),5.507697
Aruba,2015,World,Raw materials,Export,Export(US$ Mil),3.583908
