Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Albania,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,981.582618
Albania,2015,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,191.433968
Albania,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,100.038202
Albania,2015,Malta,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,88.945037
Albania,2015,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,75.47113
Albania,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1308.866118
Albania,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,369.412493
Albania,2015,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,346.846015
Albania,2015,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,338.882366
Albania,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,288.357916
Albania,2015,World,Animal,Export,Export(US$ Mil),19.438964
Albania,2015,World,Vegetable,Export,Export(US$ Mil),76.758138
Albania,2015,World,Food Products,Export,Export(US$ Mil),44.080099
Albania,2015,World,Minerals,Export,Export(US$ Mil),136.317092
Albania,2015,World,Fuels,Export,Export(US$ Mil),170.01298
Albania,2015,World,Chemicals,Export,Export(US$ Mil),8.769627
Albania,2015,World,Plastic or Rubber,Export,Export(US$ Mil),9.114977
Albania,2015,World,Hides and Skins,Export,Export(US$ Mil),17.819589
Albania,2015,World,Wood,Export,Export(US$ Mil),65.257224
Albania,2015,World,Textiles and Clothing,Export,Export(US$ Mil),322.552899
Albania,2015,World,Footwear,Export,Export(US$ Mil),341.055928
Albania,2015,World,Stone and Glass,Export,Export(US$ Mil),9.734751
Albania,2015,World,Metals,Export,Export(US$ Mil),188.206459
Albania,2015,World,Mach and Elec,Export,Export(US$ Mil),44.394521
Albania,2015,World,Transportation,Export,Export(US$ Mil),8.734715
Albania,2015,World,Miscellaneous,Export,Export(US$ Mil),467.40907
Albania,2015,World,Raw materials,Export,Export(US$ Mil),303.635415
Albania,2015,World,Intermediate goods,Export,Export(US$ Mil),413.460631
Albania,2015,World,Consumer goods,Export,Export(US$ Mil),713.323727
Albania,2015,World,Capital goods,Export,Export(US$ Mil),54.355293
Albania,2015,World,Raw materials,Import,Import(US$ Mil),312.543826
Albania,2015,World,Intermediate goods,Import,Import(US$ Mil),959.428964
Albania,2015,World,Consumer goods,Import,Import(US$ Mil),1833.233259
Albania,2015,World,Capital goods,Import,Import(US$ Mil),547.356584999999
Albania,2015,World,All Products,Export,Exports (in US$ Mil),1929.657032
Albania,2015,World,All Products,Import,Imports (in US$ Mil),4320.219367
Albania,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2566008.604
Albania,2015,...,...,Development,Trade Balance (current US$ Mil),-2019.2489243
Albania,2015,...,...,Development,GDP (current US$ Mil),11398.392444
Albania,2015,...,...,Tariff,No. Of Tariff Agreement,10
Albania,2015,...,...,Import,No. Of Import partners,160
Albania,2015,...,...,Import,No. Of Import products,2816
Albania,2015,...,...,Export,No. Of Export partners,105
Albania,2015,...,...,Export,No. Of Export products,665
Albania,2015,...,...,Others,Population,2889167
Albania,2016,...,...,Others,Ease of Doing Business Rank,58
Albania,2016,...,...,Others,Trading Across Borders Rank,24
Albania,2006,...,...,Others,CPIA Trade Ratings,5
Albania,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0691712
Albania,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0691712
Albania,,...,...,Others,Services Trade Restrictions Index - Over All,19.4
Albania,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,50.8682
Albania,2015,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Partner share(%)-Top 5 Export Partner,9.9206
Albania,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,5.1842
Albania,2015,Malta,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6094
Albania,2015,Greece,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9111
Albania,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,30.2963
Albania,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5508
Albania,2015,Turkey,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0284
Albania,2015,Greece,All Products,Import,Partner share(%)-Top 5 Import Partner,7.8441
Albania,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6746
Albania,2015,World,Animal,Export,Export Product share(%),1.0074
Albania,2015,World,Vegetable,Export,Export Product share(%),3.9778
Albania,2015,World,Food Products,Export,Export Product share(%),2.2843
Albania,2015,World,Minerals,Export,Export Product share(%),7.0643
