Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Andorra,2014,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,55.900717
Andorra,2014,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16.9274
Andorra,2014,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.245447
Andorra,2014,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.931957
Andorra,2014,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.755487
Andorra,2014,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,960.650166
Andorra,2014,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,241.683859
Andorra,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,64.454019
Andorra,2014,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,59.928692
Andorra,2014,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45.894638
Andorra,2014,World,Animal,Export,Export(US$ Mil),0.213178
Andorra,2014,World,Vegetable,Export,Export(US$ Mil),0.131909
Andorra,2014,World,Food Products,Export,Export(US$ Mil),0.612404
Andorra,2014,World,Minerals,Export,Export(US$ Mil),0.383087
Andorra,2014,World,Fuels,Export,Export(US$ Mil),0.108301
Andorra,2014,World,Chemicals,Export,Export(US$ Mil),1.079274
Andorra,2014,World,Plastic or Rubber,Export,Export(US$ Mil),2.268809
Andorra,2014,World,Hides and Skins,Export,Export(US$ Mil),0.730616
Andorra,2014,World,Wood,Export,Export(US$ Mil),5.073805
Andorra,2014,World,Textiles and Clothing,Export,Export(US$ Mil),6.98016
Andorra,2014,World,Footwear,Export,Export(US$ Mil),2.404028
Andorra,2014,World,Stone and Glass,Export,Export(US$ Mil),3.992414
Andorra,2014,World,Metals,Export,Export(US$ Mil),5.188638
Andorra,2014,World,Mach and Elec,Export,Export(US$ Mil),24.976312
Andorra,2014,World,Transportation,Export,Export(US$ Mil),18.861622
Andorra,2014,World,Miscellaneous,Export,Export(US$ Mil),21.776299
Andorra,2014,World,Raw materials,Export,Export(US$ Mil),5.687622
Andorra,2014,World,Intermediate goods,Export,Export(US$ Mil),3.359388
Andorra,2014,World,Consumer goods,Export,Export(US$ Mil),59.898209
Andorra,2014,World,Capital goods,Export,Export(US$ Mil),25.062798
Andorra,2014,World,Raw materials,Import,Import(US$ Mil),71.059645
Andorra,2014,World,Intermediate goods,Import,Import(US$ Mil),134.873494
Andorra,2014,World,Consumer goods,Import,Import(US$ Mil),1146.239641
Andorra,2014,World,Capital goods,Import,Import(US$ Mil),192.941794
Andorra,2014,World,All Products,Export,Exports (in US$ Mil),94.78086
Andorra,2014,World,All Products,Import,Imports (in US$ Mil),1556.04854
Andorra,2014,...,...,Import,No. Of Import partners,124
Andorra,2014,...,...,Import,No. Of Import products,2934
Andorra,2014,...,...,Export,No. Of Export partners,121
Andorra,2014,...,...,Export,No. Of Export products,1032
Andorra,2014,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,58.9789
Andorra,2014,France,All Products,Export,Partner share(%)-Top 5 Export Partner,17.8595
Andorra,2014,Norway,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5343
Andorra,2014,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,3.0934
Andorra,2014,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,1.8522
Andorra,2014,Spain,All Products,Import,Partner share(%)-Top 5 Import Partner,61.7365
Andorra,2014,France,All Products,Import,Partner share(%)-Top 5 Import Partner,15.5319
Andorra,2014,China,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1422
Andorra,2014,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,3.8513
Andorra,2014,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,2.9494
Andorra,2014,World,Animal,Export,Export Product share(%),0.2249
Andorra,2014,World,Vegetable,Export,Export Product share(%),0.1392
Andorra,2014,World,Food Products,Export,Export Product share(%),0.6461
Andorra,2014,World,Minerals,Export,Export Product share(%),0.4042
Andorra,2014,World,Fuels,Export,Export Product share(%),0.1143
Andorra,2014,World,Chemicals,Export,Export Product share(%),1.1387
Andorra,2014,World,Plastic or Rubber,Export,Export Product share(%),2.3937
Andorra,2014,World,Hides and Skins,Export,Export Product share(%),0.7708
Andorra,2014,World,Wood,Export,Export Product share(%),5.3532
Andorra,2014,World,Textiles and Clothing,Export,Export Product share(%),7.3645
Andorra,2014,World,Footwear,Export,Export Product share(%),2.5364
Andorra,2014,World,Stone and Glass,Export,Export Product share(%),4.2123
Andorra,2014,World,Metals,Export,Export Product share(%),5.4744
Andorra,2014,World,Mach and Elec,Export,Export Product share(%),26.3516
Andorra,2014,World,Transportation,Export,Export Product share(%),19.9002
Andorra,2014,World,Miscellaneous,Export,Export Product share(%),22.9754
Andorra,2014,World,Raw materials,Export,Export Product share(%),6.0008
Andorra,2014,World,Intermediate goods,Export,Export Product share(%),3.5444
Andorra,2014,World,Consumer goods,Export,Export Product share(%),63.1965
Andorra,2014,World,Capital goods,Export,Export Product share(%),26.4429
Andorra,2014,World,Raw materials,Import,Import Product share(%),4.5667
Andorra,2014,World,Intermediate goods,Import,Import Product share(%),8.6677
Andorra,2014,World,Consumer goods,Import,Import Product share(%),73.6635
Andorra,2014,World,Capital goods,Import,Import Product share(%),12.3995
Andorra,2014,World,All Products,Trade Indicator,World Growth (%),0.131747689931871
Andorra,2014,World,All Products,Trade Indicator,Country Growth (%),10.4138060077783
