Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United Arab Emirates,2014,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,127206.266016
United Arab Emirates,2014,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,89780.380895
United Arab Emirates,2014,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,17034.843106
United Arab Emirates,2014,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15721.502254
United Arab Emirates,2014,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13221.535056
United Arab Emirates,2014,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45002.962893
United Arab Emirates,2014,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32076.658111
United Arab Emirates,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23997.531559
United Arab Emirates,2014,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22088.029651
United Arab Emirates,2014,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14079.09108
United Arab Emirates,2014,World,Animal,Export,Export(US$ Mil),1127.093444
United Arab Emirates,2014,World,Vegetable,Export,Export(US$ Mil),2422.849159
United Arab Emirates,2014,World,Food Products,Export,Export(US$ Mil),6661.881924
United Arab Emirates,2014,World,Minerals,Export,Export(US$ Mil),1231.214552
United Arab Emirates,2014,World,Fuels,Export,Export(US$ Mil),108121.55165
United Arab Emirates,2014,World,Chemicals,Export,Export(US$ Mil),6285.331876
United Arab Emirates,2014,World,Plastic or Rubber,Export,Export(US$ Mil),5957.333514
United Arab Emirates,2014,World,Hides and Skins,Export,Export(US$ Mil),387.136432
United Arab Emirates,2014,World,Wood,Export,Export(US$ Mil),1826.214975
United Arab Emirates,2014,World,Textiles and Clothing,Export,Export(US$ Mil),4820.511196
United Arab Emirates,2014,World,Footwear,Export,Export(US$ Mil),730.385251
United Arab Emirates,2014,World,Stone and Glass,Export,Export(US$ Mil),41579.53827
United Arab Emirates,2014,World,Metals,Export,Export(US$ Mil),12764.043536
United Arab Emirates,2014,World,Mach and Elec,Export,Export(US$ Mil),51726.884197
United Arab Emirates,2014,World,Transportation,Export,Export(US$ Mil),19026.444804
United Arab Emirates,2014,World,Miscellaneous,Export,Export(US$ Mil),115671.201484
United Arab Emirates,2014,World,Raw materials,Export,Export(US$ Mil),85026.145504
United Arab Emirates,2014,World,Intermediate goods,Export,Export(US$ Mil),40629.055615
United Arab Emirates,2014,World,Consumer goods,Export,Export(US$ Mil),84984.698285
United Arab Emirates,2014,World,Capital goods,Export,Export(US$ Mil),56672.845881
United Arab Emirates,2014,World,Raw materials,Import,Import(US$ Mil),17391.678554
United Arab Emirates,2014,World,Intermediate goods,Import,Import(US$ Mil),76486.0468969999
United Arab Emirates,2014,World,Consumer goods,Import,Import(US$ Mil),85143.5708170001
United Arab Emirates,2014,World,Capital goods,Import,Import(US$ Mil),87722.799623
United Arab Emirates,2014,World,All Products,Export,Exports (in US$ Mil),380339.616263
United Arab Emirates,2014,World,All Products,Import,Imports (in US$ Mil),298611.277362
United Arab Emirates,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),83056205.317
United Arab Emirates,2015,...,...,Development,Trade Balance (current US$ Mil),52743.36283
United Arab Emirates,2015,...,...,Development,GDP (current US$ Mil),370296.25596
United Arab Emirates,2014,...,...,Tariff,No. Of Tariff Agreement,4
United Arab Emirates,2014,...,...,Import,No. Of Import partners,199
United Arab Emirates,2014,...,...,Import,No. Of Import products,4515
United Arab Emirates,2014,...,...,Export,No. Of Export partners,212
United Arab Emirates,2014,...,...,Export,No. Of Export products,4343
United Arab Emirates,2015,...,...,Others,Population,9156963
United Arab Emirates,2016,...,...,Others,Ease of Doing Business Rank,26
United Arab Emirates,2016,...,...,Others,Trading Across Borders Rank,85
United Arab Emirates,2014,...,...,Others,LPI Rank,27
United Arab Emirates,2014,...,...,Others,LPI Score,3.539098
United Arab Emirates,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0299518
United Arab Emirates,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0323606
United Arab Emirates,2014,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,33.4454
United Arab Emirates,2014,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,23.6053
United Arab Emirates,2014,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,4.4789
United Arab Emirates,2014,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,4.1335
United Arab Emirates,2014,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,3.4762
United Arab Emirates,2014,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.0708
United Arab Emirates,2014,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,10.7419
United Arab Emirates,2014,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0364
United Arab Emirates,2014,India,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3969
United Arab Emirates,2014,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,4.7149
United Arab Emirates,2014,World,Animal,Export,Export Product share(%),0.2963
United Arab Emirates,2014,World,Vegetable,Export,Export Product share(%),0.637
United Arab Emirates,2014,World,Food Products,Export,Export Product share(%),1.7516
United Arab Emirates,2014,World,Minerals,Export,Export Product share(%),0.3237
United Arab Emirates,2014,World,Fuels,Export,Export Product share(%),28.4276
United Arab Emirates,2014,World,Chemicals,Export,Export Product share(%),1.6526
United Arab Emirates,2014,World,Plastic or Rubber,Export,Export Product share(%),1.5663
United Arab Emirates,2014,World,Hides and Skins,Export,Export Product share(%),0.1018
United Arab Emirates,2014,World,Wood,Export,Export Product share(%),0.4802
United Arab Emirates,2014,World,Textiles and Clothing,Export,Export Product share(%),1.2674
United Arab Emirates,2014,World,Footwear,Export,Export Product share(%),0.192
United Arab Emirates,2014,World,Stone and Glass,Export,Export Product share(%),10.9322
United Arab Emirates,2014,World,Metals,Export,Export Product share(%),3.356
United Arab Emirates,2014,World,Mach and Elec,Export,Export Product share(%),13.6002
United Arab Emirates,2014,World,Transportation,Export,Export Product share(%),5.0025
United Arab Emirates,2014,World,Miscellaneous,Export,Export Product share(%),30.4126
United Arab Emirates,2014,World,Raw materials,Export,Export Product share(%),22.3553
United Arab Emirates,2014,World,Intermediate goods,Export,Export Product share(%),10.6823
United Arab Emirates,2014,World,Consumer goods,Export,Export Product share(%),22.3444
United Arab Emirates,2014,World,Capital goods,Export,Export Product share(%),14.9006
United Arab Emirates,2014,World,Raw materials,Import,Import Product share(%),5.8242
United Arab Emirates,2014,World,Intermediate goods,Import,Import Product share(%),25.6139
United Arab Emirates,2014,World,Consumer goods,Import,Import Product share(%),28.5132
United Arab Emirates,2014,World,Capital goods,Import,Import Product share(%),29.3769
United Arab Emirates,2014,World,Raw materials,Tariff,Weighted Average (%),3.45360365702449
United Arab Emirates,2014,World,Intermediate goods,Tariff,Weighted Average (%),3.04087984074906
United Arab Emirates,2014,World,Consumer goods,Tariff,Weighted Average (%),4.08252542452671
United Arab Emirates,2014,World,Capital goods,Tariff,Weighted Average (%),2.22234945750467
United Arab Emirates,2014,World,All Products,Trade Indicator,World Growth (%),0.131747689931871
United Arab Emirates,2014,World,All Products,Trade Indicator,Country Growth (%),-2.56670957805463
United Arab Emirates,2014,World,All Products,Tariff,Simple Average (%),4.05741182925547
United Arab Emirates,2014,World,All Products,Tariff,Weighted Average (%),3.21006282859909
United Arab Emirates,2014,World,All Products,Tariff,Maximum Rate (%),627.541625976563
United Arab Emirates,2014,World,All Products,Tariff,Duty Free Tariff Lines Share (%),22.9632924586551
United Arab Emirates,2014,...,...,Trade Indicator,Index of export market penetration,14.0309808448294
United Arab Emirates,2014,...,...,Trade Indicator,HH Market concentration index,0.0681800937029005
United Arab Emirates,2015,...,...,Development,Trade Balance (% of GDP),14.243558228
United Arab Emirates,2015,...,...,Development,Trade (% of GDP),180.47478037
United Arab Emirates,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",43090
