Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Argentina,2015,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10099.061501
Argentina,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5173.792866
Argentina,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3432.524873
Argentina,2015,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2403.26804
Argentina,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2003.207824
Argentina,2015,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13006.155699
Argentina,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11742.518187
Argentina,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7700.482245
Argentina,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3130.093466
Argentina,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1822.172957
Argentina,2015,World,Animal,Export,Export(US$ Mil),3933.798342
Argentina,2015,World,Vegetable,Export,Export(US$ Mil),16516.318866
Argentina,2015,World,Food Products,Export,Export(US$ Mil),13782.490828
Argentina,2015,World,Minerals,Export,Export(US$ Mil),808.77793
Argentina,2015,World,Fuels,Export,Export(US$ Mil),1444.152305
Argentina,2015,World,Chemicals,Export,Export(US$ Mil),4427.60848
Argentina,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1178.621846
Argentina,2015,World,Hides and Skins,Export,Export(US$ Mil),883.483052
Argentina,2015,World,Wood,Export,Export(US$ Mil),594.689877
Argentina,2015,World,Textiles and Clothing,Export,Export(US$ Mil),406.940927
Argentina,2015,World,Footwear,Export,Export(US$ Mil),16.85303
Argentina,2015,World,Stone and Glass,Export,Export(US$ Mil),2631.146174
Argentina,2015,World,Metals,Export,Export(US$ Mil),1343.792889
Argentina,2015,World,Mach and Elec,Export,Export(US$ Mil),1375.222986
Argentina,2015,World,Transportation,Export,Export(US$ Mil),6282.62254
Argentina,2015,World,Miscellaneous,Export,Export(US$ Mil),1161.462198
Argentina,2015,World,Raw materials,Export,Export(US$ Mil),15527.624013
Argentina,2015,World,Intermediate goods,Export,Export(US$ Mil),24783.782292
Argentina,2015,World,Consumer goods,Export,Export(US$ Mil),9635.663759
Argentina,2015,World,Capital goods,Export,Export(US$ Mil),5782.067014
Argentina,2015,World,Raw materials,Import,Import(US$ Mil),2154.92077
Argentina,2015,World,Intermediate goods,Import,Import(US$ Mil),14500.268727
Argentina,2015,World,Consumer goods,Import,Import(US$ Mil),18679.053048
Argentina,2015,World,Capital goods,Import,Import(US$ Mil),23452.540961
Argentina,2015,World,All Products,Export,Exports (in US$ Mil),56787.982272
Argentina,2015,World,All Products,Import,Imports (in US$ Mil),59756.514255
Argentina,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),22986034.304
Argentina,2015,...,...,Development,Trade Balance (current US$ Mil),-4759.726852
Argentina,2015,...,...,Development,GDP (current US$ Mil),583168.57107
Argentina,2015,...,...,Tariff,No. Of Tariff Agreement,61
Argentina,2015,...,...,Import,No. Of Import partners,151
Argentina,2015,...,...,Import,No. Of Import products,4046
Argentina,2015,...,...,Export,No. Of Export partners,184
Argentina,2015,...,...,Export,No. Of Export products,3391
Argentina,2015,...,...,Others,Population,43416755
Argentina,2016,...,...,Others,Ease of Doing Business Rank,116
Argentina,2016,...,...,Others,Trading Across Borders Rank,111
Argentina,2014,...,...,Others,LPI Rank,60
Argentina,2014,...,...,Others,LPI Score,2.986475
Argentina,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Argentina,2014,...,...,Others,No Of NTM Measures,73
Argentina,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0916354
Argentina,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1447481
Argentina,,...,...,Others,Services Trade Restrictions Index - Over All,17
Argentina,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,3.022084475
Argentina,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.992624998
Argentina,2015,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,17.7838
Argentina,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1107
Argentina,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0445
Argentina,2015,Chile,All Products,Export,Partner share(%)-Top 5 Export Partner,4.232
Argentina,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5275
Argentina,2015,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,21.7653
Argentina,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.6506
Argentina,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8864
Argentina,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2381
Argentina,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,3.0493
Argentina,2015,World,Animal,Export,Export Product share(%),6.9272
Argentina,2015,World,Vegetable,Export,Export Product share(%),29.0842
Argentina,2015,World,Food Products,Export,Export Product share(%),24.2701
Argentina,2015,World,Minerals,Export,Export Product share(%),1.4242
Argentina,2015,World,Fuels,Export,Export Product share(%),2.5431
Argentina,2015,World,Chemicals,Export,Export Product share(%),7.7967
Argentina,2015,World,Plastic or Rubber,Export,Export Product share(%),2.0755
Argentina,2015,World,Hides and Skins,Export,Export Product share(%),1.5558
Argentina,2015,World,Wood,Export,Export Product share(%),1.0472
Argentina,2015,World,Textiles and Clothing,Export,Export Product share(%),0.7166
Argentina,2015,World,Footwear,Export,Export Product share(%),0.0297
Argentina,2015,World,Stone and Glass,Export,Export Product share(%),4.6333
Argentina,2015,World,Metals,Export,Export Product share(%),2.3663
Argentina,2015,World,Mach and Elec,Export,Export Product share(%),2.4217
Argentina,2015,World,Transportation,Export,Export Product share(%),11.0633
Argentina,2015,World,Miscellaneous,Export,Export Product share(%),2.0453
Argentina,2015,World,Raw materials,Export,Export Product share(%),27.3432
Argentina,2015,World,Intermediate goods,Export,Export Product share(%),43.6427
Argentina,2015,World,Consumer goods,Export,Export Product share(%),16.9678
Argentina,2015,World,Capital goods,Export,Export Product share(%),10.1818
Argentina,2015,World,Raw materials,Import,Import Product share(%),3.6062
Argentina,2015,World,Intermediate goods,Import,Import Product share(%),24.2656
Argentina,2015,World,Consumer goods,Import,Import Product share(%),31.2586
Argentina,2015,World,Capital goods,Import,Import Product share(%),39.2468
Argentina,2015,World,Raw materials,Tariff,Weighted Average (%),1.15028514943294
Argentina,2015,World,Intermediate goods,Tariff,Weighted Average (%),5.74742539705532
Argentina,2015,World,Consumer goods,Tariff,Weighted Average (%),6.99523982087161
Argentina,2015,World,Capital goods,Tariff,Weighted Average (%),8.9404493871225
Argentina,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Argentina,2015,World,All Products,Trade Indicator,Country Growth (%),-8.26400351119508
Argentina,2015,World,All Products,Tariff,Simple Average (%),12.4816907127985
Argentina,2015,World,All Products,Tariff,Weighted Average (%),7.34506872882805
Argentina,2015,World,All Products,Tariff,Maximum Rate (%),35
Argentina,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),19.7184641907489
Argentina,2015,...,...,Trade Indicator,Index of export market penetration,6.06562096327736
Argentina,2015,...,...,Trade Indicator,HH Market concentration index,0.0525876213670757
Argentina,2015,...,...,Development,Trade Balance (% of GDP),-0.816183706
Argentina,2015,...,...,Development,Trade in services (% of GDP),5.4503182758
Argentina,2015,...,...,Development,Trade (% of GDP),22.931821662
Argentina,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",12460
