Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Antigua and Barbuda,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.828545
Antigua and Barbuda,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.796994
Antigua and Barbuda,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.047499
Antigua and Barbuda,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.688964
Antigua and Barbuda,2015,Grenada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.125448
Antigua and Barbuda,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,195.061745
Antigua and Barbuda,2015,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,73.83639
Antigua and Barbuda,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.523629
Antigua and Barbuda,2015,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18.868042
Antigua and Barbuda,2015,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16.944254
Antigua and Barbuda,2015,World,Animal,Export,Export(US$ Mil),0.081222
Antigua and Barbuda,2015,World,Vegetable,Export,Export(US$ Mil),0.0956
Antigua and Barbuda,2015,World,Food Products,Export,Export(US$ Mil),1.321431
Antigua and Barbuda,2015,World,Minerals,Export,Export(US$ Mil),0.002694
Antigua and Barbuda,2015,World,Fuels,Export,Export(US$ Mil),0.287452
Antigua and Barbuda,2015,World,Chemicals,Export,Export(US$ Mil),0.302854
Antigua and Barbuda,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.309464
Antigua and Barbuda,2015,World,Hides and Skins,Export,Export(US$ Mil),0.029543
Antigua and Barbuda,2015,World,Wood,Export,Export(US$ Mil),0.612705
Antigua and Barbuda,2015,World,Textiles and Clothing,Export,Export(US$ Mil),7.942889
Antigua and Barbuda,2015,World,Footwear,Export,Export(US$ Mil),0.055075
Antigua and Barbuda,2015,World,Stone and Glass,Export,Export(US$ Mil),0.984312
Antigua and Barbuda,2015,World,Metals,Export,Export(US$ Mil),2.694726
Antigua and Barbuda,2015,World,Mach and Elec,Export,Export(US$ Mil),5.253001
Antigua and Barbuda,2015,World,Transportation,Export,Export(US$ Mil),3.4257
Antigua and Barbuda,2015,World,Miscellaneous,Export,Export(US$ Mil),2.646868
Antigua and Barbuda,2015,World,Raw materials,Export,Export(US$ Mil),1.199889
Antigua and Barbuda,2015,World,Intermediate goods,Export,Export(US$ Mil),1.436504
Antigua and Barbuda,2015,World,Consumer goods,Export,Export(US$ Mil),15.721962
Antigua and Barbuda,2015,World,Capital goods,Export,Export(US$ Mil),7.505579
Antigua and Barbuda,2015,World,Raw materials,Import,Import(US$ Mil),40.895027
Antigua and Barbuda,2015,World,Intermediate goods,Import,Import(US$ Mil),50.433848
Antigua and Barbuda,2015,World,Consumer goods,Import,Import(US$ Mil),310.529377999999
Antigua and Barbuda,2015,World,Capital goods,Import,Import(US$ Mil),58.586423
Antigua and Barbuda,2015,World,All Products,Export,Exports (in US$ Mil),26.045541
Antigua and Barbuda,2015,World,All Products,Import,Imports (in US$ Mil),465.127071
Antigua and Barbuda,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),51440.028
Antigua and Barbuda,2015,...,...,Development,Trade Balance (current US$ Mil),-118.14814815
Antigua and Barbuda,2015,...,...,Development,GDP (current US$ Mil),1259.2592593
Antigua and Barbuda,2015,...,...,Tariff,No. Of Tariff Agreement,3
Antigua and Barbuda,2015,...,...,Import,No. Of Import partners,137
Antigua and Barbuda,2015,...,...,Import,No. Of Import products,2999
Antigua and Barbuda,2015,...,...,Export,No. Of Export partners,46
Antigua and Barbuda,2015,...,...,Export,No. Of Export products,937
Antigua and Barbuda,2015,...,...,Others,Population,91818
Antigua and Barbuda,2016,...,...,Others,Ease of Doing Business Rank,113
Antigua and Barbuda,2016,...,...,Others,Trading Across Borders Rank,110
Antigua and Barbuda,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1457912
Antigua and Barbuda,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1457911
Antigua and Barbuda,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,30.0571
Antigua and Barbuda,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,26.0966
Antigua and Barbuda,2015,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,7.8612
Antigua and Barbuda,2015,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,6.4847
Antigua and Barbuda,2015,Grenada,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3211
Antigua and Barbuda,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,41.9373
Antigua and Barbuda,2015,Special Categories,All Products,Import,Partner share(%)-Top 5 Import Partner,15.8745
Antigua and Barbuda,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4125
Antigua and Barbuda,2015,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,4.0565
Antigua and Barbuda,2015,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,3.6429
Antigua and Barbuda,2015,World,Animal,Export,Export Product share(%),0.3118
Antigua and Barbuda,2015,World,Vegetable,Export,Export Product share(%),0.367
Antigua and Barbuda,2015,World,Food Products,Export,Export Product share(%),5.0735
Antigua and Barbuda,2015,World,Minerals,Export,Export Product share(%),0.0103
Antigua and Barbuda,2015,World,Fuels,Export,Export Product share(%),1.1037
Antigua and Barbuda,2015,World,Chemicals,Export,Export Product share(%),1.1628
Antigua and Barbuda,2015,World,Plastic or Rubber,Export,Export Product share(%),1.1882
Antigua and Barbuda,2015,World,Hides and Skins,Export,Export Product share(%),0.1134
Antigua and Barbuda,2015,World,Wood,Export,Export Product share(%),2.3524
Antigua and Barbuda,2015,World,Textiles and Clothing,Export,Export Product share(%),30.4962
Antigua and Barbuda,2015,World,Footwear,Export,Export Product share(%),0.2115
Antigua and Barbuda,2015,World,Stone and Glass,Export,Export Product share(%),3.7792
Antigua and Barbuda,2015,World,Metals,Export,Export Product share(%),10.3462
Antigua and Barbuda,2015,World,Mach and Elec,Export,Export Product share(%),20.1685
Antigua and Barbuda,2015,World,Transportation,Export,Export Product share(%),13.1527
Antigua and Barbuda,2015,World,Miscellaneous,Export,Export Product share(%),10.1625
Antigua and Barbuda,2015,World,Raw materials,Export,Export Product share(%),4.6069
Antigua and Barbuda,2015,World,Intermediate goods,Export,Export Product share(%),5.5154
Antigua and Barbuda,2015,World,Consumer goods,Export,Export Product share(%),60.3634
Antigua and Barbuda,2015,World,Capital goods,Export,Export Product share(%),28.8171
Antigua and Barbuda,2015,World,Raw materials,Import,Import Product share(%),8.7922
Antigua and Barbuda,2015,World,Intermediate goods,Import,Import Product share(%),10.843
Antigua and Barbuda,2015,World,Consumer goods,Import,Import Product share(%),66.7623
Antigua and Barbuda,2015,World,Capital goods,Import,Import Product share(%),12.5958
Antigua and Barbuda,2015,World,Raw materials,Tariff,Weighted Average (%),16.5205800131087
Antigua and Barbuda,2015,World,Intermediate goods,Tariff,Weighted Average (%),7.24289531649279
Antigua and Barbuda,2015,World,Consumer goods,Tariff,Weighted Average (%),12.6404424431403
Antigua and Barbuda,2015,World,Capital goods,Tariff,Weighted Average (%),9.73766723089009
Antigua and Barbuda,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Antigua and Barbuda,2015,World,All Products,Trade Indicator,Country Growth (%),-7.6574335202102
Antigua and Barbuda,2015,World,All Products,Tariff,Simple Average (%),12.3832586070348
Antigua and Barbuda,2015,World,All Products,Tariff,Weighted Average (%),12.0335220856829
Antigua and Barbuda,2015,World,All Products,Tariff,Maximum Rate (%),70
Antigua and Barbuda,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),17.9882210694645
Antigua and Barbuda,2015,...,...,Trade Indicator,Index of export market penetration,1.3126491646778
Antigua and Barbuda,2015,...,...,Trade Indicator,HH Market concentration index,0.334515839715716
Antigua and Barbuda,2015,...,...,Development,Trade Balance (% of GDP),-9.382352941
Antigua and Barbuda,2015,...,...,Development,Trade (% of GDP),99.970588235
Antigua and Barbuda,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",13270
