Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Australia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,61012.456214
Australia,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29826.962032
Australia,2015,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13299.32502
Australia,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9977.449262
Australia,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7946.612862
Australia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46292.722371
Australia,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22560.99095
Australia,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14793.098322
Australia,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10895.840476
Australia,2015,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10197.010735
Australia,2015,World,Animal,Export,Export(US$ Mil),14281.096005
Australia,2015,World,Vegetable,Export,Export(US$ Mil),12226.517902
Australia,2015,World,Food Products,Export,Export(US$ Mil),4491.132044
Australia,2015,World,Minerals,Export,Export(US$ Mil),46714.283706
Australia,2015,World,Fuels,Export,Export(US$ Mil),47494.438898
Australia,2015,World,Chemicals,Export,Export(US$ Mil),9610.956209
Australia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),1007.813853
Australia,2015,World,Hides and Skins,Export,Export(US$ Mil),1027.197234
Australia,2015,World,Wood,Export,Export(US$ Mil),2405.649133
Australia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),3442.369125
Australia,2015,World,Footwear,Export,Export(US$ Mil),72.697799
Australia,2015,World,Stone and Glass,Export,Export(US$ Mil),12294.101315
Australia,2015,World,Metals,Export,Export(US$ Mil),9964.432399
Australia,2015,World,Mach and Elec,Export,Export(US$ Mil),7765.026562
Australia,2015,World,Transportation,Export,Export(US$ Mil),4329.532587
Australia,2015,World,Miscellaneous,Export,Export(US$ Mil),10664.906701
Australia,2015,World,Raw materials,Export,Export(US$ Mil),108036.668431
Australia,2015,World,Intermediate goods,Export,Export(US$ Mil),33728.0746519999
Australia,2015,World,Consumer goods,Export,Export(US$ Mil),27568.148518
Australia,2015,World,Capital goods,Export,Export(US$ Mil),11101.210336
Australia,2015,World,Raw materials,Import,Import(US$ Mil),11577.414119
Australia,2015,World,Intermediate goods,Import,Import(US$ Mil),30402.3276969999
Australia,2015,World,Consumer goods,Import,Import(US$ Mil),87598.165289
Australia,2015,World,Capital goods,Import,Import(US$ Mil),62831.330772
Australia,2015,World,All Products,Export,Exports (in US$ Mil),187792.15147
Australia,2015,World,All Products,Import,Imports (in US$ Mil),200113.779978
Australia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),111340406.597
Australia,2015,...,...,Development,Trade Balance (current US$ Mil),-18908.39504
Australia,2015,...,...,Development,GDP (current US$ Mil),1339140.5275
Australia,2015,...,...,Tariff,No. Of Tariff Agreement,25
Australia,2015,...,...,Import,No. Of Import partners,214
Australia,2015,...,...,Import,No. Of Import products,4373
Australia,2015,...,...,Export,No. Of Export partners,212
Australia,2015,...,...,Export,No. Of Export products,4207
Australia,2015,...,...,Others,Population,23781169
Australia,2016,...,...,Others,Ease of Doing Business Rank,15
Australia,2016,...,...,Others,Trading Across Borders Rank,91
Australia,2014,...,...,Others,LPI Rank,16
Australia,2014,...,...,Others,LPI Score,3.810776
Australia,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5204
Australia,2015,...,...,Others,No Of NTM Measures,64
Australia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1129992
Australia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1162101
Australia,,...,...,Others,Services Trade Restrictions Index - Over All,20.2
Australia,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.9492444992
Australia,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.9338349104
Australia,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,32.4894
Australia,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,15.883
Australia,2015,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,7.0819
Australia,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.313
Australia,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2316
Australia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,23.1332
Australia,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,11.2741
Australia,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3923
Australia,2015,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,5.4448
Australia,2015,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0956
Australia,2015,World,Animal,Export,Export Product share(%),7.6047
Australia,2015,World,Vegetable,Export,Export Product share(%),6.5107
Australia,2015,World,Food Products,Export,Export Product share(%),2.3915
Australia,2015,World,Minerals,Export,Export Product share(%),24.8755
Australia,2015,World,Fuels,Export,Export Product share(%),25.291
Australia,2015,World,Chemicals,Export,Export Product share(%),5.1179
Australia,2015,World,Plastic or Rubber,Export,Export Product share(%),0.5367
Australia,2015,World,Hides and Skins,Export,Export Product share(%),0.547
Australia,2015,World,Wood,Export,Export Product share(%),1.281
Australia,2015,World,Textiles and Clothing,Export,Export Product share(%),1.8331
Australia,2015,World,Footwear,Export,Export Product share(%),0.0387
Australia,2015,World,Stone and Glass,Export,Export Product share(%),6.5467
Australia,2015,World,Metals,Export,Export Product share(%),5.3061
Australia,2015,World,Mach and Elec,Export,Export Product share(%),4.1349
Australia,2015,World,Transportation,Export,Export Product share(%),2.3055
Australia,2015,World,Miscellaneous,Export,Export Product share(%),5.6791
Australia,2015,World,Raw materials,Export,Export Product share(%),57.5299
Australia,2015,World,Intermediate goods,Export,Export Product share(%),17.9603
Australia,2015,World,Consumer goods,Export,Export Product share(%),14.6801
Australia,2015,World,Capital goods,Export,Export Product share(%),5.9114
Australia,2015,World,Raw materials,Import,Import Product share(%),5.7854
Australia,2015,World,Intermediate goods,Import,Import Product share(%),15.1925
Australia,2015,World,Consumer goods,Import,Import Product share(%),43.7742
Australia,2015,World,Capital goods,Import,Import Product share(%),31.3978
Australia,2015,World,Raw materials,Tariff,Weighted Average (%),0.104870957498522
Australia,2015,World,Intermediate goods,Tariff,Weighted Average (%),1.81955969467375
Australia,2015,World,Consumer goods,Tariff,Weighted Average (%),2.52898631800828
Australia,2015,World,Capital goods,Tariff,Weighted Average (%),1.53014292623741
Australia,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Australia,2015,World,All Products,Trade Indicator,Country Growth (%),-12.8763239944766
Australia,2015,World,All Products,Tariff,Simple Average (%),2.49692284440228
Australia,2015,World,All Products,Tariff,Weighted Average (%),1.90303030049681
Australia,2015,World,All Products,Tariff,Maximum Rate (%),28.0813694000244
Australia,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),49.5571390516782
Australia,2015,...,...,Trade Indicator,Index of export market penetration,12.8891996999843
Australia,2015,...,...,Trade Indicator,HH Market concentration index,0.175290827756315
Australia,2015,...,...,Development,Trade Balance (% of GDP),-1.411979897
Australia,2015,...,...,Development,Trade in services (% of GDP),7.975371524
Australia,2015,...,...,Development,Trade (% of GDP),41.006938124
Australia,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",60070
