Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Austria,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42863.404323
Austria,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9647.567367
Austria,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8869.387333
Austria,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8362.274847
Austria,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6349.619242
Austria,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,53770.448058
Austria,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8923.632655
Austria,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8756.280015
Austria,2015,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8582.907106
Austria,2015,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6176.737716
Austria,2015,World,Animal,Export,Export(US$ Mil),2730.463
Austria,2015,World,Vegetable,Export,Export(US$ Mil),1698.115939
Austria,2015,World,Food Products,Export,Export(US$ Mil),6517.339749
Austria,2015,World,Minerals,Export,Export(US$ Mil),399.398148
Austria,2015,World,Fuels,Export,Export(US$ Mil),2849.725228
Austria,2015,World,Chemicals,Export,Export(US$ Mil),14060.624785
Austria,2015,World,Plastic or Rubber,Export,Export(US$ Mil),7146.345871
Austria,2015,World,Hides and Skins,Export,Export(US$ Mil),965.736189
Austria,2015,World,Wood,Export,Export(US$ Mil),9244.421733
Austria,2015,World,Textiles and Clothing,Export,Export(US$ Mil),4105.46103
Austria,2015,World,Footwear,Export,Export(US$ Mil),1017.944861
Austria,2015,World,Stone and Glass,Export,Export(US$ Mil),3210.293805
Austria,2015,World,Metals,Export,Export(US$ Mil),19313.700407
Austria,2015,World,Mach and Elec,Export,Export(US$ Mil),41947.876495
Austria,2015,World,Transportation,Export,Export(US$ Mil),16657.149117
Austria,2015,World,Miscellaneous,Export,Export(US$ Mil),13412.710825
Austria,2015,World,Raw materials,Export,Export(US$ Mil),4789.257683
Austria,2015,World,Intermediate goods,Export,Export(US$ Mil),36067.879053
Austria,2015,World,Consumer goods,Export,Export(US$ Mil),45969.510224
Austria,2015,World,Capital goods,Export,Export(US$ Mil),53199.599804
Austria,2015,World,Raw materials,Import,Import(US$ Mil),12365.170214
Austria,2015,World,Intermediate goods,Import,Import(US$ Mil),34441.8376169999
Austria,2015,World,Consumer goods,Import,Import(US$ Mil),58029.99547
Austria,2015,World,Capital goods,Import,Import(US$ Mil),41633.648843
Austria,2015,World,All Products,Export,Exports (in US$ Mil),145277.307185
Austria,2015,World,All Products,Import,Imports (in US$ Mil),147935.123859
Austria,2015,...,...,Development,Trade Balance (current US$ Mil),15109.04958
Austria,2015,...,...,Development,GDP (current US$ Mil),376950.24953
Austria,2015,...,...,Import,No. Of Import partners,219
Austria,2015,...,...,Import,No. Of Import products,4510
Austria,2015,...,...,Export,No. Of Export partners,221
Austria,2015,...,...,Export,No. Of Export products,4341
Austria,2015,...,...,Others,Population,8611088
Austria,2016,...,...,Others,Ease of Doing Business Rank,19
Austria,2016,...,...,Others,Trading Across Borders Rank,1
Austria,2014,...,...,Others,LPI Rank,22
Austria,2014,...,...,Others,LPI Score,3.648587
Austria,,...,...,Others,Services Trade Restrictions Index - Over All,17.8
Austria,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,29.5045
Austria,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6408
Austria,2015,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1051
Austria,2015,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,5.7561
Austria,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3707
Austria,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,36.3473
Austria,2015,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0321
Austria,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.919
Austria,2015,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8018
Austria,2015,Czech Republic,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1753
Austria,2015,World,Animal,Export,Export Product share(%),1.8795
Austria,2015,World,Vegetable,Export,Export Product share(%),1.1689
Austria,2015,World,Food Products,Export,Export Product share(%),4.4861
Austria,2015,World,Minerals,Export,Export Product share(%),0.2749
Austria,2015,World,Fuels,Export,Export Product share(%),1.9616
Austria,2015,World,Chemicals,Export,Export Product share(%),9.6785
Austria,2015,World,Plastic or Rubber,Export,Export Product share(%),4.9191
Austria,2015,World,Hides and Skins,Export,Export Product share(%),0.6648
Austria,2015,World,Wood,Export,Export Product share(%),6.3633
Austria,2015,World,Textiles and Clothing,Export,Export Product share(%),2.8259
Austria,2015,World,Footwear,Export,Export Product share(%),0.7007
Austria,2015,World,Stone and Glass,Export,Export Product share(%),2.2098
Austria,2015,World,Metals,Export,Export Product share(%),13.2944
Austria,2015,World,Mach and Elec,Export,Export Product share(%),28.8743
Austria,2015,World,Transportation,Export,Export Product share(%),11.4658
Austria,2015,World,Miscellaneous,Export,Export Product share(%),9.2325
Austria,2015,World,Raw materials,Export,Export Product share(%),3.2966
Austria,2015,World,Intermediate goods,Export,Export Product share(%),24.8269
Austria,2015,World,Consumer goods,Export,Export Product share(%),31.6426
Austria,2015,World,Capital goods,Export,Export Product share(%),36.6193
Austria,2015,World,Raw materials,Import,Import Product share(%),8.3585
Austria,2015,World,Intermediate goods,Import,Import Product share(%),23.2817
Austria,2015,World,Consumer goods,Import,Import Product share(%),39.2267
Austria,2015,World,Capital goods,Import,Import Product share(%),28.1432
Austria,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Austria,2015,World,All Products,Trade Indicator,Country Growth (%),-7.57363583436136
Austria,2015,...,...,Trade Indicator,Index of export market penetration,18.2219089257666
Austria,2015,...,...,Trade Indicator,HH Market concentration index,0.101274957076625
Austria,2015,...,...,Development,Trade Balance (% of GDP),4.0082344
Austria,2015,...,...,Development,Trade in services (% of GDP),27.523744892
Austria,2015,...,...,Development,Trade (% of GDP),102.11217818
Austria,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",47410
