Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Burundi,2015,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28.271544
Burundi,2015,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22.516495
Burundi,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.492433
Burundi,2015,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.43173
Burundi,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.299745
Burundi,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,70.540964
Burundi,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,67.146051
Burundi,2015,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44.026883
Burundi,2015,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36.216952
Burundi,2015,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35.530223
Burundi,2015,World,Animal,Export,Export(US$ Mil),0.220558
Burundi,2015,World,Vegetable,Export,Export(US$ Mil),58.619762
Burundi,2015,World,Food Products,Export,Export(US$ Mil),12.385453
Burundi,2015,World,Minerals,Export,Export(US$ Mil),1.373412
Burundi,2015,World,Fuels,Export,Export(US$ Mil),0.437789
Burundi,2015,World,Chemicals,Export,Export(US$ Mil),6.801735
Burundi,2015,World,Plastic or Rubber,Export,Export(US$ Mil),4.553673
Burundi,2015,World,Hides and Skins,Export,Export(US$ Mil),4.376803
Burundi,2015,World,Wood,Export,Export(US$ Mil),0.278174
Burundi,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.152564
Burundi,2015,World,Footwear,Export,Export(US$ Mil),0.001401
Burundi,2015,World,Stone and Glass,Export,Export(US$ Mil),17.740478
Burundi,2015,World,Metals,Export,Export(US$ Mil),2.627562
Burundi,2015,World,Mach and Elec,Export,Export(US$ Mil),1.532322
Burundi,2015,World,Transportation,Export,Export(US$ Mil),1.374609
Burundi,2015,World,Miscellaneous,Export,Export(US$ Mil),1.314409
Burundi,2015,World,Raw materials,Export,Export(US$ Mil),48.405055
Burundi,2015,World,Intermediate goods,Export,Export(US$ Mil),22.897768
Burundi,2015,World,Consumer goods,Export,Export(US$ Mil),40.014417
Burundi,2015,World,Capital goods,Export,Export(US$ Mil),2.420571
Burundi,2015,World,Raw materials,Import,Import(US$ Mil),35.841975
Burundi,2015,World,Intermediate goods,Import,Import(US$ Mil),113.728469
Burundi,2015,World,Consumer goods,Import,Import(US$ Mil),271.36944
Burundi,2015,World,Capital goods,Import,Import(US$ Mil),136.227805
Burundi,2015,World,All Products,Export,Exports (in US$ Mil),113.790703
