Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Benin,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,81.138322
Benin,2015,Niger,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,59.946059
Benin,2015,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,54.988437
Benin,2015,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49.550217
Benin,2015,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46.731625
Benin,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,288.759414
Benin,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,266.533375
Benin,2015,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,242.680883
Benin,2015,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,211.294341
Benin,2015,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,191.38513
Benin,2015,World,Animal,Export,Export(US$ Mil),4.365675
Benin,2015,World,Vegetable,Export,Export(US$ Mil),124.893479
Benin,2015,World,Food Products,Export,Export(US$ Mil),12.690109
Benin,2015,World,Minerals,Export,Export(US$ Mil),37.535667
Benin,2015,World,Fuels,Export,Export(US$ Mil),22.730666
Benin,2015,World,Chemicals,Export,Export(US$ Mil),3.056918
Benin,2015,World,Plastic or Rubber,Export,Export(US$ Mil),2.862359
Benin,2015,World,Hides and Skins,Export,Export(US$ Mil),0.05464
Benin,2015,World,Wood,Export,Export(US$ Mil),12.554685
Benin,2015,World,Textiles and Clothing,Export,Export(US$ Mil),273.67996
Benin,2015,World,Footwear,Export,Export(US$ Mil),0.258662
Benin,2015,World,Stone and Glass,Export,Export(US$ Mil),15.171997
Benin,2015,World,Metals,Export,Export(US$ Mil),40.264756
Benin,2015,World,Mach and Elec,Export,Export(US$ Mil),22.022183
Benin,2015,World,Transportation,Export,Export(US$ Mil),50.45807
Benin,2015,World,Miscellaneous,Export,Export(US$ Mil),2.978085
Benin,2015,World,Raw materials,Export,Export(US$ Mil),376.43571
