Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bangladesh,2011,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5106.780029
Bangladesh,2011,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3781.864787
Bangladesh,2011,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2306.383453
Bangladesh,2011,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1560.386004
Bangladesh,2011,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1072.977032
Bangladesh,2011,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9389.462149
Bangladesh,2011,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4630.681619
Bangladesh,2011,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3610.348884
Bangladesh,2011,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2461.608167
Bangladesh,2011,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2127.133974
Bangladesh,2011,World,Animal,Export,Export(US$ Mil),643.054266
Bangladesh,2011,World,Vegetable,Export,Export(US$ Mil),206.180356
Bangladesh,2011,World,Food Products,Export,Export(US$ Mil),143.532093
Bangladesh,2011,World,Minerals,Export,Export(US$ Mil),37.557271
Bangladesh,2011,World,Fuels,Export,Export(US$ Mil),280.088409
Bangladesh,2011,World,Chemicals,Export,Export(US$ Mil),122.874863
Bangladesh,2011,World,Plastic or Rubber,Export,Export(US$ Mil),97.493688
Bangladesh,2011,World,Hides and Skins,Export,Export(US$ Mil),389.577172
Bangladesh,2011,World,Wood,Export,Export(US$ Mil),34.977518
Bangladesh,2011,World,Textiles and Clothing,Export,Export(US$ Mil),21420.368618
Bangladesh,2011,World,Footwear,Export,Export(US$ Mil),397.123024
Bangladesh,2011,World,Stone and Glass,Export,Export(US$ Mil),34.318376
Bangladesh,2011,World,Metals,Export,Export(US$ Mil),143.280584
Bangladesh,2011,World,Mach and Elec,Export,Export(US$ Mil),111.704551
Bangladesh,2011,World,Transportation,Export,Export(US$ Mil),171.370978
Bangladesh,2011,World,Miscellaneous,Export,Export(US$ Mil),80.242479
Bangladesh,2011,World,Raw materials,Export,Export(US$ Mil),1338.41757
Bangladesh,2011,World,Intermediate goods,Export,Export(US$ Mil),977.810263000002
Bangladesh,2011,World,Consumer goods,Export,Export(US$ Mil),21828.028811
