Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bahrain,2015,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5063.240495
Bahrain,2015,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4193.648812
Bahrain,2015,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,961.12954
Bahrain,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,710.760371
Bahrain,2015,Kuwait,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,393.772016
Bahrain,2015,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3941.180694
Bahrain,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1571.374908
Bahrain,2015,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1169.611719
Bahrain,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1151.535729
Bahrain,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1119.006822
Bahrain,2015,World,Animal,Export,Export(US$ Mil),74.924749
Bahrain,2015,World,Vegetable,Export,Export(US$ Mil),14.180098
Bahrain,2015,World,Food Products,Export,Export(US$ Mil),357.806877
Bahrain,2015,World,Minerals,Export,Export(US$ Mil),399.184057
Bahrain,2015,World,Fuels,Export,Export(US$ Mil),5158.082814
Bahrain,2015,World,Chemicals,Export,Export(US$ Mil),608.669823
Bahrain,2015,World,Plastic or Rubber,Export,Export(US$ Mil),300.558045
Bahrain,2015,World,Hides and Skins,Export,Export(US$ Mil),27.147888
Bahrain,2015,World,Wood,Export,Export(US$ Mil),192.958259
Bahrain,2015,World,Textiles and Clothing,Export,Export(US$ Mil),908.269892
Bahrain,2015,World,Footwear,Export,Export(US$ Mil),161.691413
Bahrain,2015,World,Stone and Glass,Export,Export(US$ Mil),359.784592
Bahrain,2015,World,Metals,Export,Export(US$ Mil),2818.640305
Bahrain,2015,World,Mach and Elec,Export,Export(US$ Mil),1484.626666
Bahrain,2015,World,Transportation,Export,Export(US$ Mil),670.106856
Bahrain,2015,World,Miscellaneous,Export,Export(US$ Mil),309.445113
Bahrain,2015,World,Raw materials,Export,Export(US$ Mil),490.787009
Bahrain,2015,World,Intermediate goods,Export,Export(US$ Mil),3322.578901
Bahrain,2015,World,Consumer goods,Export,Export(US$ Mil),8119.11913700001
Bahrain,2015,World,Capital goods,Export,Export(US$ Mil),1781.450125
Bahrain,2015,World,Raw materials,Import,Import(US$ Mil),5150.194412
Bahrain,2015,World,Intermediate goods,Import,Import(US$ Mil),3030.472039
Bahrain,2015,World,Consumer goods,Import,Import(US$ Mil),5187.17313
Bahrain,2015,World,Capital goods,Import,Import(US$ Mil),2902.725077
