Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Belize,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,132.270523
Belize,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,81.896961
Belize,2015,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15.08453
Belize,2015,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14.331797
Belize,2015,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13.476704
Belize,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,348.060311
Belize,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,109.005228
Belize,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,103.596003
Belize,2015,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,90.941017
Belize,2015,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,75.992156
Belize,2015,World,Animal,Export,Export(US$ Mil),44.76312
Belize,2015,World,Vegetable,Export,Export(US$ Mil),20.371231
Belize,2015,World,Food Products,Export,Export(US$ Mil),135.213548
Belize,2015,World,Minerals,Export,Export(US$ Mil),0.101471
Belize,2015,World,Fuels,Export,Export(US$ Mil),26.907695
Belize,2015,World,Chemicals,Export,Export(US$ Mil),7.230589
Belize,2015,World,Plastic or Rubber,Export,Export(US$ Mil),3.190299
Belize,2015,World,Hides and Skins,Export,Export(US$ Mil),1.261408
Belize,2015,World,Wood,Export,Export(US$ Mil),5.444527
Belize,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2.231722
Belize,2015,World,Footwear,Export,Export(US$ Mil),0.383225
Belize,2015,World,Stone and Glass,Export,Export(US$ Mil),2.76193
Belize,2015,World,Metals,Export,Export(US$ Mil),4.647161
Belize,2015,World,Mach and Elec,Export,Export(US$ Mil),15.201629
Belize,2015,World,Transportation,Export,Export(US$ Mil),3.961639
Belize,2015,World,Miscellaneous,Export,Export(US$ Mil),55.222513
Belize,2015,World,Raw materials,Export,Export(US$ Mil),70.255206
Belize,2015,World,Intermediate goods,Export,Export(US$ Mil),97.484809
Belize,2015,World,Consumer goods,Export,Export(US$ Mil),92.635519
Belize,2015,World,Capital goods,Export,Export(US$ Mil),19.104646
Belize,2015,World,Raw materials,Import,Import(US$ Mil),28.248635
Belize,2015,World,Intermediate goods,Import,Import(US$ Mil),145.481943
Belize,2015,World,Consumer goods,Import,Import(US$ Mil),621.782812999999
Belize,2015,World,Capital goods,Import,Import(US$ Mil),224.329939
