Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Bolivia,2015,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2447.428844
Bolivia,2015,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1472.837686
Bolivia,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1054.318034
Bolivia,2015,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,551.648253
Bolivia,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,465.611749
Bolivia,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1747.415569
Bolivia,2015,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1609.393151
Bolivia,2015,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1149.042119
Bolivia,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1035.205839
Bolivia,2015,Peru,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,605.483232
Bolivia,2015,World,Animal,Export,Export(US$ Mil),43.755194
Bolivia,2015,World,Vegetable,Export,Export(US$ Mil),808.273448
Bolivia,2015,World,Food Products,Export,Export(US$ Mil),627.705499
Bolivia,2015,World,Minerals,Export,Export(US$ Mil),1734.729435
Bolivia,2015,World,Fuels,Export,Export(US$ Mil),4031.792765
Bolivia,2015,World,Chemicals,Export,Export(US$ Mil),58.03327
Bolivia,2015,World,Plastic or Rubber,Export,Export(US$ Mil),4.498851
Bolivia,2015,World,Hides and Skins,Export,Export(US$ Mil),47.184493
Bolivia,2015,World,Wood,Export,Export(US$ Mil),53.543948
Bolivia,2015,World,Textiles and Clothing,Export,Export(US$ Mil),34.101863
Bolivia,2015,World,Footwear,Export,Export(US$ Mil),9.673126
Bolivia,2015,World,Stone and Glass,Export,Export(US$ Mil),966.457217
Bolivia,2015,World,Metals,Export,Export(US$ Mil),283.897763
Bolivia,2015,World,Mach and Elec,Export,Export(US$ Mil),5.55124
Bolivia,2015,World,Transportation,Export,Export(US$ Mil),
Bolivia,2015,World,Miscellaneous,Export,Export(US$ Mil),16.721733
Bolivia,2015,World,Raw materials,Export,Export(US$ Mil),2432.653022
Bolivia,2015,World,Intermediate goods,Export,Export(US$ Mil),2170.278671
Bolivia,2015,World,Consumer goods,Export,Export(US$ Mil),4112.159422
Bolivia,2015,World,Capital goods,Export,Export(US$ Mil),6.931331
Bolivia,2015,World,Raw materials,Import,Import(US$ Mil),132.792695
Bolivia,2015,World,Intermediate goods,Import,Import(US$ Mil),2302.268944
Bolivia,2015,World,Consumer goods,Import,Import(US$ Mil),3880.292578
Bolivia,2015,World,Capital goods,Import,Import(US$ Mil),3379.803326
Bolivia,2015,World,All Products,Export,Exports (in US$ Mil),8725.919843
Bolivia,2015,World,All Products,Import,Imports (in US$ Mil),9766.442452
Bolivia,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4026251.264
Bolivia,2015,...,...,Development,Trade Balance (current US$ Mil),-2000.289435
Bolivia,2015,...,...,Development,GDP (current US$ Mil),32997.684515
Bolivia,2015,...,...,Tariff,No. Of Tariff Agreement,44
Bolivia,2015,...,...,Import,No. Of Import partners,185
Bolivia,2015,...,...,Import,No. Of Import products,3959
Bolivia,2015,...,...,Export,No. Of Export partners,90
Bolivia,2015,...,...,Export,No. Of Export products,750
Bolivia,2015,...,...,Others,Population,10724705
Bolivia,2016,...,...,Others,Ease of Doing Business Rank,149
Bolivia,2016,...,...,Others,Trading Across Borders Rank,98
Bolivia,2015,...,...,Others,CPIA Trade Ratings,4.5
Bolivia,2014,...,...,Others,LPI Rank,121
Bolivia,2014,...,...,Others,LPI Score,2.480758
Bolivia,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1577
Bolivia,2014,...,...,Others,No Of NTM Measures,31
Bolivia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1073379
Bolivia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.154539
Bolivia,,...,...,Others,Services Trade Restrictions Index - Over All,13.8
Bolivia,2015,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,28.0478
Bolivia,2015,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,16.8789
Bolivia,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,12.0826
Bolivia,2015,Colombia,All Products,Export,Partner share(%)-Top 5 Export Partner,6.3219
Bolivia,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.336
Bolivia,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,17.892
