Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Brunei,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2308.974356
Brunei,2015,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,993.010909
Brunei,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,575.321154
Brunei,2015,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,548.605836
Brunei,2015,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,436.508543
Brunei,2015,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,682.462526
Brunei,2015,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,451.989699
Brunei,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,336.71149
Brunei,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,331.649301
Brunei,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,292.573781
Brunei,2015,World,Animal,Export,Export(US$ Mil),3.474074
Brunei,2015,World,Vegetable,Export,Export(US$ Mil),0.389359
Brunei,2015,World,Food Products,Export,Export(US$ Mil),3.344914
Brunei,2015,World,Minerals,Export,Export(US$ Mil),0.105433
Brunei,2015,World,Fuels,Export,Export(US$ Mil),5906.673424
Brunei,2015,World,Chemicals,Export,Export(US$ Mil),137.631661
Brunei,2015,World,Plastic or Rubber,Export,Export(US$ Mil),6.770843
Brunei,2015,World,Hides and Skins,Export,Export(US$ Mil),0.939264
Brunei,2015,World,Wood,Export,Export(US$ Mil),4.19361
Brunei,2015,World,Textiles and Clothing,Export,Export(US$ Mil),8.091331
Brunei,2015,World,Footwear,Export,Export(US$ Mil),0.269638
Brunei,2015,World,Stone and Glass,Export,Export(US$ Mil),3.627171
Brunei,2015,World,Metals,Export,Export(US$ Mil),51.251265
Brunei,2015,World,Mach and Elec,Export,Export(US$ Mil),103.672289
Brunei,2015,World,Transportation,Export,Export(US$ Mil),77.862275
Brunei,2015,World,Miscellaneous,Export,Export(US$ Mil),44.365936
Brunei,2015,World,Raw materials,Export,Export(US$ Mil),2378.90232
Brunei,2015,World,Intermediate goods,Export,Export(US$ Mil),195.337075
Brunei,2015,World,Consumer goods,Export,Export(US$ Mil),3595.230584
Brunei,2015,World,Capital goods,Export,Export(US$ Mil),173.48639
Brunei,2015,World,Raw materials,Import,Import(US$ Mil),173.860331
Brunei,2015,World,Intermediate goods,Import,Import(US$ Mil),601.713776999999
Brunei,2015,World,Consumer goods,Import,Import(US$ Mil),1409.456902
Brunei,2015,World,Capital goods,Import,Import(US$ Mil),1014.369397
Brunei,2015,World,All Products,Export,Exports (in US$ Mil),6352.662492
Brunei,2015,World,All Products,Import,Imports (in US$ Mil),3229.077312
Brunei,2014,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3251325.993
Brunei,2015,...,...,Development,Trade Balance (current US$ Mil),2524.5472398
Brunei,2015,...,...,Development,GDP (current US$ Mil),12930.394938
Brunei,2014,...,...,Tariff,No. Of Tariff Agreement,8
Brunei,2015,...,...,Import,No. Of Import partners,120
Brunei,2015,...,...,Import,No. Of Import products,3544
Brunei,2015,...,...,Export,No. Of Export partners,75
Brunei,2015,...,...,Export,No. Of Export products,1896
Brunei,2015,...,...,Others,Population,423188
Brunei,2016,...,...,Others,Ease of Doing Business Rank,72
Brunei,2016,...,...,Others,Trading Across Borders Rank,142
Brunei,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2571
Brunei,2015,...,...,Others,No Of NTM Measures,53
Brunei,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,36.3466
Brunei,2015,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,15.6314
Brunei,2015,India,All Products,Export,Partner share(%)-Top 5 Export Partner,9.0564
Brunei,2015,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6358
Brunei,2015,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,6.8713
Brunei,2015,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,21.1349
Brunei,2015,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,13.9975
Brunei,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.4275
Brunei,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2707
Brunei,2015,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,9.0606
Brunei,2015,World,Animal,Export,Export Product share(%),0.0547
Brunei,2015,World,Vegetable,Export,Export Product share(%),0.0061
Brunei,2015,World,Food Products,Export,Export Product share(%),0.0527
Brunei,2015,World,Minerals,Export,Export Product share(%),0.0017
Brunei,2015,World,Fuels,Export,Export Product share(%),92.9795
Brunei,2015,World,Chemicals,Export,Export Product share(%),2.1665
Brunei,2015,World,Plastic or Rubber,Export,Export Product share(%),0.1066
Brunei,2015,World,Hides and Skins,Export,Export Product share(%),0.0148
Brunei,2015,World,Wood,Export,Export Product share(%),0.066
Brunei,2015,World,Textiles and Clothing,Export,Export Product share(%),0.1274
Brunei,2015,World,Footwear,Export,Export Product share(%),0.0042
Brunei,2015,World,Stone and Glass,Export,Export Product share(%),0.0571
Brunei,2015,World,Metals,Export,Export Product share(%),0.8068
Brunei,2015,World,Mach and Elec,Export,Export Product share(%),1.632
Brunei,2015,World,Transportation,Export,Export Product share(%),1.2257
Brunei,2015,World,Miscellaneous,Export,Export Product share(%),0.6984
Brunei,2015,World,Raw materials,Export,Export Product share(%),37.4473
Brunei,2015,World,Intermediate goods,Export,Export Product share(%),3.0749
Brunei,2015,World,Consumer goods,Export,Export Product share(%),56.5941
Brunei,2015,World,Capital goods,Export,Export Product share(%),2.7309
Brunei,2015,World,Raw materials,Import,Import Product share(%),5.3842
Brunei,2015,World,Intermediate goods,Import,Import Product share(%),18.6342
Brunei,2015,World,Consumer goods,Import,Import Product share(%),43.6489
Brunei,2015,World,Capital goods,Import,Import Product share(%),31.4136
Brunei,2014,World,Raw materials,Tariff,Weighted Average (%),0.00046929855354282
Brunei,2014,World,Intermediate goods,Tariff,Weighted Average (%),0.0937522186582245
Brunei,2014,World,Consumer goods,Tariff,Weighted Average (%),0.17616963806986
Brunei,2014,World,Capital goods,Tariff,Weighted Average (%),1.2201629237288
Brunei,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Brunei,2015,World,All Products,Trade Indicator,Country Growth (%),-22.5354340275861
Brunei,2014,World,All Products,Tariff,Simple Average (%),1.20446447631703
Brunei,2014,World,All Products,Tariff,Weighted Average (%),0.461292372197894
Brunei,2014,World,All Products,Tariff,Maximum Rate (%),30
Brunei,2014,World,All Products,Tariff,Duty Free Tariff Lines Share (%),77.7368752300768
Brunei,2015,...,...,Trade Indicator,Index of export market penetration,1.52718471618935
Brunei,2015,...,...,Trade Indicator,HH Market concentration index,0.193017579357278
Brunei,2015,...,...,Development,Trade Balance (% of GDP),19.524130949
Brunei,2015,...,...,Development,Trade in services (% of GDP),17.727841892
Brunei,2015,...,...,Development,Trade (% of GDP),84.897063787
Brunei,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",38010
