Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Central African Republic,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,61.592668
Central African Republic,2015,Chad,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.109247
Central African Republic,2015,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.564536
Central African Republic,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.637574
Central African Republic,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.52134
Central African Republic,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,96.190551
Central African Republic,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,55.889801
Central African Republic,2015,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,43.70047
Central African Republic,2015,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,38.40673
Central African Republic,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30.293883
Central African Republic,2015,World,Animal,Export,Export(US$ Mil),
Central African Republic,2015,World,Vegetable,Export,Export(US$ Mil),0.504936
Central African Republic,2015,World,Food Products,Export,Export(US$ Mil),
Central African Republic,2015,World,Minerals,Export,Export(US$ Mil),
Central African Republic,2015,World,Fuels,Export,Export(US$ Mil),0.010934
Central African Republic,2015,World,Chemicals,Export,Export(US$ Mil),
Central African Republic,2015,World,Plastic or Rubber,Export,Export(US$ Mil),0.073075
Central African Republic,2015,World,Hides and Skins,Export,Export(US$ Mil),0.00115
Central African Republic,2015,World,Wood,Export,Export(US$ Mil),18.506574
Central African Republic,2015,World,Textiles and Clothing,Export,Export(US$ Mil),0.034139
Central African Republic,2015,World,Footwear,Export,Export(US$ Mil),
Central African Republic,2015,World,Stone and Glass,Export,Export(US$ Mil),0.228675
Central African Republic,2015,World,Metals,Export,Export(US$ Mil),0.011972
Central African Republic,2015,World,Mach and Elec,Export,Export(US$ Mil),0.476345
Central African Republic,2015,World,Transportation,Export,Export(US$ Mil),73.644449
Central African Republic,2015,World,Miscellaneous,Export,Export(US$ Mil),3.361432
Central African Republic,2015,World,Raw materials,Export,Export(US$ Mil),11.241211
Central African Republic,2015,World,Intermediate goods,Export,Export(US$ Mil),7.692751
Central African Republic,2015,World,Consumer goods,Export,Export(US$ Mil),3.988076
Central African Republic,2015,World,Capital goods,Export,Export(US$ Mil),73.931645
Central African Republic,2015,World,Raw materials,Import,Import(US$ Mil),8.67468
Central African Republic,2015,World,Intermediate goods,Import,Import(US$ Mil),41.577248
Central African Republic,2015,World,Consumer goods,Import,Import(US$ Mil),250.913922
Central African Republic,2015,World,Capital goods,Import,Import(US$ Mil),152.519466
Central African Republic,2015,World,All Products,Export,Exports (in US$ Mil),96.853681
Central African Republic,2015,World,All Products,Import,Imports (in US$ Mil),456.596903
Central African Republic,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1036.805
Central African Republic,2015,...,...,Development,Trade Balance (current US$ Mil),-347.90471409
Central African Republic,2015,...,...,Development,GDP (current US$ Mil),1583.77676
Central African Republic,2015,...,...,Tariff,No. Of Tariff Agreement,2
Central African Republic,2015,...,...,Import,No. Of Import partners,87
Central African Republic,2015,...,...,Import,No. Of Import products,958
Central African Republic,2015,...,...,Export,No. Of Export partners,34
Central African Republic,2015,...,...,Export,No. Of Export products,38
Central African Republic,2015,...,...,Others,Population,4900274
Central African Republic,2016,...,...,Others,Ease of Doing Business Rank,185
Central African Republic,2016,...,...,Others,Trading Across Borders Rank,138
Central African Republic,2015,...,...,Others,CPIA Trade Ratings,2.5
Central African Republic,2014,...,...,Others,LPI Rank,134
Central African Republic,2014,...,...,Others,LPI Score,2.360932
Central African Republic,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,63.5935
Central African Republic,2015,Chad,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4701
Central African Republic,2015,Cameroon,All Products,Export,Partner share(%)-Top 5 Export Partner,8.8428
Central African Republic,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,6.8532
Central African Republic,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6357
Central African Republic,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,21.0668
Central African Republic,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,12.2405
Central African Republic,2015,Zambia,All Products,Import,Partner share(%)-Top 5 Import Partner,9.5709
Central African Republic,2015,"Egypt, Arab Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,8.4115
Central African Republic,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6347
Central African Republic,2015,World,Animal,Export,Export Product share(%),
Central African Republic,2015,World,Vegetable,Export,Export Product share(%),0.5213
Central African Republic,2015,World,Food Products,Export,Export Product share(%),
Central African Republic,2015,World,Minerals,Export,Export Product share(%),
Central African Republic,2015,World,Fuels,Export,Export Product share(%),0.0113
Central African Republic,2015,World,Chemicals,Export,Export Product share(%),
Central African Republic,2015,World,Plastic or Rubber,Export,Export Product share(%),0.0754
Central African Republic,2015,World,Hides and Skins,Export,Export Product share(%),0.0012
Central African Republic,2015,World,Wood,Export,Export Product share(%),19.1078
Central African Republic,2015,World,Textiles and Clothing,Export,Export Product share(%),0.0352
Central African Republic,2015,World,Footwear,Export,Export Product share(%),
Central African Republic,2015,World,Stone and Glass,Export,Export Product share(%),0.2361
Central African Republic,2015,World,Metals,Export,Export Product share(%),0.0124
Central African Republic,2015,World,Mach and Elec,Export,Export Product share(%),0.4918
Central African Republic,2015,World,Transportation,Export,Export Product share(%),76.0368
Central African Republic,2015,World,Miscellaneous,Export,Export Product share(%),3.4706
Central African Republic,2015,World,Raw materials,Export,Export Product share(%),11.6064
Central African Republic,2015,World,Intermediate goods,Export,Export Product share(%),7.9427
Central African Republic,2015,World,Consumer goods,Export,Export Product share(%),4.1176
Central African Republic,2015,World,Capital goods,Export,Export Product share(%),76.3333
Central African Republic,2015,World,Raw materials,Import,Import Product share(%),1.8999
Central African Republic,2015,World,Intermediate goods,Import,Import Product share(%),9.1059
Central African Republic,2015,World,Consumer goods,Import,Import Product share(%),54.953
Central African Republic,2015,World,Capital goods,Import,Import Product share(%),33.4035
Central African Republic,2015,World,Raw materials,Tariff,Weighted Average (%),14.5656355760882
Central African Republic,2015,World,Intermediate goods,Tariff,Weighted Average (%),8.97338548719747
Central African Republic,2015,World,Consumer goods,Tariff,Weighted Average (%),20.0097792955632
Central African Republic,2015,World,Capital goods,Tariff,Weighted Average (%),10.8102108592843
Central African Republic,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Central African Republic,2015,World,All Products,Trade Indicator,Country Growth (%),-5.24559415126814
Central African Republic,2015,World,All Products,Tariff,Simple Average (%),17.2835569760088
Central African Republic,2015,World,All Products,Tariff,Weighted Average (%),13.8796645909958
Central African Republic,2015,World,All Products,Tariff,Maximum Rate (%),30
Central African Republic,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),1.72932330827068
Central African Republic,2015,...,...,Trade Indicator,Index of export market penetration,1.22367258369406
Central African Republic,2015,...,...,Trade Indicator,HH Market concentration index,0.178960242224441
Central African Republic,2015,...,...,Development,Trade Balance (% of GDP),-21.96677732
Central African Republic,2015,...,...,Development,Trade (% of GDP),47.19062356
Central African Republic,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",330
