Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Cameroon,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,659.765948
Cameroon,2015,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,632.743481
Cameroon,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,506.026663
Cameroon,2015,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,285.940258
Cameroon,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,212.199172
Cameroon,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1172.904261
Cameroon,2015,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,731.736125
Cameroon,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,619.771328
Cameroon,2015,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,244.463976
Cameroon,2015,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,234.637737
Cameroon,2015,World,Animal,Export,Export(US$ Mil),6.091789
Cameroon,2015,World,Vegetable,Export,Export(US$ Mil),133.755504
Cameroon,2015,World,Food Products,Export,Export(US$ Mil),917.410566
Cameroon,2015,World,Minerals,Export,Export(US$ Mil),2.316117
Cameroon,2015,World,Fuels,Export,Export(US$ Mil),1839.322625
Cameroon,2015,World,Chemicals,Export,Export(US$ Mil),118.638054
Cameroon,2015,World,Plastic or Rubber,Export,Export(US$ Mil),72.436921
Cameroon,2015,World,Hides and Skins,Export,Export(US$ Mil),0.63655
Cameroon,2015,World,Wood,Export,Export(US$ Mil),496.145572
Cameroon,2015,World,Textiles and Clothing,Export,Export(US$ Mil),167.665029
Cameroon,2015,World,Footwear,Export,Export(US$ Mil),2.186665
Cameroon,2015,World,Stone and Glass,Export,Export(US$ Mil),12.267557
Cameroon,2015,World,Metals,Export,Export(US$ Mil),195.963161
Cameroon,2015,World,Mach and Elec,Export,Export(US$ Mil),59.013503
Cameroon,2015,World,Transportation,Export,Export(US$ Mil),15.669566
