Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Comoros,2013,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.458063
Comoros,2013,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.283901
Comoros,2013,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.208289
Comoros,2013,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.54275
Comoros,2013,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.537831
Comoros,2013,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.88358
Comoros,2013,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.229085
Comoros,2013,Madagascar,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14.963558
Comoros,2013,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10.249534
Comoros,2013,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9.608938
Comoros,2013,World,Animal,Export,Export(US$ Mil),0.036571
Comoros,2013,World,Vegetable,Export,Export(US$ Mil),7.837811
Comoros,2013,World,Food Products,Export,Export(US$ Mil),0.058816
Comoros,2013,World,Minerals,Export,Export(US$ Mil),
Comoros,2013,World,Fuels,Export,Export(US$ Mil),5E-06
Comoros,2013,World,Chemicals,Export,Export(US$ Mil),1.251918
Comoros,2013,World,Plastic or Rubber,Export,Export(US$ Mil),0.011535
Comoros,2013,World,Hides and Skins,Export,Export(US$ Mil),
Comoros,2013,World,Wood,Export,Export(US$ Mil),0.003559
Comoros,2013,World,Textiles and Clothing,Export,Export(US$ Mil),0.013748
Comoros,2013,World,Footwear,Export,Export(US$ Mil),0.000133
Comoros,2013,World,Stone and Glass,Export,Export(US$ Mil),0.002972
Comoros,2013,World,Metals,Export,Export(US$ Mil),0.04505
Comoros,2013,World,Mach and Elec,Export,Export(US$ Mil),0.481529
Comoros,2013,World,Transportation,Export,Export(US$ Mil),0.213059
Comoros,2013,World,Miscellaneous,Export,Export(US$ Mil),0.177541
Comoros,2013,World,Raw materials,Export,Export(US$ Mil),0.039137
Comoros,2013,World,Intermediate goods,Export,Export(US$ Mil),1.260165
Comoros,2013,World,Consumer goods,Export,Export(US$ Mil),8.274692
Comoros,2013,World,Capital goods,Export,Export(US$ Mil),0.558199
Comoros,2013,World,Raw materials,Import,Import(US$ Mil),8.980624
Comoros,2013,World,Intermediate goods,Import,Import(US$ Mil),28.582924
Comoros,2013,World,Consumer goods,Import,Import(US$ Mil),48.639353
Comoros,2013,World,Capital goods,Import,Import(US$ Mil),28.536507
Comoros,2013,World,All Products,Export,Exports (in US$ Mil),10.134246
Comoros,2013,World,All Products,Import,Imports (in US$ Mil),115.238031
Comoros,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),89680.684
Comoros,2015,...,...,Development,GDP (current US$ Mil),565.68976452
Comoros,2013,...,...,Tariff,No. Of Tariff Agreement,4
Comoros,2013,...,...,Import,No. Of Import partners,66
Comoros,2013,...,...,Import,No. Of Import products,1882
Comoros,2013,...,...,Export,No. Of Export partners,23
Comoros,2013,...,...,Export,No. Of Export products,92
Comoros,2015,...,...,Others,Population,788474
Comoros,2016,...,...,Others,Ease of Doing Business Rank,153
Comoros,2016,...,...,Others,Trading Across Borders Rank,107
Comoros,2015,...,...,Others,CPIA Trade Ratings,3.5
Comoros,2014,...,...,Others,LPI Rank,128
Comoros,2014,...,...,Others,LPI Score,2.402136
Comoros,2013,France,All Products,Export,Partner share(%)-Top 5 Export Partner,34.1225
Comoros,2013,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6689
Comoros,2013,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,11.9228
