Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Costa Rica,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3903.662102
Costa Rica,2015,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,558.579995
Costa Rica,2015,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,523.862138
Costa Rica,2015,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,522.651156
Costa Rica,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,440.00948
Costa Rica,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6164.438077
Costa Rica,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1947.535997
Costa Rica,2015,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1153.294267
Costa Rica,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,418.780252
Costa Rica,2015,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,399.17677
Costa Rica,2015,World,Animal,Export,Export(US$ Mil),326.49933
Costa Rica,2015,World,Vegetable,Export,Export(US$ Mil),2623.88165
Costa Rica,2015,World,Food Products,Export,Export(US$ Mil),1303.885378
Costa Rica,2015,World,Minerals,Export,Export(US$ Mil),26.605767
Costa Rica,2015,World,Fuels,Export,Export(US$ Mil),3.666143
Costa Rica,2015,World,Chemicals,Export,Export(US$ Mil),595.53399
Costa Rica,2015,World,Plastic or Rubber,Export,Export(US$ Mil),614.659431
Costa Rica,2015,World,Hides and Skins,Export,Export(US$ Mil),20.37396
Costa Rica,2015,World,Wood,Export,Export(US$ Mil),331.930284
Costa Rica,2015,World,Textiles and Clothing,Export,Export(US$ Mil),135.628081
Costa Rica,2015,World,Footwear,Export,Export(US$ Mil),1.151496
Costa Rica,2015,World,Stone and Glass,Export,Export(US$ Mil),144.315056
Costa Rica,2015,World,Metals,Export,Export(US$ Mil),329.216916
Costa Rica,2015,World,Mach and Elec,Export,Export(US$ Mil),766.294004
Costa Rica,2015,World,Transportation,Export,Export(US$ Mil),65.201452
Costa Rica,2015,World,Miscellaneous,Export,Export(US$ Mil),2289.494838
Costa Rica,2015,World,Raw materials,Export,Export(US$ Mil),2758.361419
Costa Rica,2015,World,Intermediate goods,Export,Export(US$ Mil),1354.575264
Costa Rica,2015,World,Consumer goods,Export,Export(US$ Mil),2968.741662
Costa Rica,2015,World,Capital goods,Export,Export(US$ Mil),2434.692552
Costa Rica,2015,World,Raw materials,Import,Import(US$ Mil),859.219656
Costa Rica,2015,World,Intermediate goods,Import,Import(US$ Mil),3447.943782
Costa Rica,2015,World,Consumer goods,Import,Import(US$ Mil),6932.640063
Costa Rica,2015,World,Capital goods,Import,Import(US$ Mil),4075.30178
Costa Rica,2015,World,All Products,Export,Exports (in US$ Mil),9578.337782
Costa Rica,2015,World,All Products,Import,Imports (in US$ Mil),15504.422756
Costa Rica,2013,World,All Products,Tariff,Duty Free Imports (US$ Thousand),10555048.721
Costa Rica,2015,...,...,Development,Trade Balance (current US$ Mil),-920.920815
Costa Rica,2015,...,...,Development,GDP (current US$ Mil),54136.834091
Costa Rica,2013,...,...,Tariff,No. Of Tariff Agreement,13
Costa Rica,2015,...,...,Import,No. Of Import partners,197
Costa Rica,2015,...,...,Import,No. Of Import products,4094
Costa Rica,2015,...,...,Export,No. Of Export partners,150
Costa Rica,2015,...,...,Export,No. Of Export products,2960
Costa Rica,2015,...,...,Others,Population,4807850
Costa Rica,2016,...,...,Others,Ease of Doing Business Rank,62
Costa Rica,2016,...,...,Others,Trading Across Borders Rank,71
Costa Rica,2014,...,...,Others,LPI Rank,87
Costa Rica,2014,...,...,Others,LPI Score,2.700719
Costa Rica,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Costa Rica,2013,...,...,Others,No Of NTM Measures,1
Costa Rica,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.015927
Costa Rica,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0265392
Costa Rica,,...,...,Others,Services Trade Restrictions Index - Over All,29.3
Costa Rica,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0
Costa Rica,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0
Costa Rica,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,40.7551
Costa Rica,2015,Panama,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8317
Costa Rica,2015,Guatemala,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4692
Costa Rica,2015,Nicaragua,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4566
Costa Rica,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,4.5938
Costa Rica,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,39.7592
Costa Rica,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.5612
Costa Rica,2015,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4385
Costa Rica,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,2.701
Costa Rica,2015,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,2.5746
Costa Rica,2015,World,Animal,Export,Export Product share(%),3.4087
Costa Rica,2015,World,Vegetable,Export,Export Product share(%),27.3939
Costa Rica,2015,World,Food Products,Export,Export Product share(%),13.6129
Costa Rica,2015,World,Minerals,Export,Export Product share(%),0.2778
Costa Rica,2015,World,Fuels,Export,Export Product share(%),0.0383
Costa Rica,2015,World,Chemicals,Export,Export Product share(%),6.2175
Costa Rica,2015,World,Plastic or Rubber,Export,Export Product share(%),6.4172
Costa Rica,2015,World,Hides and Skins,Export,Export Product share(%),0.2127
Costa Rica,2015,World,Wood,Export,Export Product share(%),3.4654
Costa Rica,2015,World,Textiles and Clothing,Export,Export Product share(%),1.416
Costa Rica,2015,World,Footwear,Export,Export Product share(%),0.012
Costa Rica,2015,World,Stone and Glass,Export,Export Product share(%),1.5067
Costa Rica,2015,World,Metals,Export,Export Product share(%),3.4371
Costa Rica,2015,World,Mach and Elec,Export,Export Product share(%),8.0003
Costa Rica,2015,World,Transportation,Export,Export Product share(%),0.6807
Costa Rica,2015,World,Miscellaneous,Export,Export Product share(%),23.9028
Costa Rica,2015,World,Raw materials,Export,Export Product share(%),28.7979
Costa Rica,2015,World,Intermediate goods,Export,Export Product share(%),14.1421
Costa Rica,2015,World,Consumer goods,Export,Export Product share(%),30.9943
Costa Rica,2015,World,Capital goods,Export,Export Product share(%),25.4187
Costa Rica,2015,World,Raw materials,Import,Import Product share(%),5.5418
Costa Rica,2015,World,Intermediate goods,Import,Import Product share(%),22.2385
Costa Rica,2015,World,Consumer goods,Import,Import Product share(%),44.714
Costa Rica,2015,World,Capital goods,Import,Import Product share(%),26.2848
Costa Rica,2013,World,Raw materials,Tariff,Weighted Average (%),7.53064852933998
Costa Rica,2013,World,Intermediate goods,Tariff,Weighted Average (%),1.70483557593873
Costa Rica,2013,World,Consumer goods,Tariff,Weighted Average (%),4.8362590136519
Costa Rica,2013,World,Capital goods,Tariff,Weighted Average (%),0.770296446813468
Costa Rica,2015,World,All Products,Trade Indicator,World Growth (%),-7.8698674978916
Costa Rica,2015,World,All Products,Trade Indicator,Country Growth (%),-36.5773625908147
Costa Rica,2013,World,All Products,Tariff,Simple Average (%),4.65812058381517
Costa Rica,2013,World,All Products,Tariff,Weighted Average (%),2.80532625075962
Costa Rica,2013,World,All Products,Tariff,Maximum Rate (%),150
Costa Rica,2013,World,All Products,Tariff,Duty Free Tariff Lines Share (%),59.7319754151096
Costa Rica,2015,...,...,Trade Indicator,Index of export market penetration,3.73832087170831
Costa Rica,2015,...,...,Trade Indicator,HH Market concentration index,0.130943610072953
Costa Rica,2015,...,...,Development,Trade Balance (% of GDP),-1.701098394
Costa Rica,2015,...,...,Development,Trade in services (% of GDP),18.630855006
Costa Rica,2015,...,...,Development,Trade (% of GDP),62.790128947
Costa Rica,2015,...,...,Development,"GNI per capita, Atlas method (current US$)",10400
