Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Algeria,2015,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6164.468409
Algeria,2015,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5263.622117
Algeria,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4578.427205
Algeria,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2429.917062
Algeria,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2210.645391
Algeria,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8259.662431
Algeria,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5439.034243
Algeria,2015,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4859.897969
Algeria,2015,Spain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3952.592909
Algeria,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3430.803319
Algeria,2015,World,Animal,Export,Export(US$ Mil),9.303584
Algeria,2015,World,Vegetable,Export,Export(US$ Mil),50.062425
Algeria,2015,World,Food Products,Export,Export(US$ Mil),177.958355
Algeria,2015,World,Minerals,Export,Export(US$ Mil),98.084171
Algeria,2015,World,Fuels,Export,Export(US$ Mil),33348.366636
Algeria,2015,World,Chemicals,Export,Export(US$ Mil),1018.150399
Algeria,2015,World,Plastic or Rubber,Export,Export(US$ Mil),3.897266
Algeria,2015,World,Hides and Skins,Export,Export(US$ Mil),17.208632
Algeria,2015,World,Wood,Export,Export(US$ Mil),17.837914
Algeria,2015,World,Textiles and Clothing,Export,Export(US$ Mil),2.007502
Algeria,2015,World,Footwear,Export,Export(US$ Mil),0.066501
Algeria,2015,World,Stone and Glass,Export,Export(US$ Mil),16.88178
Algeria,2015,World,Metals,Export,Export(US$ Mil),16.322333
Algeria,2015,World,Mach and Elec,Export,Export(US$ Mil),6.635846
Algeria,2015,World,Transportation,Export,Export(US$ Mil),10.993627
Algeria,2015,World,Miscellaneous,Export,Export(US$ Mil),2.174522
Algeria,2015,World,Raw materials,Export,Export(US$ Mil),12048.236141
Algeria,2015,World,Intermediate goods,Export,Export(US$ Mil),1629.126943
Algeria,2015,World,Consumer goods,Export,Export(US$ Mil),21104.986705
Algeria,2015,World,Capital goods,Export,Export(US$ Mil),13.39035
Algeria,2015,World,Raw materials,Import,Import(US$ Mil),5178.796243
Algeria,2015,World,Intermediate goods,Import,Import(US$ Mil),15527.072121
Algeria,2015,World,Consumer goods,Import,Import(US$ Mil),13289.981976
Algeria,2015,World,Capital goods,Import,Import(US$ Mil),17147.362434
