Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,776267.894225
,2015,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,726283.745863
,2015,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,477530.274889
,2015,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,292948.555782
,2015,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,204957.833128
,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,895084.021981
,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,399042.695033
,2015,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,327091.482591
,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,302936.562738
,2015,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,284069.086178
,2015,World,Animal,Export,Export(US$ Mil),63541.488399
,2015,World,Vegetable,Export,Export(US$ Mil),82894.306695
,2015,World,Food Products,Export,Export(US$ Mil),86217.629125
,2015,World,Minerals,Export,Export(US$ Mil),60895.181087
,2015,World,Fuels,Export,Export(US$ Mil),219113.775601
,2015,World,Chemicals,Export,Export(US$ Mil),263743.546256
,2015,World,Plastic or Rubber,Export,Export(US$ Mil),227722.705076
,2015,World,Hides and Skins,Export,Export(US$ Mil),53196.113548
,2015,World,Wood,Export,Export(US$ Mil),77603.887225
,2015,World,Textiles and Clothing,Export,Export(US$ Mil),373961.168756
,2015,World,Footwear,Export,Export(US$ Mil),88819.147651
,2015,World,Stone and Glass,Export,Export(US$ Mil),224657.925798
,2015,World,Metals,Export,Export(US$ Mil),332146.318378
,2015,World,Mach and Elec,Export,Export(US$ Mil),2098173.463396
,2015,World,Transportation,Export,Export(US$ Mil),426380.187703
,2015,World,Miscellaneous,Export,Export(US$ Mil),489272.827149999
,2015,World,Raw materials,Export,Export(US$ Mil),236299.036687001
,2015,World,Intermediate goods,Export,Export(US$ Mil),927648.559379
,2015,World,Consumer goods,Export,Export(US$ Mil),1531062.99976199
,2015,World,Capital goods,Export,Export(US$ Mil),2345795.50665101
,2015,World,Raw materials,Import,Import(US$ Mil),722181.971349999
,2015,World,Intermediate goods,Import,Import(US$ Mil),852172.467749995
,2015,World,Consumer goods,Import,Import(US$ Mil),969204.701820996
,2015,World,Capital goods,Import,Import(US$ Mil),1815407.06375799
,2015,World,All Products,Export,Exports (in US$ Mil),5168339.671847
,2015,World,All Products,Import,Imports (in US$ Mil),4485989.839433
,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2793159900.16199
,2015,...,...,Development,Trade Balance (current US$ Mil),638733.244
,2015,...,...,Development,GDP (current US$ Mil),21419615.294
,2015,...,...,Tariff,No. Of Tariff Agreement,1165
,2015,...,...,Import,No. Of Import partners,235
,2015,...,...,Import,No. Of Import products,4845
,2015,...,...,Export,No. Of Export partners,234
,2015,...,...,Export,No. Of Export products,4727
,2015,...,...,Others,Population,2279186469
,2015,...,...,Others,CPIA Trade Ratings,3.9666666667
,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,15.0197
,2015,China,All Products,Export,Partner share(%)-Top 5 Export Partner,14.0526
,2015,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,9.2395
,2015,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6681
,2015,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,3.9656
,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.9529
,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,8.8953
,2015,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2914
,2015,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,6.7529
,2015,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,6.3324
,2015,World,Animal,Export,Export Product share(%),1.2294
,2015,World,Vegetable,Export,Export Product share(%),1.6039
,2015,World,Food Products,Export,Export Product share(%),1.6682
,2015,World,Minerals,Export,Export Product share(%),1.1782
,2015,World,Fuels,Export,Export Product share(%),4.2395
,2015,World,Chemicals,Export,Export Product share(%),5.1031
,2015,World,Plastic or Rubber,Export,Export Product share(%),4.4061
,2015,World,Hides and Skins,Export,Export Product share(%),1.0293
,2015,World,Wood,Export,Export Product share(%),1.5015
