Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2015,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,761162.600432
,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,462046.325052
,2015,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,435238.755859
,2015,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,392401.759429
,2015,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,315688.535806
,2015,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,806442.005583
,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,527738.533413
,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,361083.779182
,2015,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,341771.689758
,2015,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,336382.942919
,2015,World,Animal,Export,Export(US$ Mil),150209.260899
,2015,World,Vegetable,Export,Export(US$ Mil),183877.164612
,2015,World,Food Products,Export,Export(US$ Mil),268064.978336
,2015,World,Minerals,Export,Export(US$ Mil),33440.51128
,2015,World,Fuels,Export,Export(US$ Mil),599065.664206
,2015,World,Chemicals,Export,Export(US$ Mil),828123.100882001
,2015,World,Plastic or Rubber,Export,Export(US$ Mil),294555.553735
,2015,World,Hides and Skins,Export,Export(US$ Mil),41641.798681
,2015,World,Wood,Export,Export(US$ Mil),185678.058521
,2015,World,Textiles and Clothing,Export,Export(US$ Mil),208099.59071
,2015,World,Footwear,Export,Export(US$ Mil),48296.009536
,2015,World,Stone and Glass,Export,Export(US$ Mil),291795.919983
,2015,World,Metals,Export,Export(US$ Mil),479874.090415
,2015,World,Mach and Elec,Export,Export(US$ Mil),1271977.7395
,2015,World,Transportation,Export,Export(US$ Mil),849218.280905999
,2015,World,Miscellaneous,Export,Export(US$ Mil),571756.773185
,2015,World,Raw materials,Export,Export(US$ Mil),516514.128851
,2015,World,Intermediate goods,Export,Export(US$ Mil),1448473.80130199
,2015,World,Consumer goods,Export,Export(US$ Mil),2355399.39748897
,2015,World,Capital goods,Export,Export(US$ Mil),1747282.00654502
,2015,World,Raw materials,Import,Import(US$ Mil),632765.081928998
,2015,World,Intermediate goods,Import,Import(US$ Mil),1362578.90199398
,2015,World,Consumer goods,Import,Import(US$ Mil),2150655.779171
,2015,World,Capital goods,Import,Import(US$ Mil),1655403.45560601
,2015,World,All Products,Export,Exports (in US$ Mil),6305674.495377
,2015,World,All Products,Import,Imports (in US$ Mil),6001944.361831
,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),636548424.091998
,2015,...,...,Development,Trade Balance (current US$ Mil),733655.3513
,2015,...,...,Development,GDP (current US$ Mil),20076819.049
,2015,...,...,Tariff,No. Of Tariff Agreement,2466
,2015,...,...,Import,No. Of Import partners,238
,2015,...,...,Import,No. Of Import products,4582
,2015,...,...,Export,No. Of Export partners,238
,2015,...,...,Export,No. Of Export products,4582
,2015,...,...,Others,Population,907944124
,2015,...,...,Others,CPIA Trade Ratings,4
,2015,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.0711
,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,7.3275
,2015,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.9023
,2015,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.223
,2015,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0064
,2015,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,13.4363
,2015,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.7928
,2015,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0161
,2015,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6943
,2015,France,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6046
,2015,World,Animal,Export,Export Product share(%),2.3821
,2015,World,Vegetable,Export,Export Product share(%),2.9161
,2015,World,Food Products,Export,Export Product share(%),4.2512
,2015,World,Minerals,Export,Export Product share(%),0.5303
,2015,World,Fuels,Export,Export Product share(%),9.5004
,2015,World,Chemicals,Export,Export Product share(%),13.133
,2015,World,Plastic or Rubber,Export,Export Product share(%),4.6713
,2015,World,Hides and Skins,Export,Export Product share(%),0.6604
,2015,World,Wood,Export,Export Product share(%),2.9446
,2015,World,Textiles and Clothing,Export,Export Product share(%),3.3002
,2015,World,Footwear,Export,Export Product share(%),0.7659
,2015,World,Stone and Glass,Export,Export Product share(%),4.6275
,2015,World,Metals,Export,Export Product share(%),7.6102
,2015,World,Mach and Elec,Export,Export Product share(%),20.172
,2015,World,Transportation,Export,Export Product share(%),13.4675
,2015,World,Miscellaneous,Export,Export Product share(%),9.0673
,2015,World,Raw materials,Export,Export Product share(%),8.1913
,2015,World,Intermediate goods,Export,Export Product share(%),22.971
,2015,World,Consumer goods,Export,Export Product share(%),37.3536
,2015,World,Capital goods,Export,Export Product share(%),27.7097
,2015,World,Raw materials,Import,Import Product share(%),10.5427
,2015,World,Intermediate goods,Import,Import Product share(%),22.7023
,2015,World,Consumer goods,Import,Import Product share(%),35.8327
,2015,World,Capital goods,Import,Import Product share(%),27.5811
,2015,World,Raw materials,Tariff,Weighted Average (%),6.99744106560483
,2015,World,Intermediate goods,Tariff,Weighted Average (%),1.47111078734428
,2015,World,Consumer goods,Tariff,Weighted Average (%),2.91855752865626
,2015,World,Capital goods,Tariff,Weighted Average (%),1.04397347959655
,2015,World,All Products,Trade Indicator,World Growth (%),
,2015,World,All Products,Trade Indicator,Country Growth (%),
,2015,World,All Products,Tariff,Simple Average (%),4.02176991787099
,2015,World,All Products,Tariff,Weighted Average (%),2.49686259138438
,2015,World,All Products,Tariff,Maximum Rate (%),2771.79907226563
,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),58.8785877442057
,2015,...,...,Trade Indicator,Index of export market penetration,
,2015,...,...,Trade Indicator,HH Market concentration index,
,2015,...,...,Development,Trade Balance (% of GDP),3.528685916
,2015,...,...,Development,Trade in services (% of GDP),21.835472821
,2015,...,...,Development,Trade (% of GDP),80.813437926
