Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ecuador,2015,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7226.224049
Ecuador,2015,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1138.078611
Ecuador,2015,Peru,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,934.189484
Ecuador,2015,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,784.654142
Ecuador,2015,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,784.028399
Ecuador,2015,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5085.696014
Ecuador,2015,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4073.756458
Ecuador,2015,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1608.403266
Ecuador,2015,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,833.009652
Ecuador,2015,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,730.214723
Ecuador,2015,World,Animal,Export,Export(US$ Mil),2565.730178
Ecuador,2015,World,Vegetable,Export,Export(US$ Mil),4261.514036
Ecuador,2015,World,Food Products,Export,Export(US$ Mil),2456.719099
Ecuador,2015,World,Minerals,Export,Export(US$ Mil),15.978593
Ecuador,2015,World,Fuels,Export,Export(US$ Mil),6661.969067
Ecuador,2015,World,Chemicals,Export,Export(US$ Mil),151.44745
Ecuador,2015,World,Plastic or Rubber,Export,Export(US$ Mil),179.233999
Ecuador,2015,World,Hides and Skins,Export,Export(US$ Mil),13.499711
Ecuador,2015,World,Wood,Export,Export(US$ Mil),392.319631
Ecuador,2015,World,Textiles and Clothing,Export,Export(US$ Mil),118.10285
Ecuador,2015,World,Footwear,Export,Export(US$ Mil),45.639852
Ecuador,2015,World,Stone and Glass,Export,Export(US$ Mil),781.484695
Ecuador,2015,World,Metals,Export,Export(US$ Mil),286.6381
Ecuador,2015,World,Mach and Elec,Export,Export(US$ Mil),168.143981
Ecuador,2015,World,Transportation,Export,Export(US$ Mil),171.347712
Ecuador,2015,World,Miscellaneous,Export,Export(US$ Mil),60.838736
Ecuador,2015,World,Raw materials,Export,Export(US$ Mil),12916.456406
Ecuador,2015,World,Intermediate goods,Export,Export(US$ Mil),1977.628827
Ecuador,2015,World,Consumer goods,Export,Export(US$ Mil),3178.878218
Ecuador,2015,World,Capital goods,Export,Export(US$ Mil),249.338356
Ecuador,2015,World,Raw materials,Import,Import(US$ Mil),818.02998
Ecuador,2015,World,Intermediate goods,Import,Import(US$ Mil),6784.089529
Ecuador,2015,World,Consumer goods,Import,Import(US$ Mil),7707.589309
Ecuador,2015,World,Capital goods,Import,Import(US$ Mil),5683.643416
Ecuador,2015,World,All Products,Export,Exports (in US$ Mil),18330.607692
Ecuador,2015,World,All Products,Import,Imports (in US$ Mil),21387.292074
Ecuador,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),11201608.607
Ecuador,2015,...,...,Development,Trade Balance (current US$ Mil),-2992.395
Ecuador,2015,...,...,Development,GDP (current US$ Mil),100176.808
Ecuador,2015,...,...,Tariff,No. Of Tariff Agreement,45
Ecuador,2015,...,...,Import,No. Of Import partners,192
Ecuador,2015,...,...,Import,No. Of Import products,4011
Ecuador,2015,...,...,Export,No. Of Export partners,158
Ecuador,2015,...,...,Export,No. Of Export products,2361
Ecuador,2015,...,...,Others,Population,16144363
Ecuador,2016,...,...,Others,Ease of Doing Business Rank,114
Ecuador,2016,...,...,Others,Trading Across Borders Rank,97
Ecuador,2014,...,...,Others,LPI Rank,86
Ecuador,2014,...,...,Others,LPI Score,2.710986
Ecuador,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2985
Ecuador,2014,...,...,Others,No Of NTM Measures,62
Ecuador,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0333879
Ecuador,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0497022
Ecuador,,...,...,Others,Services Trade Restrictions Index - Over All,6.2
Ecuador,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.0193723366
Ecuador,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0405648313
Ecuador,2015,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,39.4216
Ecuador,2015,Chile,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2086
Ecuador,2015,Peru,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0963
Ecuador,2015,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2806
